10:50:51,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8BD1,'860A,'8085,'7BCE,'75B5,'DADA,'A8FC,'2075,'BE5A,'0A66,'B361,'8E53,'53E3,'0017,'0047,'1D0A,'00C1,'3506,'8002,'0000,'1C4C,'8011,'5811,'22AD,'928C,'E112
10:50:51,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
10:50:51,90614BC-0x5A,28.09,26.59,25.91,33.00,6811,-120,-13
10:50:52,90614BC-0x5A,28.09,26.61,26.05,33.00,6811,-116,-11
10:50:53,90614BC-0x5A,28.13,26.49,25.99,33.00,6811,-121,-13
10:50:54,90614BC-0x5A,28.15,26.57,26.17,33.00,6813,-118,-11
10:50:55,90614BC-0x5A,28.09,26.59,25.79,33.00,6811,-117,-14
10:50:56,90614BC-0x5A,28.07,26.57,25.51,33.00,6811,-120,-16
10:50:57,90614BC-0x5A,28.07,26.49,26.15,33.00,6811,-119,-11
10:50:58,90614BC-0x5A,28.05,26.55,25.87,33.00,6810,-116,-14
10:50:59,90614BC-0x5A,28.07,26.49,25.61,33.00,6811,-121,-15
10:51:00,90614BC-0x5A,28.09,26.51,25.91,33.00,6811,-116,-13
10:51:01,90614BC-0x5A,28.11,26.61,25.83,33.00,6812,-115,-13
10:51:02,90614BC-0x5A,27.93,26.51,25.79,33.00,6810,-116,-14
10:51:03,90614BC-0x5A,28.07,26.49,26.11,33.00,6811,-121,-12
10:51:04,90614BC-0x5A,28.05,26.55,26.13,33.00,6810,-116,-11
10:51:05,90614BC-0x5A,28.05,26.51,25.97,33.00,6810,-117,-12
10:51:06,90614BC-0x5A,28.01,26.45,26.07,33.00,6809,-117,-11
10:51:07,90614BC-0x5A,28.01,26.49,26.05,33.00,6809,-120,-11
10:51:08,90614BC-0x5A,28.07,26.57,26.03,33.00,6811,-116,-15
10:51:09,90614BC-0x5A,28.07,26.55,26.09,33.00,6811,-114,-12
10:51:10,90614BC-0x5A,28.09,26.55,26.15,33.00,6811,-115,-12
10:51:11,90614BC-0x5A,28.03,26.55,26.05,33.00,6810,-115,-12
10:51:12,90614BC-0x5A,28.05,26.53,25.79,33.00,6810,-116,-13
10:51:13,90614BC-0x5A,28.07,26.53,25.97,33.00,6811,-117,-12
10:51:14,90614BC-0x5A,28.07,26.49,25.81,33.00,6810,-116,-13
10:51:15,90614BC-0x5A,28.05,26.57,25.77,33.00,6810,-115,-13
10:51:16,90614BC-0x5A,28.03,26.49,26.03,33.00,6810,-116,-12
10:51:17,90614BC-0x5A,28.05,26.53,25.99,33.00,6810,-115,-12
10:51:18,90614BC-0x5A,28.07,26.53,25.75,33.00,6811,-116,-12
10:51:19,90614BC-0x5A,28.01,26.49,26.19,33.00,6810,-115,-10
10:51:20,90614BC-0x5A,28.01,26.53,25.67,33.00,6810,-112,-14
10:51:21,90614BC-0x5A,28.01,26.55,26.13,33.00,6810,-113,-11
10:51:22,90614BC-0x5A,27.87,26.51,25.85,33.00,6805,-116,-13
10:51:23,90614BC-0x5A,27.97,26.49,26.25,33.00,6809,-113,-10
10:51:24,90614BC-0x5A,28.03,26.53,25.99,33.00,6810,-113,-12
10:51:25,90614BC-0x5A,27.85,26.47,25.77,33.00,6809,-114,-13
10:51:26,90614BC-0x5A,28.01,26.53,26.05,33.00,6809,-115,-11
10:51:27,90614BC-0x5A,28.01,26.51,25.93,33.00,6809,-115,-13
10:51:28,90614BC-0x5A,27.97,26.51,25.83,33.00,6809,-112,-13
10:51:29,90614BC-0x5A,27.99,26.57,25.55,33.00,6809,-116,-15
10:51:30,90614BC-0x5A,27.97,26.57,25.71,33.00,6809,-111,-13
10:51:31,90614BC-0x5A,27.97,26.51,25.87,33.00,6809,-113,-12
10:51:32,90614BC-0x5A,27.99,26.51,25.65,33.00,6809,-114,-14
10:51:33,90614BC-0x5A,28.01,26.55,25.61,33.00,6810,-111,-11
10:51:34,90614BC-0x5A,28.01,26.57,26.17,33.00,6809,-111,-11
10:51:35,90614BC-0x5A,28.01,26.57,25.91,33.00,6809,-113,-12
10:51:36,90614BC-0x5A,28.01,26.51,25.93,33.00,6809,-112,-12
10:51:37,90614BC-0x5A,27.99,26.57,25.71,33.00,6810,-113,-14
10:51:38,90614BC-0x5A,27.97,26.53,26.03,33.00,6809,-113,-12
10:51:39,90614BC-0x5A,27.97,26.53,26.07,33.00,6808,-112,-12
10:51:40,90614BC-0x5A,27.97,26.47,25.85,33.00,6809,-114,-12
10:51:41,90614BC-0x5A,27.97,26.55,26.05,33.00,6809,-109,-11
10:51:42,90614BC-0x5A,28.03,26.59,25.81,33.00,6810,-111,-13
10:51:43,90614BC-0x5A,28.01,26.57,26.07,33.00,6809,-111,-11
10:51:44,90614BC-0x5A,27.95,26.53,26.17,33.00,6808,-108,-10
10:51:45,90614BC-0x5A,27.97,26.47,25.69,33.00,6808,-113,-14
10:51:46,90614BC-0x5A,27.93,26.49,25.67,33.00,6808,-111,-13
10:51:47,90614BC-0x5A,28.03,26.53,25.87,33.00,6810,-110,-12
10:51:48,90614BC-0x5A,27.97,26.47,26.15,33.00,6807,-112,-10
10:51:49,90614BC-0x5A,27.93,26.47,25.81,33.00,6808,-111,-12
