"t","Ta","To","To2","T"
15:03:42,24.59,25.97,16.17,24.612848
15:03:43,24.63,25.95,16.35,24.612833
15:03:44,24.59,26.09,16.23,24.612814
15:03:45,24.59,25.91,18.91,24.612792
15:03:46,24.59,25.89,18.95,24.612771
15:03:47,24.57,25.85,15.49,24.612762
15:03:49,24.61,26.11,15.35,24.612739
15:03:51,24.59,25.95,17.31,24.612676
15:03:52,24.61,26.15,17.49,24.612643
15:03:53,24.59,26.05,15.39,24.612626
15:03:54,24.59,26.17,17.81,24.612608
15:03:55,24.59,26.03,16.79,24.61259
15:03:56,24.55,26.07,16.03,24.612567
15:03:57,24.61,26.23,17.07,24.612547
15:03:58,24.61,25.99,17.03,24.612527
15:03:59,24.57,25.97,17.25,24.612493
15:04:00,24.59,26.05,16.99,24.612471
15:04:01,24.59,25.99,19.03,24.61244
15:04:02,24.57,25.95,19.31,24.612426
15:04:03,24.59,25.83,19.05,24.612402
15:04:04,24.57,26.05,17.79,24.612377
15:04:05,24.59,25.99,21.01,24.612355
15:04:06,24.57,26.05,20.43,24.612338
15:04:07,24.49,26.29,19.79,24.612313
15:04:08,24.59,26.11,18.45,24.612289
15:04:09,24.59,25.89,20.23,24.612275
15:04:10,24.57,25.97,20.21,24.612261
15:04:11,24.57,25.95,20.95,24.612241
15:04:12,24.59,25.99,21.29,24.612222
15:04:13,24.61,26.05,20.45,24.612209
15:04:14,24.57,26.15,21.37,24.612189
15:04:15,24.59,25.93,19.61,24.612182
15:04:16,24.59,26.09,18.33,24.612178
15:04:17,24.57,25.93,22.27,24.612152
15:04:18,24.55,26.25,20.07,24.612134
15:04:19,24.55,25.79,23.57,24.61212
15:04:20,24.57,26.03,21.85,24.612117
15:04:21,24.55,26.11,22.81,24.612105
15:04:22,24.57,26.01,22.75,24.612107
15:04:23,24.59,26.09,22.39,24.612101
15:04:24,24.59,26.23,21.31,24.612097
15:04:25,24.55,26.03,21.75,24.612089
15:04:26,24.57,25.99,22.87,24.612079
15:04:27,24.55,26.05,20.37,24.612074
15:04:28,24.57,26.17,22.25,24.612076
15:04:29,24.57,26.11,22.15,24.61207
15:04:30,24.59,25.99,25.81,24.612059
15:04:31,24.57,26.11,23.61,24.612064
15:04:32,24.61,26.13,20.91,24.612055
15:04:33,24.57,26.21,22.37,24.612056
15:04:34,24.57,26.27,21.83,24.61206
15:04:35,24.57,26.21,22.25,24.612056
15:04:36,24.51,26.05,22.89,24.612048
15:04:37,24.57,26.25,21.01,24.612049
15:04:38,24.59,26.09,22.25,24.612056
15:04:39,24.57,26.15,22.69,24.612062
15:04:40,24.55,25.95,23.65,24.612062
15:04:41,24.57,26.23,21.85,24.612063
15:04:42,24.59,26.03,23.35,24.612067
15:04:43,24.55,26.29,20.77,24.612062
15:04:44,24.55,26.31,21.05,24.612065
15:04:45,24.57,25.99,23.33,24.612064
