14:42:13,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'ADEA,'ADEA,'B10C,'BA3D,'E530,'0000,'5C32,'209F,'BE5A,'0733,'AC2A,'7DD3,'53E3,'8041,'8048,'1D0C,'00C1,'34E6,'0019,'0000,'1C48,'8011,'680F,'F387,'8387,'E144
14:42:13,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:42:13,90614BC-0x5A,23.97,26.11,23.83,,6702,25,0
14:42:14,90614BC-0x5A,23.99,26.13,23.61,,6703,27,-1
14:42:15,90614BC-0x5A,23.99,26.19,23.65,,6703,25,0
14:42:16,90614BC-0x5A,23.99,26.29,22.45,,6702,28,-2
14:42:17,90614BC-0x5A,23.99,25.91,25.09,,6703,23,1
14:42:18,90614BC-0x5A,24.01,26.13,24.65,,6703,27,0
14:42:19,90614BC-0x5A,23.97,26.11,24.11,,6703,26,0
14:42:20,90614BC-0x5A,23.99,26.11,23.91,,6703,25,0
14:42:21,90614BC-0x5A,23.87,26.11,23.91,,6702,25,0
14:42:22,90614BC-0x5A,24.01,26.05,23.93,,6703,25,0
14:42:23,90614BC-0x5A,23.99,26.01,24.41,,6703,25,1
14:42:24,90614BC-0x5A,24.01,26.09,24.05,,6704,28,-1
14:42:25,90614BC-0x5A,23.99,26.05,26.27,,6703,25,5
14:42:26,90614BC-0x5A,23.99,26.11,24.21,,6703,27,0
14:42:27,90614BC-0x5A,24.01,26.17,25.43,,6704,28,2
14:42:29,90614BC-0x5A,23.97,26.17,24.31,,6702,27,0
14:42:29,90614BC-0x5A,23.99,26.01,25.55,,6703,26,1
14:42:31,90614BC-0x5A,23.99,25.99,25.59,,6703,24,2
14:42:32,90614BC-0x5A,24.01,25.91,24.93,,6703,23,0
14:42:32,90614BC-0x5A,23.99,26.03,25.39,,6703,27,2
14:42:34,90614BC-0x5A,24.01,26.17,24.79,,6703,26,1
14:42:35,90614BC-0x5A,23.99,26.11,23.79,,6703,25,0
14:42:36,90614BC-0x5A,23.99,26.19,23.61,,6703,28,-1
14:42:37,90614BC-0x5A,23.99,25.97,24.09,,6703,25,0
14:42:38,90614BC-0x5A,23.97,26.13,23.79,,6702,27,0
14:42:39,90614BC-0x5A,23.99,26.19,23.83,,6703,27,0
14:42:40,90614BC-0x5A,24.01,26.03,24.27,,6704,24,0
14:42:41,90614BC-0x5A,24.01,26.13,24.47,,6704,28,0
14:42:42,90614BC-0x5A,23.99,26.21,25.13,,6703,27,2
14:42:43,90614BC-0x5A,23.99,26.21,24.03,,6702,28,0
14:42:44,90614BC-0x5A,24.01,26.05,24.65,,6704,24,0
14:42:45,90614BC-0x5A,23.99,26.09,24.39,,6703,26,1
14:42:46,90614BC-0x5A,23.97,26.05,23.53,,6702,23,0
14:42:47,90614BC-0x5A,23.99,26.23,25.77,,6703,26,4
14:42:48,90614BC-0x5A,23.97,26.13,23.01,,6702,25,-2
14:42:49,90614BC-0x5A,23.99,25.77,26.21,,6703,22,2
14:42:50,90614BC-0x5A,23.99,26.13,23.81,,6704,24,0
14:42:51,90614BC-0x5A,23.97,26.15,24.09,,6702,27,1
14:42:52,90614BC-0x5A,23.99,26.09,24.47,,6704,27,1
14:42:53,90614BC-0x5A,23.95,25.91,24.69,,6702,22,1
14:42:54,90614BC-0x5A,23.99,26.19,25.59,,6703,27,2
14:42:55,90614BC-0x5A,23.99,26.09,25.23,,6703,26,2
14:42:56,90614BC-0x5A,23.99,25.89,25.47,,6703,23,1
14:42:57,90614BC-0x5A,23.99,25.97,24.95,,6703,24,1
14:42:58,90614BC-0x5A,24.01,26.07,24.13,,6704,25,0
14:42:59,90614BC-0x5A,23.97,25.95,24.77,,6703,26,-1
14:43:00,90614BC-0x5A,23.99,26.13,23.87,,6703,26,0
14:43:01,90614BC-0x5A,23.97,26.29,24.61,,6702,29,1
14:43:02,90614BC-0x5A,23.99,25.95,24.73,,6703,25,0
14:43:03,90614BC-0x5A,24.01,26.15,24.23,,6704,26,0
14:43:04,90614BC-0x5A,23.97,26.01,24.25,,6703,26,0
14:43:05,90614BC-0x5A,23.99,26.03,25.05,,6703,26,2
14:43:06,90614BC-0x5A,23.99,26.33,23.67,,6703,29,0
14:43:07,90614BC-0x5A,23.99,26.01,24.77,,6703,24,1
14:43:08,90614BC-0x5A,24.01,26.15,24.99,,6703,27,2
14:43:09,90614BC-0x5A,23.99,26.05,25.47,,6703,27,2
14:43:10,90614BC-0x5A,23.99,26.03,26.31,,6703,27,3
14:43:11,90614BC-0x5A,23.99,26.21,22.31,,6703,27,0
14:43:12,90614BC-0x5A,23.97,26.07,23.69,,6702,27,-1
14:43:13,90614BC-0x5A,23.99,26.05,23.49,,6703,24,0
14:43:14,90614BC-0x5A,23.95,26.05,25.61,,6703,25,4
14:43:15,90614BC-0x5A,23.97,26.13,23.71,,6702,26,0
14:43:16,90614BC-0x5A,23.93,26.01,24.67,,6702,26,2
