14:51:29,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'BE33,'BE33,'C1A0,'CBAE,'FAA6,'0000,'5C32,'209F,'BE5A,'0733,'BE37,'7DD3,'53E3,'803D,'8043,'1D17,'00C1,'3501,'0017,'0000,'1E46,'8011,'7410,'F373,'8387,'E144
14:51:29,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:51:29,90614BC-0x5A,24.19,26.07,6.27,,6721,6,-17
14:51:30,90614BC-0x5A,24.23,26.17,7.23,,6722,5,-15
14:51:31,90614BC-0x5A,24.19,26.31,6.97,,6721,8,-15
14:51:32,90614BC-0x5A,24.19,26.13,7.87,,6721,6,-15
14:51:33,90614BC-0x5A,24.23,26.01,8.25,,6723,5,-15
14:51:34,90614BC-0x5A,24.19,25.85,9.43,,6720,5,-15
14:51:35,90614BC-0x5A,24.21,26.11,10.09,,6722,9,-11
14:51:36,90614BC-0x5A,24.23,26.03,8.97,,6722,7,-13
14:51:37,90614BC-0x5A,24.21,25.99,9.09,,6721,7,-14
14:51:38,90614BC-0x5A,24.21,25.97,10.61,,6721,7,-12
14:51:39,90614BC-0x5A,24.21,25.99,9.13,,6723,6,-15
14:51:40,90614BC-0x5A,24.23,26.19,8.71,,6722,9,-15
14:51:41,90614BC-0x5A,24.23,26.03,11.69,,6723,8,-12
14:51:42,90614BC-0x5A,24.19,26.11,9.47,,6721,9,-15
14:51:43,90614BC-0x5A,24.23,26.23,9.53,,6722,10,-12
14:51:44,90614BC-0x5A,24.23,25.99,11.99,,6722,9,-13
14:51:45,90614BC-0x5A,24.19,26.03,11.39,,6721,8,-12
14:51:46,90614BC-0x5A,24.19,26.19,9.55,,6720,9,-14
14:51:47,90614BC-0x5A,24.19,26.13,12.09,,6721,9,-10
14:51:48,90614BC-0x5A,24.21,26.01,11.79,,6721,8,-12
14:51:49,90614BC-0x5A,24.21,26.11,11.57,,6721,9,-11
14:51:50,90614BC-0x5A,24.19,26.23,10.67,,6721,13,-14
14:51:51,90614BC-0x5A,24.21,26.19,10.21,,6721,10,-13
14:51:52,90614BC-0x5A,24.21,26.05,10.13,,6722,9,-15
14:51:53,90614BC-0x5A,24.21,26.27,9.93,,6722,12,-15
14:51:54,90614BC-0x5A,24.19,26.27,9.37,,6721,9,-15
14:51:55,90614BC-0x5A,24.25,26.09,11.21,,6723,9,-12
14:51:56,90614BC-0x5A,24.21,26.21,10.11,,6722,10,-14
14:51:57,90614BC-0x5A,24.19,26.19,11.91,,6722,12,-12
14:51:58,90614BC-0x5A,24.19,26.13,11.75,,6721,11,-13
14:51:59,90614BC-0x5A,24.21,25.93,13.63,,6721,9,-11
14:52:00,90614BC-0x5A,24.19,26.13,11.51,,6721,11,-12
14:52:01,90614BC-0x5A,24.25,26.15,12.83,,6723,13,-13
14:52:02,90614BC-0x5A,24.19,26.21,11.91,,6721,13,-11
14:52:03,90614BC-0x5A,24.19,25.91,14.29,,6721,9,-9
14:52:04,90614BC-0x5A,24.23,26.09,14.31,,6722,12,-10
14:52:05,90614BC-0x5A,24.21,25.91,13.35,,6722,10,-10
14:52:06,90614BC-0x5A,24.19,26.17,12.37,,6721,11,-12
14:52:07,90614BC-0x5A,24.19,26.11,13.99,,6721,10,-9
14:52:08,90614BC-0x5A,24.21,25.95,14.65,,6722,10,-9
14:52:09,90614BC-0x5A,24.21,26.27,12.49,,6722,11,-11
14:52:10,90614BC-0x5A,24.23,26.35,15.53,,6723,15,-7
14:52:11,90614BC-0x5A,24.21,26.05,13.07,,6721,11,-12
14:52:12,90614BC-0x5A,24.19,26.01,14.25,,6721,12,-9
14:52:13,90614BC-0x5A,24.25,26.23,13.09,,6722,12,-13
14:52:14,90614BC-0x5A,24.21,26.17,13.81,,6722,12,-10
14:52:15,90614BC-0x5A,24.21,26.47,12.41,,6722,16,-11
14:52:16,90614BC-0x5A,24.21,26.23,14.69,,6722,14,-9
14:52:18,90614BC-0x5A,24.21,26.13,16.35,,6722,15,-6
14:52:19,90614BC-0x5A,24.19,26.09,12.31,,6721,12,-14
14:52:20,90614BC-0x5A,24.19,26.03,13.75,,6721,12,-11
14:52:21,90614BC-0x5A,24.21,26.03,14.41,,6721,11,-9
14:52:22,90614BC-0x5A,24.21,25.95,16.09,,6721,12,-8
14:52:23,90614BC-0x5A,24.21,26.11,15.15,,6721,13,-8
14:52:24,90614BC-0x5A,24.23,26.25,14.05,,6722,13,-11
14:52:25,90614BC-0x5A,24.21,26.05,16.23,,6721,12,-8
14:52:26,90614BC-0x5A,24.21,26.11,15.65,,6721,12,-8
14:52:27,90614BC-0x5A,24.19,26.31,13.87,,6721,15,-10
14:52:28,90614BC-0x5A,24.19,26.17,14.15,,6721,12,-9
14:52:29,90614BC-0x5A,24.19,26.11,15.35,,6720,15,-10
14:52:30,90614BC-0x5A,24.21,26.19,16.41,,6722,14,-6
14:52:31,90614BC-0x5A,24.19,26.11,14.87,,6721,13,-9
14:52:32,90614BC-0x5A,24.19,26.09,14.83,,6721,13,-9
14:52:33,90614BC-0x5A,24.23,26.21,13.97,,6722,14,-11
14:52:34,90614BC-0x5A,24.19,26.13,16.09,,6720,17,-9
14:52:35,90614BC-0x5A,24.19,26.11,15.81,,6721,14,-9
14:52:36,90614BC-0x5A,24.21,26.19,15.93,,6721,15,-8
