15:00:58,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'AC10,'AC10,'AF29,'B842,'E2C0,'0000,'5C32,'209F,'BE5A,'0733,'89B1,'7DD3,'53E3,'803A,'803C,'1D1A,'00C1,'34F7,'0011,'0000,'1E4B,'8011,'0C0B,'F355,'8387,'E144
15:00:58,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:00:58,90614BC-0x5A,24.53,25.71,8.69,,6723,4,-13
15:00:59,90614BC-0x5A,24.55,25.83,10.95,,6725,7,-10
15:01:00,90614BC-0x5A,24.57,25.81,10.27,,6725,6,-11
15:01:01,90614BC-0x5A,24.59,25.79,10.51,,6725,3,-11
15:01:02,90614BC-0x5A,24.55,25.83,11.93,,6724,9,-10
15:01:03,90614BC-0x5A,24.55,25.67,12.13,,6724,3,-10
15:01:04,90614BC-0x5A,24.59,25.95,10.65,,6725,8,-12
15:01:05,90614BC-0x5A,24.55,25.89,11.07,,6724,7,-11
15:01:06,90614BC-0x5A,24.51,25.77,9.29,,6722,5,-14
15:01:07,90614BC-0x5A,24.55,25.89,10.81,,6724,8,-12
15:01:08,90614BC-0x5A,24.57,25.71,12.95,,6724,3,-8
15:01:09,90614BC-0x5A,24.53,25.89,12.35,,6724,8,-9
15:01:10,90614BC-0x5A,24.59,25.89,12.55,,6725,8,-8
15:01:11,90614BC-0x5A,24.53,25.91,11.85,,6723,12,-11
15:01:12,90614BC-0x5A,24.55,25.69,13.53,,6724,5,-8
15:01:13,90614BC-0x5A,24.53,25.81,13.35,,6724,11,-7
15:01:14,90614BC-0x5A,24.57,25.79,14.79,,6724,6,-6
15:01:15,90614BC-0x5A,24.55,25.91,13.29,,6724,9,-10
15:01:16,90614BC-0x5A,24.57,25.77,12.25,,6725,7,-11
15:01:17,90614BC-0x5A,24.51,25.65,14.15,,6723,5,-7
15:01:18,90614BC-0x5A,24.53,25.79,12.19,,6724,5,-10
15:01:19,90614BC-0x5A,24.57,25.91,12.53,,6725,7,-9
15:01:20,90614BC-0x5A,24.53,25.95,13.91,,6724,11,-8
15:01:21,90614BC-0x5A,24.59,25.97,12.23,,6726,11,-11
15:01:22,90614BC-0x5A,24.57,25.91,13.91,,6725,11,-8
15:01:23,90614BC-0x5A,24.55,25.85,14.97,,6724,10,-7
15:01:24,90614BC-0x5A,24.53,25.79,15.75,,6723,9,-6
15:01:25,90614BC-0x5A,24.53,25.91,12.97,,6724,8,-9
15:01:26,90614BC-0x5A,24.53,26.13,14.65,,6723,11,-6
15:01:27,90614BC-0x5A,24.53,25.69,16.43,,6723,8,-6
15:01:28,90614BC-0x5A,24.53,26.05,16.15,,6724,11,-11
15:01:29,90614BC-0x5A,24.53,25.87,18.09,,6723,12,-5
15:01:30,90614BC-0x5A,24.53,26.01,14.41,,6724,12,-8
15:01:31,90614BC-0x5A,24.55,25.81,15.95,,6724,8,-6
15:01:33,90614BC-0x5A,24.55,25.89,16.47,,6724,10,-6
15:01:33,90614BC-0x5A,24.55,26.01,14.39,,6724,9,-8
15:01:34,90614BC-0x5A,24.53,25.99,14.95,,6724,11,-8
15:01:36,90614BC-0x5A,24.53,25.75,15.75,,6723,8,-8
15:01:37,90614BC-0x5A,24.51,25.91,15.81,,6723,11,-5
15:01:38,90614BC-0x5A,24.53,25.97,17.47,,6723,12,-7
15:01:39,90614BC-0x5A,24.59,26.01,15.79,,6725,12,-7
15:01:40,90614BC-0x5A,24.53,25.87,16.39,,6723,10,-6
15:01:41,90614BC-0x5A,24.51,25.93,16.71,,6723,12,-6
15:01:42,90614BC-0x5A,24.55,25.97,16.03,,6725,11,-8
15:01:43,90614BC-0x5A,24.53,25.95,14.81,,6724,11,-9
15:01:44,90614BC-0x5A,24.57,26.13,14.03,,6725,12,-10
15:01:45,90614BC-0x5A,24.53,26.13,13.83,,6723,12,-10
15:01:46,90614BC-0x5A,24.55,25.83,18.47,,6724,10,-7
15:01:47,90614BC-0x5A,24.53,25.93,17.05,,6723,12,-6
15:01:48,90614BC-0x5A,24.53,25.95,17.39,,6723,13,-6
15:01:49,90614BC-0x5A,24.51,25.89,17.83,,6723,11,-5
15:01:50,90614BC-0x5A,24.57,25.95,17.77,,6725,12,-5
15:01:51,90614BC-0x5A,24.51,26.05,18.73,,6723,12,-3
15:01:52,90614BC-0x5A,24.53,25.91,19.25,,6724,15,-4
15:01:53,90614BC-0x5A,24.53,25.95,16.73,,6723,11,-6
15:01:54,90614BC-0x5A,24.53,26.07,18.23,,6723,14,-5
15:01:55,90614BC-0x5A,24.55,25.97,20.69,,6724,15,-3
15:01:56,90614BC-0x5A,24.51,25.73,20.17,,6724,11,-3
15:01:57,90614BC-0x5A,24.55,25.73,17.77,,6725,11,-8
15:01:58,90614BC-0x5A,24.53,25.77,20.03,,6724,10,-3
15:01:59,90614BC-0x5A,24.51,25.99,19.89,,6723,12,-1
15:02:00,90614BC-0x5A,24.53,25.85,20.17,,6723,13,-3
15:02:01,90614BC-0x5A,24.51,25.85,20.01,,6722,13,-3
15:02:02,90614BC-0x5A,24.51,25.67,21.11,,6723,13,-3
15:02:03,90614BC-0x5A,24.55,25.93,19.73,,6724,11,-3
