15:49:35,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8BD1,'860A,'8085,'7BCE,'75B5,'DADA,'A8FC,'2075,'BE5A,'0A66,'B361,'8E53,'53E3,'0017,'0047,'1D0A,'00C1,'3506,'8002,'0000,'1C4C,'8011,'5811,'22AD,'928C,'E112
15:49:35,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:49:35,90614BC-0x5A,23.91,26.03,24.75,,6716,137,4
15:49:37,90614BC-0x5A,24.09,26.17,24.95,,6721,138,5
15:49:37,90614BC-0x5A,24.11,26.15,25.33,,6722,137,7
15:49:39,90614BC-0x5A,24.11,26.19,25.43,,6722,140,8
15:49:40,90614BC-0x5A,24.09,26.17,25.19,,6721,140,6
15:49:41,90614BC-0x5A,24.05,26.05,25.03,,6721,139,6
15:49:42,90614BC-0x5A,24.11,26.15,25.21,,6722,137,7
15:49:43,90614BC-0x5A,24.09,26.13,24.51,,6721,141,2
15:49:44,90614BC-0x5A,24.03,26.05,25.07,,6720,137,6
15:49:45,90614BC-0x5A,24.07,26.19,24.87,,6721,141,4
15:49:46,90614BC-0x5A,24.11,26.23,24.95,,6722,140,5
15:49:47,90614BC-0x5A,24.05,26.11,25.13,,6720,138,7
15:49:48,90614BC-0x5A,24.11,26.15,25.19,,6722,136,6
15:49:49,90614BC-0x5A,24.13,26.17,25.21,,6722,138,6
15:49:50,90614BC-0x5A,24.13,26.21,25.09,,6722,138,5
15:49:51,90614BC-0x5A,24.03,26.11,25.29,,6721,142,5
15:49:52,90614BC-0x5A,24.11,26.19,24.69,,6721,140,3
15:49:53,90614BC-0x5A,24.09,26.27,25.15,,6721,142,6
15:49:54,90614BC-0x5A,23.99,26.01,24.91,,6715,141,5
15:49:55,90614BC-0x5A,24.07,26.13,25.17,,6721,142,5
15:49:56,90614BC-0x5A,24.05,25.99,24.79,,6721,140,4
15:49:57,90614BC-0x5A,24.03,26.13,24.83,,6720,139,4
15:49:58,90614BC-0x5A,24.07,26.13,25.21,,6721,139,6
15:49:59,90614BC-0x5A,24.11,26.15,25.17,,6722,138,6
15:50:00,90614BC-0x5A,24.05,26.21,25.17,,6720,141,6
15:50:01,90614BC-0x5A,24.11,26.19,25.67,,6722,140,5
15:50:02,90614BC-0x5A,24.01,26.11,24.55,,6720,138,3
15:50:03,90614BC-0x5A,24.03,26.09,25.19,,6720,139,6
15:50:04,90614BC-0x5A,24.05,26.05,25.37,,6721,139,9
15:50:05,90614BC-0x5A,24.05,26.15,25.21,,6720,142,6
15:50:06,90614BC-0x5A,24.07,26.19,25.09,,6721,141,5
15:50:07,90614BC-0x5A,24.03,26.17,25.13,,6720,142,6
15:50:08,90614BC-0x5A,24.07,26.21,25.25,,6721,141,3
15:50:09,90614BC-0x5A,24.09,26.13,25.09,,6721,138,5
15:50:10,90614BC-0x5A,24.09,26.19,25.23,,6721,143,6
15:50:11,90614BC-0x5A,24.11,26.17,25.05,,6721,141,5
15:50:12,90614BC-0x5A,24.13,26.17,24.89,,6722,138,4
15:50:13,90614BC-0x5A,24.05,26.15,24.83,,6720,139,4
15:50:14,90614BC-0x5A,24.01,26.19,24.91,,6721,139,5
15:50:15,90614BC-0x5A,24.05,26.23,24.75,,6720,141,3
15:50:16,90614BC-0x5A,24.07,26.15,25.15,,6721,140,6
15:50:17,90614BC-0x5A,24.03,26.15,25.15,,6720,142,7
15:50:18,90614BC-0x5A,24.05,26.19,24.89,,6720,142,4
15:50:19,90614BC-0x5A,24.05,26.15,25.39,,6720,139,8
15:50:20,90614BC-0x5A,24.05,26.13,25.31,,6720,140,7
15:50:21,90614BC-0x5A,24.05,26.15,25.23,,6720,138,7
15:50:22,90614BC-0x5A,24.07,26.15,24.83,,6721,139,6
15:50:23,90614BC-0x5A,24.09,26.21,25.25,,6721,146,7
15:50:24,90614BC-0x5A,24.07,26.21,25.53,,6721,143,6
15:50:25,90614BC-0x5A,23.89,26.03,25.37,,6716,143,7
15:50:26,90614BC-0x5A,24.05,26.13,25.23,,6720,141,6
15:50:27,90614BC-0x5A,24.07,26.15,25.15,,6721,142,9
15:50:28,90614BC-0x5A,24.09,26.17,25.07,,6721,138,5
15:50:29,90614BC-0x5A,24.09,26.17,25.71,,6721,142,9
15:50:30,90614BC-0x5A,23.87,26.19,25.19,,6721,142,6
15:50:31,90614BC-0x5A,24.09,26.19,25.17,,6721,142,6
15:50:32,90614BC-0x5A,24.07,26.13,25.05,,6721,141,5
15:50:33,90614BC-0x5A,24.05,26.17,24.87,,6721,141,4
15:50:34,90614BC-0x5A,24.03,26.15,25.21,,6720,140,7
15:50:35,90614BC-0x5A,24.07,26.17,25.07,,6721,141,5
15:50:36,90614BC-0x5A,24.09,26.17,24.73,,6721,141,3
15:50:37,90614BC-0x5A,24.07,26.17,24.97,,6721,140,5
15:50:38,90614BC-0x5A,24.03,26.19,25.49,,6720,140,8
15:50:39,90614BC-0x5A,24.11,26.17,25.21,,6721,143,6
15:50:40,90614BC-0x5A,24.05,26.15,25.19,,6720,144,6
