15:56:38,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8897,'82F3,'7D8E,'78F3,'72FE,'DADA,'A8FC,'2075,'BE5A,'0A66,'A468,'8E53,'53E3,'0022,'0055,'1D00,'00C1,'34FF,'8005,'0000,'1C4F,'8011,'1813,'2279,'928C,'E112
15:56:38,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:56:38,90614BC-0x5A,24.01,25.97,19.93,,6716,98,-20
15:56:39,90614BC-0x5A,24.05,26.01,19.37,,6717,101,-24
15:56:40,90614BC-0x5A,23.99,25.95,19.99,,6715,99,-21
15:56:41,90614BC-0x5A,24.01,25.99,19.99,,6716,102,-21
15:56:42,90614BC-0x5A,24.03,25.99,20.05,,6717,100,-20
15:56:43,90614BC-0x5A,24.05,26.01,19.93,,6717,102,-21
15:56:44,90614BC-0x5A,24.03,26.05,20.07,,6716,103,-20
15:56:45,90614BC-0x5A,24.07,26.03,20.39,,6717,103,-18
15:56:46,90614BC-0x5A,24.01,25.99,20.01,,6716,103,-20
15:56:47,90614BC-0x5A,24.07,26.05,20.05,,6718,105,-20
15:56:48,90614BC-0x5A,23.97,25.97,20.61,,6716,103,-17
15:56:49,90614BC-0x5A,24.01,26.07,20.55,,6716,107,-17
15:56:50,90614BC-0x5A,23.95,25.97,19.87,,6715,104,-21
15:56:51,90614BC-0x5A,23.95,25.97,20.51,,6714,103,-18
15:56:52,90614BC-0x5A,24.05,26.07,20.63,,6717,107,-17
15:56:53,90614BC-0x5A,23.97,26.07,20.95,,6716,108,-14
15:56:54,90614BC-0x5A,24.03,25.99,21.17,,6717,105,-14
15:56:55,90614BC-0x5A,23.97,25.99,20.37,,6714,105,-18
15:56:56,90614BC-0x5A,24.03,25.97,20.39,,6716,108,-19
15:56:57,90614BC-0x5A,23.97,25.99,20.87,,6715,107,-16
15:56:58,90614BC-0x5A,24.01,26.09,20.95,,6716,110,-20
15:56:59,90614BC-0x5A,24.01,26.01,20.79,,6716,109,-17
15:57:00,90614BC-0x5A,23.97,25.93,20.93,,6715,109,-15
15:57:01,90614BC-0x5A,23.97,26.11,20.99,,6715,113,-15
15:57:02,90614BC-0x5A,24.01,25.99,20.97,,6716,109,-15
15:57:03,90614BC-0x5A,24.05,26.07,21.69,,6717,112,-11
15:57:04,90614BC-0x5A,23.97,26.03,21.23,,6715,114,-14
15:57:05,90614BC-0x5A,23.97,25.95,21.65,,6715,115,-12
15:57:06,90614BC-0x5A,24.01,25.99,21.35,,6716,114,-14
15:57:07,90614BC-0x5A,24.01,26.05,21.53,,6716,114,-12
15:57:08,90614BC-0x5A,24.03,26.07,21.03,,6716,114,-15
15:57:09,90614BC-0x5A,24.01,26.01,21.09,,6716,113,-15
15:57:10,90614BC-0x5A,24.03,26.01,21.17,,6716,113,-15
15:57:11,90614BC-0x5A,24.01,26.01,21.61,,6716,109,-12
15:57:12,90614BC-0x5A,24.01,26.01,21.63,,6716,114,-12
15:57:13,90614BC-0x5A,23.97,25.97,21.29,,6715,112,-14
15:57:14,90614BC-0x5A,23.97,25.99,20.99,,6715,115,-15
15:57:15,90614BC-0x5A,23.97,26.03,21.33,,6715,114,-13
15:57:16,90614BC-0x5A,23.97,25.97,21.47,,6715,114,-13
15:57:17,90614BC-0x5A,24.01,26.01,21.57,,6716,115,-13
15:57:18,90614BC-0x5A,24.01,26.01,21.87,,6716,115,-11
15:57:19,90614BC-0x5A,23.97,26.07,21.73,,6715,115,-12
15:57:20,90614BC-0x5A,23.99,25.99,21.85,,6715,113,-11
15:57:21,90614BC-0x5A,24.01,25.99,22.01,,6715,116,-10
15:57:22,90614BC-0x5A,24.01,26.01,21.95,,6716,117,-10
15:57:23,90614BC-0x5A,23.97,25.99,21.79,,6716,117,-11
15:57:24,90614BC-0x5A,24.01,26.05,21.83,,6716,117,-11
15:57:25,90614BC-0x5A,23.97,26.03,22.15,,6715,120,-9
15:57:26,90614BC-0x5A,24.03,26.01,21.91,,6717,118,-11
15:57:27,90614BC-0x5A,23.99,26.09,21.89,,6716,120,-10
15:57:28,90614BC-0x5A,24.01,26.07,22.41,,6716,122,-8
15:57:29,90614BC-0x5A,23.95,26.01,22.27,,6714,118,-10
15:57:30,90614BC-0x5A,23.99,26.07,22.03,,6715,120,-10
15:57:31,90614BC-0x5A,23.97,26.05,22.03,,6715,121,-10
15:57:32,90614BC-0x5A,23.99,26.13,22.13,,6715,122,-10
15:57:33,90614BC-0x5A,24.01,26.03,22.37,,6716,120,-8
15:57:34,90614BC-0x5A,23.97,25.99,22.03,,6715,117,-10
15:57:35,90614BC-0x5A,23.97,26.07,22.01,,6715,123,-10
15:57:36,90614BC-0x5A,24.01,25.99,21.97,,6715,119,-11
15:57:37,90614BC-0x5A,24.01,26.07,21.95,,6716,121,-11
15:57:38,90614BC-0x5A,23.97,25.97,21.99,,6716,118,-10
15:57:39,90614BC-0x5A,24.03,26.05,22.91,,6717,120,-5
15:57:40,90614BC-0x5A,23.97,26.03,21.85,,6715,123,-11
15:57:41,90614BC-0x5A,23.97,26.03,22.19,,6715,119,-9
15:57:42,90614BC-0x5A,24.01,26.09,22.57,,6716,126,-7
