15:59:08,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'9A5C,'93FB,'8DE3,'88AE,'81F3,'DADA,'A8FC,'2075,'BE5A,'0A66,'BA2F,'8E53,'53E3,'002A,'005C,'1CFD,'00C1,'34D7,'8007,'0000,'1C4B,'8011,'E80A,'2280,'928C,'E112
15:59:08,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:59:08,90614BC-0x5A,24.07,26.21,21.05,,6697,102,-15
15:59:10,90614BC-0x5A,24.05,26.15,21.21,,6697,102,-15
15:59:11,90614BC-0x5A,24.05,26.15,21.57,,6697,102,-12
15:59:12,90614BC-0x5A,24.03,26.21,21.21,,6697,105,-14
15:59:13,90614BC-0x5A,24.07,26.21,21.43,,6697,106,-13
15:59:14,90614BC-0x5A,24.03,26.15,21.13,,6696,103,-15
15:59:15,90614BC-0x5A,24.05,26.15,21.59,,6697,102,-13
15:59:16,90614BC-0x5A,24.07,26.17,21.85,,6697,104,-11
15:59:17,90614BC-0x5A,24.03,26.15,21.93,,6696,105,-13
15:59:18,90614BC-0x5A,24.09,26.23,21.61,,6698,105,-13
15:59:19,90614BC-0x5A,24.03,26.09,21.59,,6696,104,-12
15:59:20,90614BC-0x5A,24.03,26.11,21.71,,6696,106,-11
15:59:21,90614BC-0x5A,24.07,26.19,21.69,,6698,106,-12
15:59:22,90614BC-0x5A,24.07,26.13,21.77,,6698,104,-12
15:59:23,90614BC-0x5A,24.05,26.19,21.83,,6697,109,-12
15:59:24,90614BC-0x5A,24.07,26.23,21.89,,6697,108,-12
15:59:25,90614BC-0x5A,24.03,26.17,21.49,,6696,107,-13
15:59:26,90614BC-0x5A,24.07,26.19,22.11,,6698,107,-9
15:59:27,90614BC-0x5A,24.05,26.17,21.97,,6697,108,-11
15:59:28,90614BC-0x5A,24.03,26.11,22.31,,6698,108,-9
15:59:29,90614BC-0x5A,24.03,26.19,21.81,,6696,110,-11
15:59:30,90614BC-0x5A,24.03,26.13,21.93,,6697,109,-11
15:59:31,90614BC-0x5A,24.05,26.11,22.37,,6697,107,-8
15:59:32,90614BC-0x5A,24.01,26.11,21.71,,6697,109,-12
15:59:33,90614BC-0x5A,23.99,25.95,21.99,,6696,107,-10
15:59:34,90614BC-0x5A,24.01,26.17,21.85,,6696,109,-11
15:59:35,90614BC-0x5A,24.03,26.17,22.05,,6696,108,-10
15:59:36,90614BC-0x5A,24.03,26.21,22.11,,6696,110,-9
15:59:37,90614BC-0x5A,24.03,26.17,22.53,,6697,111,-10
15:59:38,90614BC-0x5A,24.03,26.13,22.43,,6697,110,-8
15:59:39,90614BC-0x5A,24.07,26.17,22.33,,6697,111,-7
15:59:40,90614BC-0x5A,24.03,26.11,22.65,,6696,109,-7
15:59:41,90614BC-0x5A,24.05,26.17,22.55,,6697,112,-7
15:59:42,90614BC-0x5A,24.05,26.19,22.35,,6697,109,-9
15:59:43,90614BC-0x5A,24.07,26.27,22.41,,6697,114,-9
15:59:44,90614BC-0x5A,24.05,26.17,22.27,,6697,110,-9
15:59:45,90614BC-0x5A,24.05,26.13,22.79,,6697,112,-5
15:59:46,90614BC-0x5A,23.99,26.15,22.53,,6696,114,-8
15:59:47,90614BC-0x5A,24.01,26.15,22.69,,6696,112,-7
15:59:48,90614BC-0x5A,24.03,26.15,22.65,,6696,113,-7
15:59:49,90614BC-0x5A,24.05,26.23,22.93,,6697,113,-5
15:59:50,90614BC-0x5A,24.01,26.17,22.63,,6696,113,-7
15:59:51,90614BC-0x5A,24.01,26.15,22.67,,6696,110,-7
15:59:52,90614BC-0x5A,24.01,26.17,22.51,,6696,113,-8
15:59:53,90614BC-0x5A,24.05,26.21,22.87,,6697,112,-6
15:59:54,90614BC-0x5A,24.03,26.19,22.63,,6698,114,-8
15:59:55,90614BC-0x5A,24.07,26.03,22.81,,6697,111,-7
15:59:56,90614BC-0x5A,24.05,26.19,22.41,,6697,111,-8
15:59:57,90614BC-0x5A,24.03,26.19,22.57,,6695,117,-7
15:59:58,90614BC-0x5A,24.01,26.19,22.67,,6696,117,-7
15:59:59,90614BC-0x5A,23.97,26.11,22.71,,6695,114,-7
16:00:00,90614BC-0x5A,24.01,26.09,22.79,,6696,114,-7
16:00:01,90614BC-0x5A,24.03,26.17,22.57,,6696,114,-8
16:00:02,90614BC-0x5A,24.01,26.13,22.91,,6696,115,-6
16:00:03,90614BC-0x5A,24.01,26.21,22.89,,6696,116,-5
16:00:04,90614BC-0x5A,24.07,26.17,22.87,,6697,111,-6
16:00:05,90614BC-0x5A,23.99,26.07,23.11,,6696,114,-4
16:00:06,90614BC-0x5A,24.03,26.17,22.73,,6696,116,-7
16:00:07,90614BC-0x5A,24.03,26.17,22.67,,6696,114,-8
16:00:08,90614BC-0x5A,24.03,26.13,23.01,,6696,115,-5
16:00:09,90614BC-0x5A,24.07,26.17,22.97,,6697,114,-5
16:00:10,90614BC-0x5A,24.03,26.15,22.87,,6696,115,-6
16:00:11,90614BC-0x5A,24.03,26.15,22.73,,6696,113,-5
16:00:12,90614BC-0x5A,24.03,26.17,23.07,,6697,115,-5
16:00:13,90614BC-0x5A,24.01,26.15,22.83,,6696,114,-6
16:00:14,90614BC-0x5A,24.03,26.23,22.89,,6696,118,-5
16:00:15,90614BC-0x5A,23.97,26.13,22.85,,6695,114,-6
16:00:16,90614BC-0x5A,23.99,26.13,23.05,,6696,116,-5
