15:28:40,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'D2FC,'CDEC,'C4E0,'BE39,'B60E,'8600,'4B75,'2032,'BE5A,'0733,'E8B0,'8E13,'53E3,'0006,'0025,'1D06,'00C1,'34EC,'0014,'0000,'1D48,'8011,'D412,'E57E,'5003,'E140
15:28:40,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:28:40,90614BC-0x5A,23.75,26.17,21.79,,6700,92,-9
15:28:41,90614BC-0x5A,23.73,26.19,21.99,,6700,91,-8
15:28:42,90614BC-0x5A,23.81,26.27,21.87,,6702,93,-9
15:28:43,90614BC-0x5A,23.81,26.15,22.25,,6702,91,-6
15:28:44,90614BC-0x5A,23.61,26.09,21.77,,6696,94,-9
15:28:45,90614BC-0x5A,23.77,26.25,21.63,,6702,94,-10
15:28:46,90614BC-0x5A,23.79,26.19,22.21,,6702,92,-7
15:28:47,90614BC-0x5A,23.71,26.09,21.53,,6700,91,-10
15:28:48,90614BC-0x5A,23.77,26.17,22.13,,6701,92,-8
15:28:49,90614BC-0x5A,23.77,26.15,22.05,,6701,92,-8
15:28:50,90614BC-0x5A,23.79,26.21,22.13,,6701,93,-7
15:28:51,90614BC-0x5A,23.59,26.21,21.69,,6696,98,-9
15:28:52,90614BC-0x5A,23.71,26.21,22.05,,6701,94,-8
15:28:53,90614BC-0x5A,23.79,26.27,22.19,,6702,96,-8
15:28:54,90614BC-0x5A,23.61,26.11,22.21,,6697,94,-6
15:28:55,90614BC-0x5A,23.79,26.25,22.13,,6701,94,-7
15:28:56,90614BC-0x5A,23.77,26.21,22.17,,6701,92,-7
15:28:57,90614BC-0x5A,23.79,26.21,22.17,,6701,94,-8
15:28:58,90614BC-0x5A,23.75,26.23,22.13,,6701,95,-8
15:28:59,90614BC-0x5A,23.79,26.25,21.87,,6701,95,-9
15:29:00,90614BC-0x5A,23.77,26.27,22.43,,6701,96,-6
15:29:01,90614BC-0x5A,23.79,26.19,22.19,,6701,93,-6
15:29:02,90614BC-0x5A,23.79,26.21,22.07,,6702,92,-8
15:29:03,90614BC-0x5A,23.79,26.27,22.19,,6701,97,-7
15:29:04,90614BC-0x5A,23.81,26.23,22.27,,6702,93,-8
15:29:05,90614BC-0x5A,23.77,26.23,22.15,,6701,94,-7
15:29:06,90614BC-0x5A,23.77,26.15,22.23,,6700,95,-7
15:29:07,90614BC-0x5A,23.77,26.31,22.39,,6701,98,-6
15:29:08,90614BC-0x5A,23.81,26.23,22.23,,6702,94,-7
15:29:09,90614BC-0x5A,23.73,26.21,22.43,,6700,93,-5
15:29:10,90614BC-0x5A,23.75,26.23,22.87,,6700,96,-3
15:29:11,90614BC-0x5A,23.77,26.23,22.61,,6702,97,-5
15:29:12,90614BC-0x5A,23.81,26.27,22.57,,6702,96,-5
15:29:13,90614BC-0x5A,23.79,26.27,22.57,,6701,98,-6
15:29:14,90614BC-0x5A,23.63,26.07,22.29,,6696,93,-6
15:29:15,90614BC-0x5A,23.75,26.21,22.63,,6701,96,-5
15:29:16,90614BC-0x5A,23.77,26.21,22.49,,6701,96,-6
15:29:17,90614BC-0x5A,23.77,26.29,22.09,,6701,98,-8
15:29:18,90614BC-0x5A,23.79,26.25,22.81,,6702,95,-4
15:29:19,90614BC-0x5A,23.73,26.03,22.75,,6695,96,-4
15:29:20,90614BC-0x5A,23.77,26.29,23.11,,6701,99,-2
15:29:21,90614BC-0x5A,23.79,26.25,22.81,,6701,97,-4
15:29:22,90614BC-0x5A,23.77,26.25,22.51,,6701,97,-6
15:29:23,90614BC-0x5A,23.81,26.19,22.65,,6702,96,-6
15:29:24,90614BC-0x5A,23.79,26.23,22.39,,6702,94,-6
15:29:26,90614BC-0x5A,23.77,26.21,22.37,,6701,96,-7
15:29:26,90614BC-0x5A,23.77,26.25,22.29,,6701,96,-7
15:29:28,90614BC-0x5A,23.57,25.93,22.41,,6695,92,-6
15:29:28,90614BC-0x5A,23.77,26.27,22.47,,6701,97,-6
15:29:30,90614BC-0x5A,23.81,26.27,22.93,,6702,96,-4
15:29:31,90614BC-0x5A,23.77,26.15,23.35,,6701,96,-2
15:29:31,90614BC-0x5A,23.81,26.23,22.79,,6702,96,-4
15:29:33,90614BC-0x5A,23.73,26.17,22.83,,6700,95,-5
15:29:34,90614BC-0x5A,23.77,26.19,23.33,,6701,98,-2
15:29:35,90614BC-0x5A,23.77,26.21,22.43,,6701,96,-6
15:29:36,90614BC-0x5A,23.77,26.23,22.91,,6701,95,-4
15:29:37,90614BC-0x5A,23.77,26.21,22.53,,6701,95,-5
15:29:38,90614BC-0x5A,23.79,26.27,22.53,,6701,96,-6
15:29:39,90614BC-0x5A,23.77,26.23,22.53,,6701,96,-6
15:29:40,90614BC-0x5A,23.75,26.13,22.93,,6701,96,-3
15:29:41,90614BC-0x5A,23.77,26.21,22.55,,6701,94,-6
15:29:42,90614BC-0x5A,23.77,26.25,22.49,,6701,98,-6
15:29:43,90614BC-0x5A,23.75,26.25,22.61,,6700,97,-5
15:29:44,90614BC-0x5A,23.81,26.23,22.67,,6702,95,-5
15:29:45,90614BC-0x5A,23.81,26.19,22.63,,6702,96,-5
