15:30:53,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'EA94,'E4F2,'DAE3,'D37D,'CA69,'8600,'4B75,'2032,'BE5A,'0733,'84B7,'8E12,'53E3,'801B,'8006,'1D18,'00C1,'34F7,'0016,'0000,'1C48,'8011,'DC0D,'E5E0,'5003,'E140
15:30:53,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:30:53,90614BC-0x5A,23.71,26.29,24.61,,6705,100,5
15:30:54,90614BC-0x5A,23.65,26.27,24.61,,6704,98,5
15:30:55,90614BC-0x5A,23.69,26.33,24.41,,6704,101,3
15:30:56,90614BC-0x5A,23.61,26.27,24.59,,6702,100,4
15:30:57,90614BC-0x5A,23.67,26.35,24.67,,6704,101,5
15:30:58,90614BC-0x5A,23.73,26.31,24.25,,6706,98,2
15:30:59,90614BC-0x5A,23.65,26.23,24.39,,6704,100,3
15:31:00,90614BC-0x5A,23.67,26.31,24.31,,6704,102,3
15:31:01,90614BC-0x5A,23.69,26.33,24.45,,6704,101,3
15:31:02,90614BC-0x5A,23.71,26.33,24.19,,6705,100,2
15:31:03,90614BC-0x5A,23.67,26.23,24.31,,6704,100,2
15:31:04,90614BC-0x5A,23.67,26.27,24.43,,6704,101,3
15:31:05,90614BC-0x5A,23.67,26.29,24.31,,6704,100,3
15:31:06,90614BC-0x5A,23.67,26.27,24.43,,6704,103,3
15:31:07,90614BC-0x5A,23.71,26.31,24.39,,6705,102,3
15:31:08,90614BC-0x5A,23.63,26.29,24.57,,6703,100,4
15:31:09,90614BC-0x5A,23.67,26.25,24.39,,6704,98,3
15:31:10,90614BC-0x5A,23.69,26.31,24.93,,6704,102,6
15:31:11,90614BC-0x5A,23.65,26.17,24.71,,6704,98,5
15:31:12,90614BC-0x5A,23.69,26.17,24.95,,6704,99,6
15:31:13,90614BC-0x5A,23.67,26.29,24.45,,6704,101,3
15:31:14,90614BC-0x5A,23.67,26.29,24.43,,6704,101,3
15:31:15,90614BC-0x5A,23.65,26.27,24.53,,6704,100,4
15:31:16,90614BC-0x5A,23.69,26.27,24.71,,6705,103,4
15:31:17,90614BC-0x5A,23.67,26.19,24.93,,6704,99,6
15:31:18,90614BC-0x5A,23.67,26.31,24.39,,6704,103,3
15:31:19,90614BC-0x5A,23.67,26.27,24.75,,6704,102,5
15:31:20,90614BC-0x5A,23.71,26.31,24.81,,6705,103,5
15:31:21,90614BC-0x5A,23.63,26.27,24.71,,6703,103,5
15:31:22,90614BC-0x5A,23.69,26.25,24.81,,6704,101,5
15:31:23,90614BC-0x5A,23.63,26.31,24.43,,6703,103,3
15:31:24,90614BC-0x5A,23.65,26.23,24.31,,6703,101,2
15:31:25,90614BC-0x5A,23.63,26.23,24.71,,6703,103,6
15:31:26,90614BC-0x5A,23.65,26.27,24.49,,6704,101,4
15:31:27,90614BC-0x5A,23.69,26.29,24.67,,6705,101,5
15:31:29,90614BC-0x5A,23.67,26.27,24.99,,6704,101,6
15:31:29,90614BC-0x5A,23.67,26.23,24.81,,6704,99,5
15:31:31,90614BC-0x5A,23.65,26.27,25.01,,6704,102,6
15:31:32,90614BC-0x5A,23.65,26.31,24.53,,6704,103,4
15:31:33,90614BC-0x5A,23.67,26.27,24.83,,6704,102,5
15:31:34,90614BC-0x5A,23.65,26.21,24.99,,6704,102,6
15:31:35,90614BC-0x5A,23.63,26.27,24.81,,6703,103,6
15:31:36,90614BC-0x5A,23.71,26.29,25.11,,6704,103,7
15:31:37,90614BC-0x5A,23.65,26.25,25.21,,6704,101,8
15:31:38,90614BC-0x5A,23.65,26.31,24.95,,6704,104,6
15:31:39,90614BC-0x5A,23.67,26.25,25.31,,6704,101,8
15:31:40,90614BC-0x5A,23.67,26.35,24.71,,6705,104,4
15:31:41,90614BC-0x5A,23.65,26.31,25.33,,6704,103,9
15:31:42,90614BC-0x5A,23.63,26.35,25.01,,6703,106,7
15:31:43,90614BC-0x5A,23.65,26.31,25.21,,6704,104,8
15:31:44,90614BC-0x5A,23.67,26.27,24.93,,6704,102,6
15:31:45,90614BC-0x5A,23.63,26.29,24.99,,6704,104,6
15:31:46,90614BC-0x5A,23.65,26.27,25.09,,6704,106,7
15:31:47,90614BC-0x5A,23.65,26.21,25.25,,6704,101,8
15:31:48,90614BC-0x5A,23.67,26.31,25.11,,6704,104,7
15:31:49,90614BC-0x5A,23.65,26.29,25.21,,6703,105,8
15:31:50,90614BC-0x5A,23.63,26.27,25.27,,6703,103,8
15:31:51,90614BC-0x5A,23.65,26.23,25.21,,6704,101,7
15:31:52,90614BC-0x5A,23.65,26.17,25.35,,6704,102,8
15:31:53,90614BC-0x5A,23.63,26.27,25.25,,6703,105,8
15:31:54,90614BC-0x5A,23.63,26.23,25.15,,6703,102,7
15:31:55,90614BC-0x5A,23.65,26.31,25.07,,6704,105,7
15:31:56,90614BC-0x5A,23.67,26.21,25.55,,6704,103,9
15:31:57,90614BC-0x5A,23.69,26.29,25.19,,6705,102,7
15:31:58,90614BC-0x5A,23.65,26.27,25.33,,6704,106,8
