15:33:09,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'FB12,'F50B,'EA47,'E25C,'D8A5,'8600,'4B75,'2032,'BE5A,'0733,'861C,'8E12,'53E3,'0007,'0029,'1D23,'00C1,'3518,'0012,'0000,'1C49,'8011,'8C0F,'E5DC,'5003,'E140
15:33:09,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:33:09,90614BC-0x5A,23.65,26.17,24.03,,6720,89,2
15:33:10,90614BC-0x5A,23.61,26.25,23.65,,6720,90,0
15:33:11,90614BC-0x5A,23.67,26.27,23.21,,6720,90,-2
15:33:12,90614BC-0x5A,23.45,26.11,23.51,,6714,90,0
15:33:13,90614BC-0x5A,23.59,26.21,23.75,,6718,90,1
15:33:14,90614BC-0x5A,23.67,26.23,23.71,,6720,90,1
15:33:15,90614BC-0x5A,23.65,26.23,23.81,,6720,90,1
15:33:17,90614BC-0x5A,23.63,26.21,23.75,,6720,92,0
15:33:17,90614BC-0x5A,23.67,26.31,23.89,,6721,92,1
15:33:19,90614BC-0x5A,23.67,26.25,23.93,,6720,91,1
15:33:20,90614BC-0x5A,23.63,26.19,23.93,,6719,90,1
15:33:21,90614BC-0x5A,23.61,26.23,23.95,,6719,93,1
15:33:22,90614BC-0x5A,23.71,26.35,23.79,,6721,92,0
15:33:23,90614BC-0x5A,23.69,26.27,24.01,,6721,92,1
15:33:24,90614BC-0x5A,23.47,26.11,23.79,,6715,91,0
15:33:25,90614BC-0x5A,23.63,26.27,23.65,,6719,92,0
15:33:26,90614BC-0x5A,23.67,26.33,23.91,,6720,95,1
15:33:27,90614BC-0x5A,23.67,26.37,23.89,,6720,95,1
15:33:28,90614BC-0x5A,23.65,26.23,24.17,,6720,91,3
15:33:29,90614BC-0x5A,23.65,26.21,23.93,,6720,90,1
15:33:30,90614BC-0x5A,23.67,26.35,23.83,,6721,93,1
15:33:31,90614BC-0x5A,23.61,26.21,23.61,,6719,90,-1
15:33:32,90614BC-0x5A,23.67,26.21,24.05,,6720,91,1
15:33:33,90614BC-0x5A,23.59,26.19,23.97,,6719,92,2
15:33:34,90614BC-0x5A,23.65,26.27,24.15,,6720,93,2
15:33:35,90614BC-0x5A,23.67,26.19,23.99,,6721,93,2
15:33:36,90614BC-0x5A,23.69,26.25,24.21,,6721,92,2
15:33:37,90614BC-0x5A,23.65,26.23,23.95,,6720,90,1
15:33:38,90614BC-0x5A,23.61,26.27,23.77,,6719,95,1
15:33:39,90614BC-0x5A,23.63,26.17,24.11,,6720,92,2
15:33:40,90614BC-0x5A,23.65,26.31,23.57,,6720,94,2
15:33:41,90614BC-0x5A,23.63,26.17,24.01,,6719,90,2
15:33:42,90614BC-0x5A,23.67,26.33,24.51,,6720,95,3
15:33:43,90614BC-0x5A,23.63,26.25,23.61,,6719,92,0
15:33:44,90614BC-0x5A,23.65,26.21,24.07,,6720,91,1
15:33:45,90614BC-0x5A,23.65,26.25,24.21,,6720,93,2
15:33:46,90614BC-0x5A,23.63,26.23,24.05,,6719,92,2
15:33:47,90614BC-0x5A,23.65,26.25,23.85,,6720,91,1
15:33:48,90614BC-0x5A,23.63,26.29,24.07,,6719,94,2
15:33:49,90614BC-0x5A,23.65,26.31,23.77,,6720,93,0
15:33:50,90614BC-0x5A,23.67,26.27,23.39,,6720,94,-2
15:33:51,90614BC-0x5A,23.65,26.21,24.11,,6720,90,2
15:33:52,90614BC-0x5A,23.65,26.25,24.69,,6721,93,5
15:33:53,90614BC-0x5A,23.65,26.27,23.81,,6720,93,1
15:33:54,90614BC-0x5A,23.59,26.29,24.41,,6719,93,4
15:33:55,90614BC-0x5A,23.67,26.23,24.31,,6721,95,3
15:33:56,90614BC-0x5A,23.61,26.19,24.25,,6719,90,3
15:33:57,90614BC-0x5A,23.63,26.31,24.03,,6719,94,1
15:33:58,90614BC-0x5A,23.67,26.31,23.97,,6721,95,1
15:33:59,90614BC-0x5A,23.65,26.27,24.19,,6720,92,3
15:34:00,90614BC-0x5A,23.67,26.27,23.93,,6720,94,1
15:34:01,90614BC-0x5A,23.63,26.19,24.15,,6719,92,2
15:34:02,90614BC-0x5A,23.65,26.29,24.23,,6720,95,2
15:34:03,90614BC-0x5A,23.61,26.33,24.91,,6719,96,7
15:34:04,90614BC-0x5A,23.63,26.31,24.23,,6720,95,3
15:34:05,90614BC-0x5A,23.59,26.25,23.85,,6720,93,0
15:34:06,90614BC-0x5A,23.63,26.27,23.95,,6720,94,1
15:34:07,90614BC-0x5A,23.61,26.29,24.63,,6719,95,5
15:34:08,90614BC-0x5A,23.67,26.21,24.45,,6720,92,4
15:34:09,90614BC-0x5A,23.65,26.21,24.35,,6720,94,3
15:34:10,90614BC-0x5A,23.65,26.23,23.97,,6720,91,1
15:34:11,90614BC-0x5A,23.61,26.23,24.51,,6719,94,4
15:34:12,90614BC-0x5A,23.63,26.27,23.95,,6719,93,1
15:34:13,90614BC-0x5A,23.67,26.31,24.71,,6720,95,5
15:34:14,90614BC-0x5A,23.65,26.31,23.81,,6720,93,0
15:34:15,90614BC-0x5A,23.63,26.27,24.69,,6719,94,5
