"t","type","k","id","Ta","To","To2","T"
14:10:00,"bcf","5","09",23.69,7.11,20.45,4.65994
14:10:01,"bcf","5","09",23.73,7.19,17.51,4.659954
14:10:02,"bcf","5","09",23.75,7.27,17.61,4.65996
14:10:03,"bcf","5","09",23.77,7.23,17.25,4.659958
14:10:04,"bcf","5","09",23.73,7.19,18.51,4.659958
14:10:05,"bcf","5","09",23.75,7.27,15.67,4.659945
14:10:06,"bcf","5","09",23.77,7.09,19.17,4.659943
14:10:07,"bcf","5","09",23.77,7.41,19.17,4.659937
14:10:08,"bcf","5","09",23.75,7.33,15.75,4.659917
14:10:09,"bcf","5","09",23.75,7.03,17.71,4.659902
14:10:10,"bcf","5","09",23.73,7.35,18.25,4.659884
14:10:11,"bcf","5","09",23.73,7.17,16.43,4.659864
14:10:12,"bcf","5","09",23.71,6.95,17.37,4.65984
14:10:13,"bcf","5","09",23.75,7.17,17.35,4.659826
14:10:14,"bcf","5","09",23.71,7.09,17.89,4.659807
14:10:15,"bcf","5","09",23.79,7.39,16.31,4.659779
14:10:16,"bcf","5","09",23.77,7.19,16.31,4.659747
14:10:17,"bcf","5","09",23.77,7.11,15.43,4.65971
14:10:18,"bcf","5","09",23.77,7.19,16.37,4.659671
14:10:19,"bcf","5","09",23.75,7.19,15.55,4.659634
14:10:20,"bcf","5","09",23.75,7.11,17.91,4.659583
14:10:21,"bcf","5","09",23.77,7.25,15.85,4.659526
14:10:22,"bcf","5","09",23.77,7.11,16.53,4.659465
14:10:23,"bcf","5","09",23.77,7.45,14.81,4.659405
14:10:24,"bcf","5","09",23.73,7.23,18.11,4.659356
14:10:25,"bcf","5","09",23.75,7.05,17.11,4.659293
14:10:26,"bcf","5","09",23.75,7.29,14.87,4.659225
14:10:27,"bcf","5","09",23.73,7.29,16.99,4.659154
14:10:28,"bcf","5","09",23.75,7.11,17.13,4.659088
14:10:29,"bcf","5","09",23.75,7.07,17.27,4.659014
14:10:30,"bcf","5","09",23.73,7.29,16.47,4.658936
14:10:31,"bcf","5","09",23.73,7.25,16.41,4.658858
14:10:32,"bcf","5","09",23.75,7.21,16.79,4.658784
14:10:33,"bcf","5","09",23.75,7.39,15.89,4.658716
14:10:34,"bcf","5","09",23.75,7.27,14.91,4.658649
14:10:35,"bcf","5","09",23.73,7.27,16.09,4.658579
14:10:36,"bcf","5","09",23.77,7.01,16.09,4.658511
14:10:37,"bcf","5","09",23.77,7.29,17.69,4.658447
14:10:38,"bcf","5","09",23.73,7.13,16.73,4.658395
14:10:39,"bcf","5","09",23.79,7.19,18.53,4.658349
14:10:40,"bcf","5","09",23.75,7.35,16.21,4.658291
14:10:41,"bcf","5","09",23.73,7.31,18.03,4.658228
14:10:42,"bcf","5","09",23.75,7.07,16.01,4.658182
14:10:43,"bcf","5","09",23.75,7.17,17.87,4.658126
14:10:44,"bcf","5","09",23.71,7.41,15.67,4.658073
14:10:45,"bcf","5","09",23.75,7.15,17.81,4.658029
14:10:46,"bcf","5","09",23.75,7.31,17.41,4.657983
14:10:47,"bcf","5","09",23.77,7.29,14.95,4.65794
14:10:48,"bcf","5","09",23.73,7.41,16.03,4.657904
14:10:49,"bcf","5","09",23.75,7.29,17.73,4.65787
14:10:50,"bcf","5","09",23.77,7.23,17.83,4.65785
14:10:51,"bcf","5","09",23.73,7.17,19.81,4.657825
14:10:52,"bcf","5","09",23.75,7.17,17.63,4.657809
14:10:53,"bcf","5","09",23.73,7.23,16.95,4.657784
14:10:54,"bcf","5","09",23.77,7.19,17.21,4.65777
14:10:55,"bcf","5","09",23.75,7.51,18.11,4.657773
14:10:56,"bcf","5","09",23.77,7.17,18.41,4.65777
14:10:57,"bcf","5","09",23.75,7.21,17.31,4.657785
14:10:58,"bcf","5","09",23.75,7.19,18.29,4.65778
14:10:59,"bcf","5","09",23.73,7.45,16.69,4.657793
14:11:00,"bcf","5","09",23.75,7.27,17.15,4.657814
14:11:01,"bcf","5","09",23.77,7.21,19.11,4.657824
14:11:02,"bcf","5","09",23.73,7.17,19.17,4.657834
