15:46:59,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'A51E,'A51E,'A817,'B0D2,'D999,'0000,'5C32,'209F,'BE5A,'0733,'A56C,'7DD3,'53E3,'8042,'8047,'1D1A,'00C2,'351D,'0014,'0000,'1D47,'8011,'4C15,'F06C,'7107,'E186
15:46:59,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:46:59,90614BC-0x5A,25.11,41.19,119.89,,6756,361,148
15:47:00,90614BC-0x5A,25.19,41.23,103.73,,6758,333,118
15:47:01,90614BC-0x5A,25.21,41.15,93.13,,6758,308,95
15:47:02,90614BC-0x5A,25.27,41.21,81.47,,6760,293,74
15:47:03,90614BC-0x5A,25.25,41.03,74.17,,6760,279,61
15:47:04,90614BC-0x5A,25.27,40.99,67.83,,6759,270,55
15:47:05,90614BC-0x5A,25.33,40.95,62.15,,6761,260,45
15:47:07,90614BC-0x5A,25.31,41.03,56.07,,6760,256,37
15:47:07,90614BC-0x5A,25.37,40.93,55.33,,6762,251,36
15:47:09,90614BC-0x5A,25.33,40.95,52.51,,6760,248,32
15:47:09,90614BC-0x5A,25.33,40.83,53.07,,6761,246,35
15:47:11,90614BC-0x5A,25.33,40.75,52.89,,6760,248,36
15:47:12,90614BC-0x5A,25.35,40.93,51.73,,6761,248,31
15:47:12,90614BC-0x5A,25.37,41.01,51.15,,6762,248,31
15:47:14,90614BC-0x5A,25.35,40.89,51.85,,6761,248,32
15:47:15,90614BC-0x5A,25.39,40.91,51.23,,6763,246,31
15:47:16,90614BC-0x5A,25.37,40.99,52.35,,6761,249,33
15:47:17,90614BC-0x5A,25.35,40.99,51.91,,6761,250,30
15:47:18,90614BC-0x5A,25.35,41.03,51.81,,6760,252,31
15:47:19,90614BC-0x5A,25.39,40.85,50.75,,6762,244,30
15:47:20,90614BC-0x5A,25.39,40.79,48.17,,6762,242,25
15:47:21,90614BC-0x5A,25.39,40.73,45.65,,6762,237,21
15:47:22,90614BC-0x5A,25.37,40.85,45.49,,6762,238,23
15:47:23,90614BC-0x5A,25.39,40.85,45.61,,6762,237,24
15:47:24,90614BC-0x5A,25.39,40.81,45.07,,6762,237,21
15:47:25,90614BC-0x5A,25.41,40.83,46.89,,6763,240,25
15:47:26,90614BC-0x5A,25.39,40.79,45.75,,6762,238,23
15:47:27,90614BC-0x5A,25.39,40.87,45.55,,6762,238,24
15:47:28,90614BC-0x5A,25.41,40.85,46.53,,6762,238,26
15:47:29,90614BC-0x5A,25.41,40.79,47.07,,6762,238,26
15:47:30,90614BC-0x5A,25.39,40.83,47.67,,6762,240,27
15:47:31,90614BC-0x5A,25.41,40.95,45.37,,6762,239,24
15:47:32,90614BC-0x5A,25.37,40.81,45.47,,6762,237,25
15:47:33,90614BC-0x5A,25.41,40.87,42.51,,6762,235,19
15:47:34,90614BC-0x5A,25.41,40.83,45.23,,6763,238,23
15:47:35,90614BC-0x5A,25.41,40.87,46.07,,6762,239,24
15:47:36,90614BC-0x5A,25.41,40.97,46.63,,6763,241,25
15:47:37,90614BC-0x5A,25.43,40.93,45.85,,6763,238,23
15:47:38,90614BC-0x5A,25.39,40.87,46.09,,6761,238,23
15:47:39,90614BC-0x5A,25.41,40.85,44.55,,6762,236,22
15:47:40,90614BC-0x5A,25.41,40.79,42.09,,6762,233,20
15:47:41,90614BC-0x5A,25.39,40.87,41.95,,6762,235,18
15:47:42,90614BC-0x5A,25.41,40.79,42.37,,6762,235,20
15:47:43,90614BC-0x5A,25.43,40.75,42.31,,6763,233,19
15:47:44,90614BC-0x5A,25.43,40.73,40.99,,6763,233,16
15:47:45,90614BC-0x5A,25.39,40.77,40.83,,6762,232,18
15:47:46,90614BC-0x5A,25.43,40.81,40.53,,6763,231,18
15:47:47,90614BC-0x5A,25.43,40.75,41.43,,6764,232,18
15:47:48,90614BC-0x5A,25.41,40.81,41.39,,6763,233,18
15:47:49,90614BC-0x5A,25.39,40.85,43.45,,6761,233,23
15:47:50,90614BC-0x5A,25.43,40.85,43.07,,6763,235,19
15:47:51,90614BC-0x5A,25.45,40.97,44.63,,6763,239,22
15:47:52,90614BC-0x5A,25.43,40.87,42.61,,6764,237,18
15:47:53,90614BC-0x5A,25.43,40.81,43.37,,6763,235,21
15:47:54,90614BC-0x5A,25.41,40.83,42.67,,6762,237,18
15:47:55,90614BC-0x5A,25.43,40.81,42.31,,6763,233,19
15:47:56,90614BC-0x5A,25.47,40.81,39.47,,6764,232,14
15:47:57,90614BC-0x5A,25.43,40.95,41.49,,6763,235,16
15:47:58,90614BC-0x5A,25.43,40.79,42.01,,6763,233,19
15:47:59,90614BC-0x5A,25.43,40.81,41.15,,6763,232,18
15:48:00,90614BC-0x5A,25.43,40.85,39.91,,6763,235,14
15:48:01,90614BC-0x5A,25.41,40.81,41.57,,6762,231,19
15:48:02,90614BC-0x5A,25.41,40.99,41.19,,6762,236,18
15:48:03,90614BC-0x5A,25.43,40.81,42.33,,6763,233,20
