15:54:07,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'AC52,'AC52,'AF6D,'B889,'E317,'0000,'5C32,'209F,'BE5A,'0733,'E4C8,'7DD4,'53E3,'8035,'8037,'1D07,'00C1,'34F7,'0011,'0000,'1D47,'8011,'1813,'F393,'8387,'E144
15:54:07,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:54:07,90614BC-0x5A,25.51,42.29,101.43,,6746,294,73
15:54:08,90614BC-0x5A,25.53,41.95,94.21,,6747,281,64
15:54:09,90614BC-0x5A,25.61,41.75,86.91,,6748,269,56
15:54:10,90614BC-0x5A,25.63,41.53,79.29,,6749,259,46
15:54:11,90614BC-0x5A,25.65,41.39,73.45,,6749,253,40
15:54:12,90614BC-0x5A,25.65,41.21,70.27,,6749,246,39
15:54:13,90614BC-0x5A,25.69,41.17,68.85,,6750,242,37
15:54:14,90614BC-0x5A,25.67,40.97,68.13,,6749,238,37
15:54:15,90614BC-0x5A,25.69,40.99,64.61,,6750,235,32
15:54:16,90614BC-0x5A,25.71,40.91,60.69,,6750,230,30
15:54:17,90614BC-0x5A,25.67,40.81,58.89,,6749,227,28
15:54:18,90614BC-0x5A,25.75,40.81,56.23,,6751,228,23
15:54:19,90614BC-0x5A,25.75,40.97,55.45,,6752,228,24
15:54:20,90614BC-0x5A,25.73,40.81,54.85,,6751,225,23
15:54:21,90614BC-0x5A,25.73,40.95,53.03,,6751,226,21
15:54:22,90614BC-0x5A,25.73,40.93,52.79,,6751,225,21
15:54:23,90614BC-0x5A,25.75,40.81,53.91,,6752,223,24
15:54:24,90614BC-0x5A,25.73,40.91,54.25,,6751,228,22
15:54:25,90614BC-0x5A,25.75,40.87,54.51,,6752,226,23
15:54:26,90614BC-0x5A,25.73,40.67,55.87,,6751,222,25
15:54:27,90614BC-0x5A,25.73,40.71,52.91,,6752,222,22
15:54:28,90614BC-0x5A,25.75,40.85,51.47,,6752,223,21
15:54:29,90614BC-0x5A,25.71,40.69,50.13,,6750,218,19
15:54:30,90614BC-0x5A,25.75,40.81,50.41,,6751,221,20
15:54:31,90614BC-0x5A,25.73,40.75,51.29,,6751,220,21
15:54:32,90614BC-0x5A,25.77,40.61,52.59,,6752,218,21
15:54:33,90614BC-0x5A,25.75,40.91,49.89,,6751,222,21
15:54:34,90614BC-0x5A,25.75,40.67,49.45,,6752,220,18
15:54:35,90614BC-0x5A,25.69,40.69,49.61,,6750,218,19
15:54:36,90614BC-0x5A,25.73,40.73,49.77,,6751,220,19
15:54:37,90614BC-0x5A,25.73,40.69,51.17,,6751,219,19
15:54:38,90614BC-0x5A,25.73,40.67,50.93,,6751,221,22
15:54:39,90614BC-0x5A,25.73,40.75,51.57,,6751,221,22
15:54:40,90614BC-0x5A,25.75,40.61,49.81,,6751,218,21
15:54:41,90614BC-0x5A,25.77,40.67,48.53,,6752,219,17
15:54:42,90614BC-0x5A,25.75,40.89,51.17,,6752,223,22
15:54:43,90614BC-0x5A,25.77,40.79,49.61,,6752,220,18
15:54:44,90614BC-0x5A,25.75,40.83,51.93,,6752,223,22
15:54:45,90614BC-0x5A,25.73,40.73,47.77,,6751,220,15
15:54:46,90614BC-0x5A,25.75,40.75,50.39,,6752,218,21
15:54:47,90614BC-0x5A,25.73,40.65,48.67,,6751,218,17
15:54:48,90614BC-0x5A,25.73,40.67,50.01,,6751,219,19
15:54:49,90614BC-0x5A,25.75,40.67,49.49,,6752,218,18
15:54:50,90614BC-0x5A,25.77,40.71,50.07,,6752,219,20
15:54:51,90614BC-0x5A,25.77,40.75,50.19,,6752,219,20
15:54:52,90614BC-0x5A,25.79,40.59,51.15,,6752,218,19
15:54:53,90614BC-0x5A,25.77,40.81,48.11,,6751,218,18
15:54:54,90614BC-0x5A,25.75,40.73,49.33,,6752,216,20
15:54:55,90614BC-0x5A,25.75,40.63,48.35,,6752,216,17
15:54:56,90614BC-0x5A,25.75,40.69,45.95,,6752,214,14
15:54:57,90614BC-0x5A,25.73,40.79,46.37,,6751,218,15
15:54:58,90614BC-0x5A,25.67,40.69,48.47,,6752,216,18
15:54:59,90614BC-0x5A,25.75,40.81,49.53,,6751,218,21
15:55:00,90614BC-0x5A,25.75,40.67,48.15,,6751,217,17
15:55:01,90614BC-0x5A,25.75,40.57,47.91,,6751,214,17
15:55:02,90614BC-0x5A,25.73,40.67,47.85,,6751,214,19
15:55:03,90614BC-0x5A,25.79,40.79,44.27,,6753,215,12
15:55:04,90614BC-0x5A,25.75,40.69,45.83,,6751,216,16
15:55:05,90614BC-0x5A,25.81,40.75,47.37,,6753,215,17
15:55:06,90614BC-0x5A,25.75,40.69,46.39,,6752,217,15
15:55:07,90614BC-0x5A,25.73,40.63,47.09,,6750,214,17
15:55:08,90614BC-0x5A,25.75,40.65,47.71,,6751,217,18
15:55:09,90614BC-0x5A,25.73,40.67,46.89,,6751,217,16
15:55:10,90614BC-0x5A,25.75,40.73,44.25,,6752,215,14
15:55:11,90614BC-0x5A,25.75,40.75,48.29,,6751,218,19
