15:55:57,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'AE4C,'AE4C,'B16F,'BAA6,'E5B1,'0000,'5C32,'209F,'BE5A,'0733,'B86E,'7DD3,'53E3,'803B,'8044,'1D24,'00C1,'34FE,'001D,'0000,'1D45,'8011,'7C0B,'F0D4,'7107,'E186
15:55:57,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:55:57,90614BC-0x5A,25.81,40.85,67.19,,6756,248,57
15:55:58,90614BC-0x5A,25.73,40.79,63.23,,6750,246,50
15:55:59,90614BC-0x5A,25.83,40.69,61.43,,6757,241,47
15:56:00,90614BC-0x5A,25.83,40.89,59.07,,6757,240,44
15:56:01,90614BC-0x5A,25.83,40.93,54.57,,6756,235,35
15:56:02,90614BC-0x5A,25.81,40.91,52.75,,6756,231,34
15:56:03,90614BC-0x5A,25.85,40.73,52.27,,6757,229,33
15:56:04,90614BC-0x5A,25.87,40.95,50.65,,6758,231,30
15:56:05,90614BC-0x5A,25.83,40.87,50.15,,6756,230,30
15:56:06,90614BC-0x5A,25.87,40.87,49.21,,6758,225,30
15:56:07,90614BC-0x5A,25.85,40.99,46.53,,6757,225,25
15:56:08,90614BC-0x5A,25.85,41.09,44.73,,6756,224,23
15:56:10,90614BC-0x5A,25.87,41.17,43.87,,6758,225,22
15:56:11,90614BC-0x5A,25.85,41.13,45.43,,6757,227,24
15:56:12,90614BC-0x5A,25.89,40.95,46.83,,6759,225,27
15:56:13,90614BC-0x5A,25.81,40.95,47.85,,6757,227,28
15:56:14,90614BC-0x5A,25.87,41.03,47.83,,6758,228,27
15:56:15,90614BC-0x5A,25.87,40.95,46.13,,6758,224,25
15:56:16,90614BC-0x5A,25.85,40.97,44.37,,6757,223,21
15:56:17,90614BC-0x5A,25.87,40.99,44.13,,6758,222,23
15:56:18,90614BC-0x5A,25.87,40.79,46.11,,6758,220,26
15:56:19,90614BC-0x5A,25.91,41.07,44.59,,6759,223,23
15:56:20,90614BC-0x5A,25.85,40.95,44.05,,6757,221,22
15:56:21,90614BC-0x5A,25.87,40.93,43.81,,6759,221,23
15:56:22,90614BC-0x5A,25.85,40.93,45.45,,6757,224,23
15:56:23,90614BC-0x5A,25.87,40.95,44.17,,6757,222,22
15:56:24,90614BC-0x5A,25.87,40.85,46.47,,6757,224,24
15:56:25,90614BC-0x5A,25.87,40.81,47.39,,6757,223,26
15:56:26,90614BC-0x5A,25.87,40.89,46.31,,6757,225,24
15:56:27,90614BC-0x5A,25.89,40.83,44.55,,6759,221,22
15:56:28,90614BC-0x5A,25.85,40.81,45.67,,6756,221,24
15:56:29,90614BC-0x5A,25.89,40.81,44.91,,6758,223,22
15:56:30,90614BC-0x5A,25.87,41.05,45.61,,6758,222,27
15:56:31,90614BC-0x5A,25.89,40.89,43.29,,6758,219,21
15:56:32,90614BC-0x5A,25.89,40.99,43.79,,6758,219,24
15:56:33,90614BC-0x5A,25.89,40.91,43.91,,6758,219,23
15:56:34,90614BC-0x5A,25.87,40.95,44.99,,6758,223,24
15:56:35,90614BC-0x5A,25.89,40.97,45.83,,6758,224,25
15:56:36,90614BC-0x5A,25.87,40.91,46.11,,6757,222,25
15:56:37,90614BC-0x5A,25.87,40.99,46.39,,6758,226,26
15:56:38,90614BC-0x5A,25.93,41.05,45.41,,6759,222,23
15:56:39,90614BC-0x5A,25.91,40.87,44.35,,6758,221,24
15:56:40,90614BC-0x5A,25.91,40.99,44.41,,6758,223,22
15:56:41,90614BC-0x5A,25.89,41.07,44.53,,6758,224,22
15:56:42,90614BC-0x5A,25.87,41.01,43.61,,6757,221,20
15:56:43,90614BC-0x5A,25.91,40.83,43.11,,6759,217,21
15:56:44,90614BC-0x5A,25.91,40.89,42.73,,6758,218,21
15:56:45,90614BC-0x5A,25.91,40.85,44.25,,6758,220,22
15:56:46,90614BC-0x5A,25.89,40.97,43.29,,6758,220,21
15:56:47,90614BC-0x5A,25.87,40.89,43.43,,6757,218,22
15:56:48,90614BC-0x5A,25.89,40.97,42.35,,6758,220,20
15:56:49,90614BC-0x5A,25.93,40.99,40.89,,6759,219,17
15:56:50,90614BC-0x5A,25.91,40.91,40.71,,6758,216,18
15:56:51,90614BC-0x5A,25.89,41.19,39.95,,6758,220,18
15:56:52,90614BC-0x5A,25.93,40.97,41.11,,6759,215,19
15:56:53,90614BC-0x5A,25.91,40.99,41.31,,6759,217,19
15:56:54,90614BC-0x5A,25.89,40.85,43.67,,6758,220,22
15:56:55,90614BC-0x5A,25.91,40.97,45.33,,6758,223,24
15:56:56,90614BC-0x5A,25.89,40.93,46.47,,6758,222,25
15:56:57,90614BC-0x5A,25.95,40.79,47.81,,6759,221,27
15:56:58,90614BC-0x5A,25.93,40.87,48.05,,6759,225,28
15:56:59,90614BC-0x5A,25.95,40.89,44.75,,6760,221,22
15:57:00,90614BC-0x5A,25.93,40.91,43.35,,6758,219,20
15:57:01,90614BC-0x5A,25.93,40.93,44.35,,6759,222,22
15:57:02,90614BC-0x5A,25.97,40.99,44.31,,6760,221,23
15:57:03,90614BC-0x5A,25.95,40.93,44.11,,6760,220,21
