15:59:50,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'AD80,'AD80,'B0A0,'B9CC,'E4A5,'0000,'5C32,'209F,'BE5A,'0733,'8142,'7DD3,'53E3,'803A,'803B,'1D04,'00C1,'34DE,'0010,'0000,'1C4B,'8011,'640E,'F36D,'8387,'E144
15:59:50,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:59:50,90614BC-0x5A,25.49,42.47,111.79,,6733,318,96
15:59:51,90614BC-0x5A,25.53,42.25,99.93,,6734,299,82
15:59:52,90614BC-0x5A,25.61,42.03,88.83,,6736,281,65
15:59:53,90614BC-0x5A,25.67,41.73,81.75,,6737,266,55
15:59:54,90614BC-0x5A,25.65,41.47,73.47,,6736,255,48
15:59:55,90614BC-0x5A,25.61,41.35,69.65,,6734,251,42
15:59:56,90614BC-0x5A,25.67,41.49,64.93,,6737,245,38
15:59:57,90614BC-0x5A,25.69,41.23,62.39,,6737,241,34
15:59:58,90614BC-0x5A,25.71,41.21,57.65,,6738,237,27
15:59:59,90614BC-0x5A,25.73,41.09,56.97,,6739,232,28
16:00:00,90614BC-0x5A,25.69,41.07,54.99,,6737,229,27
16:00:01,90614BC-0x5A,25.73,40.99,54.81,,6738,227,27
16:00:02,90614BC-0x5A,25.73,40.97,51.71,,6739,227,26
16:00:03,90614BC-0x5A,25.71,41.17,53.07,,6738,230,25
16:00:04,90614BC-0x5A,25.75,40.97,54.21,,6739,225,26
16:00:05,90614BC-0x5A,25.73,40.99,52.73,,6738,226,23
16:00:06,90614BC-0x5A,25.73,41.03,53.19,,6739,228,24
16:00:07,90614BC-0x5A,25.77,41.09,55.39,,6739,230,28
16:00:08,90614BC-0x5A,25.73,40.99,55.03,,6738,229,26
16:00:09,90614BC-0x5A,25.73,40.99,54.93,,6739,228,25
16:00:10,90614BC-0x5A,25.75,40.89,54.31,,6739,226,25
16:00:11,90614BC-0x5A,25.75,40.81,53.61,,6739,223,24
16:00:12,90614BC-0x5A,25.75,40.99,51.41,,6739,225,24
16:00:13,90614BC-0x5A,25.75,40.95,48.79,,6739,220,19
16:00:14,90614BC-0x5A,25.75,40.87,47.91,,6739,221,19
16:00:15,90614BC-0x5A,25.77,40.81,48.97,,6740,220,20
16:00:16,90614BC-0x5A,25.75,40.75,47.77,,6739,219,18
16:00:17,90614BC-0x5A,25.75,40.81,46.87,,6738,217,19
16:00:18,90614BC-0x5A,25.71,40.77,45.07,,6737,215,15
16:00:19,90614BC-0x5A,25.75,40.99,47.95,,6740,222,20
16:00:20,90614BC-0x5A,25.79,40.71,49.07,,6740,217,22
16:00:21,90614BC-0x5A,25.77,40.89,47.45,,6739,219,19
16:00:22,90614BC-0x5A,25.77,40.99,48.69,,6740,223,19
16:00:23,90614BC-0x5A,25.75,40.99,48.97,,6739,222,21
16:00:24,90614BC-0x5A,25.77,40.93,51.07,,6740,223,24
16:00:25,90614BC-0x5A,25.75,40.91,50.25,,6739,223,21
16:00:26,90614BC-0x5A,25.79,41.03,47.21,,6740,222,18
16:00:27,90614BC-0x5A,25.77,41.01,47.61,,6739,221,20
16:00:28,90614BC-0x5A,25.75,40.91,48.97,,6740,221,21
16:00:29,90614BC-0x5A,25.75,40.89,48.51,,6739,223,19
16:00:30,90614BC-0x5A,25.75,40.97,51.03,,6739,222,24
16:00:31,90614BC-0x5A,25.75,40.93,49.55,,6738,221,21
16:00:32,90614BC-0x5A,25.79,41.03,47.35,,6740,221,18
16:00:33,90614BC-0x5A,25.83,40.85,49.91,,6740,220,23
16:00:34,90614BC-0x5A,25.77,40.93,49.37,,6739,222,20
16:00:35,90614BC-0x5A,25.77,40.91,49.91,,6740,222,21
16:00:36,90614BC-0x5A,25.79,40.77,48.23,,6740,218,18
16:00:37,90614BC-0x5A,25.77,40.81,46.97,,6739,217,18
16:00:38,90614BC-0x5A,25.79,40.81,46.13,,6740,217,18
16:00:39,90614BC-0x5A,25.79,40.75,45.37,,6740,214,17
16:00:40,90614BC-0x5A,25.77,40.97,42.17,,6739,216,13
16:00:41,90614BC-0x5A,25.79,40.85,46.83,,6740,217,20
16:00:42,90614BC-0x5A,25.79,40.93,44.49,,6740,218,16
16:00:43,90614BC-0x5A,25.81,40.67,45.83,,6741,215,18
16:00:44,90614BC-0x5A,25.81,40.89,45.75,,6740,216,18
16:00:45,90614BC-0x5A,25.79,40.67,45.25,,6740,215,15
16:00:46,90614BC-0x5A,25.77,40.85,43.09,,6739,216,14
16:00:47,90614BC-0x5A,25.75,40.67,46.13,,6739,215,19
16:00:48,90614BC-0x5A,25.79,40.77,43.41,,6740,215,15
16:00:49,90614BC-0x5A,25.75,40.67,42.71,,6738,213,15
16:00:50,90614BC-0x5A,25.79,40.83,42.49,,6740,216,14
16:00:51,90614BC-0x5A,25.79,40.97,41.89,,6740,218,13
16:00:52,90614BC-0x5A,25.77,40.79,42.25,,6739,214,14
16:00:53,90614BC-0x5A,25.77,40.61,41.03,,6740,211,11
