13:58:14,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'A2E2,'A2E2,'A5D0,'AE6D,'D6A6,'0000,'5C32,'209F,'BE5A,'0733,'89AF,'7DD3,'53E3,'803E,'803F,'1D17,'00C1,'34FC,'0010,'0000,'1D48,'8011,'E80D,'F398,'8387,'E144
13:58:14,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
13:58:14,90614BC-0x5A,24.09,7.17,19.21,,6716,-206,-4
13:58:15,90614BC-0x5A,24.11,7.15,20.41,,6717,-208,-2
13:58:16,90614BC-0x5A,24.07,7.13,19.03,,6716,-206,-5
13:58:17,90614BC-0x5A,24.13,7.01,22.33,,6717,-208,0
13:58:18,90614BC-0x5A,24.07,7.19,18.93,,6716,-205,-4
13:58:19,90614BC-0x5A,24.09,7.09,20.53,,6716,-207,-2
13:58:20,90614BC-0x5A,24.11,7.09,19.79,,6716,-205,-4
13:58:21,90614BC-0x5A,24.11,7.21,17.83,,6716,-205,-6
13:58:22,90614BC-0x5A,24.09,6.99,19.99,,6716,-207,-3
13:58:23,90614BC-0x5A,24.07,7.13,19.49,,6715,-206,-3
13:58:24,90614BC-0x5A,24.09,7.05,20.09,,6716,-205,-3
13:58:25,90614BC-0x5A,24.11,7.05,19.43,,6717,-208,-3
13:58:26,90614BC-0x5A,24.07,7.01,19.15,,6715,-209,-4
13:58:27,90614BC-0x5A,24.03,7.07,19.37,,6712,-206,-4
13:58:28,90614BC-0x5A,24.07,7.15,20.27,,6716,-205,-2
13:58:29,90614BC-0x5A,24.09,7.05,19.63,,6717,-206,-4
13:58:30,90614BC-0x5A,24.11,7.27,20.29,,6717,-204,-2
13:58:31,90614BC-0x5A,24.07,7.09,19.21,,6715,-206,-3
13:58:32,90614BC-0x5A,24.11,7.17,20.39,,6717,-205,-2
13:58:33,90614BC-0x5A,24.09,6.79,21.13,,6716,-210,-1
13:58:34,90614BC-0x5A,24.05,7.09,21.09,,6715,-206,-1
13:58:35,90614BC-0x5A,24.11,7.13,18.99,,6716,-207,-4
13:58:36,90614BC-0x5A,24.07,6.93,19.11,,6716,-208,-5
13:58:37,90614BC-0x5A,24.09,7.15,19.01,,6716,-205,-5
13:58:38,90614BC-0x5A,24.05,7.07,16.39,,6716,-210,-7
13:58:39,90614BC-0x5A,24.09,7.11,19.47,,6716,-204,-3
13:58:40,90614BC-0x5A,24.07,7.19,19.45,,6716,-205,-4
13:58:41,90614BC-0x5A,24.07,7.11,17.01,,6716,-208,-7
13:58:42,90614BC-0x5A,24.09,6.99,20.61,,6716,-206,-3
13:58:43,90614BC-0x5A,24.07,7.11,16.51,,6715,-206,-9
13:58:44,90614BC-0x5A,24.09,7.47,17.13,,6716,-203,-5
13:58:45,90614BC-0x5A,24.11,7.07,19.29,,6717,-206,-5
13:58:46,90614BC-0x5A,24.07,7.19,19.91,,6716,-204,-3
13:58:47,90614BC-0x5A,24.07,7.05,20.37,,6715,-205,-4
13:58:48,90614BC-0x5A,24.07,7.03,19.77,,6716,-206,-2
13:58:49,90614BC-0x5A,24.09,7.05,17.17,,6716,-207,-7
13:58:50,90614BC-0x5A,24.05,7.01,19.21,,6715,-206,-5
13:58:51,90614BC-0x5A,24.09,7.11,20.45,,6716,-204,-2
13:58:52,90614BC-0x5A,23.97,7.11,17.77,,6711,-206,-6
13:58:53,90614BC-0x5A,24.05,7.13,18.67,,6715,-206,-3
13:58:54,90614BC-0x5A,24.05,7.23,16.45,,6716,-203,-7
13:58:55,90614BC-0x5A,24.07,7.43,17.81,,6716,-203,-7
13:58:56,90614BC-0x5A,24.07,7.11,20.21,,6715,-205,-2
13:58:57,90614BC-0x5A,24.07,7.45,17.83,,6715,-203,-6
13:58:58,90614BC-0x5A,24.05,7.11,19.19,,6714,-208,-3
13:58:59,90614BC-0x5A,24.07,7.01,19.95,,6715,-207,-3
13:59:00,90614BC-0x5A,24.07,7.29,18.69,,6715,-203,-4
13:59:01,90614BC-0x5A,24.05,7.11,17.79,,6715,-206,-6
13:59:02,90614BC-0x5A,24.05,7.21,18.95,,6715,-205,-4
13:59:03,90614BC-0x5A,24.07,7.17,18.67,,6716,-204,-4
13:59:04,90614BC-0x5A,24.07,7.25,17.39,,6715,-206,-7
13:59:05,90614BC-0x5A,24.05,7.07,20.15,,6715,-204,-4
13:59:06,90614BC-0x5A,24.07,7.07,20.45,,6716,-205,-3
13:59:07,90614BC-0x5A,24.09,7.15,19.05,,6715,-206,-5
13:59:08,90614BC-0x5A,24.05,7.17,18.79,,6716,-204,-4
13:59:09,90614BC-0x5A,24.05,7.09,19.91,,6715,-205,-4
13:59:10,90614BC-0x5A,24.07,6.99,20.11,,6716,-206,-3
13:59:11,90614BC-0x5A,24.07,7.29,19.89,,6715,-204,-3
13:59:12,90614BC-0x5A,24.09,6.85,22.09,,6716,-207,0
13:59:13,90614BC-0x5A,24.03,7.05,19.51,,6715,-206,-4
13:59:14,90614BC-0x5A,24.05,7.09,18.97,,6715,-207,-5
13:59:15,90614BC-0x5A,24.05,7.29,19.35,,6715,-206,-2
13:59:16,90614BC-0x5A,24.05,7.07,20.13,,6715,-207,-2
13:59:17,90614BC-0x5A,24.07,7.05,19.39,,6715,-206,-5
13:59:18,90614BC-0x5A,24.07,7.03,20.85,,6716,-206,-3
13:59:19,90614BC-0x5A,24.05,7.01,21.27,,6715,-206,-1
