14:11:54,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'B106,'B106,'B436,'BD92,'E949,'0000,'5C32,'209F,'BE5A,'0733,'90EE,'7DD3,'53E3,'8036,'8038,'1D13,'00C1,'34FE,'0012,'0000,'1D44,'8011,'E410,'F38A,'8387,'E144
14:11:54,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:11:54,90614BC-0x5A,23.79,7.21,13.49,,6710,-190,-7
14:11:55,90614BC-0x5A,23.81,7.19,12.73,,6711,-189,-8
14:11:56,90614BC-0x5A,23.79,6.93,12.83,,6710,-194,-8
14:11:57,90614BC-0x5A,23.79,7.17,12.65,,6711,-190,-7
14:11:58,90614BC-0x5A,23.75,7.33,9.83,,6709,-190,-10
14:11:59,90614BC-0x5A,23.77,7.21,10.85,,6710,-192,-9
14:12:00,90614BC-0x5A,23.79,7.17,10.93,,6711,-191,-10
14:12:01,90614BC-0x5A,23.79,7.19,11.33,,6710,-190,-9
14:12:02,90614BC-0x5A,23.79,7.13,10.89,,6710,-190,-11
14:12:03,90614BC-0x5A,23.75,6.97,11.71,,6709,-192,-9
14:12:04,90614BC-0x5A,23.75,7.27,10.95,,6710,-190,-11
14:12:05,90614BC-0x5A,23.81,7.29,11.73,,6710,-188,-10
14:12:06,90614BC-0x5A,23.75,7.13,11.81,,6709,-190,-10
14:12:07,90614BC-0x5A,23.75,7.31,11.43,,6709,-190,-9
14:12:08,90614BC-0x5A,23.79,7.45,10.31,,6711,-188,-10
14:12:09,90614BC-0x5A,23.75,6.99,12.13,,6709,-189,-10
14:12:10,90614BC-0x5A,23.83,7.35,10.81,,6711,-189,-10
14:12:11,90614BC-0x5A,23.77,7.37,9.33,,6710,-188,-12
14:12:12,90614BC-0x5A,23.79,7.15,12.25,,6710,-191,-9
14:12:13,90614BC-0x5A,23.79,7.41,11.17,,6711,-188,-9
14:12:14,90614BC-0x5A,23.77,7.21,11.33,,6710,-190,-10
14:12:15,90614BC-0x5A,23.75,7.01,11.55,,6710,-193,-9
14:12:16,90614BC-0x5A,23.75,7.31,11.77,,6709,-190,-9
14:12:17,90614BC-0x5A,23.79,7.39,11.49,,6711,-188,-9
14:12:18,90614BC-0x5A,23.77,7.27,11.77,,6710,-189,-9
14:12:19,90614BC-0x5A,23.75,7.15,10.79,,6710,-190,-10
14:12:20,90614BC-0x5A,23.73,7.21,12.27,,6708,-190,-9
14:12:21,90614BC-0x5A,23.75,7.33,9.99,,6709,-190,-11
14:12:22,90614BC-0x5A,23.81,7.29,14.37,,6711,-186,-7
14:12:23,90614BC-0x5A,23.77,7.41,11.59,,6710,-189,-9
14:12:24,90614BC-0x5A,23.81,7.21,10.93,,6711,-191,-10
14:12:25,90614BC-0x5A,23.77,7.21,11.13,,6710,-192,-10
14:12:26,90614BC-0x5A,23.81,7.29,11.75,,6711,-189,-9
14:12:27,90614BC-0x5A,23.73,7.03,11.43,,6709,-189,-12
14:12:28,90614BC-0x5A,23.77,7.31,11.97,,6710,-188,-9
14:12:29,90614BC-0x5A,23.77,7.15,12.21,,6710,-189,-9
14:12:30,90614BC-0x5A,23.77,7.39,10.23,,6710,-188,-12
14:12:31,90614BC-0x5A,23.77,7.25,11.01,,6710,-192,-10
14:12:32,90614BC-0x5A,23.79,7.25,11.85,,6710,-189,-9
14:12:33,90614BC-0x5A,23.77,7.19,13.09,,6710,-191,-7
14:12:34,90614BC-0x5A,23.79,7.37,10.81,,6710,-188,-11
14:12:35,90614BC-0x5A,23.77,7.15,12.75,,6710,-191,-8
14:12:36,90614BC-0x5A,23.81,7.29,11.81,,6711,-189,-8
14:12:37,90614BC-0x5A,23.77,7.31,9.99,,6710,-191,-12
14:12:38,90614BC-0x5A,23.75,7.09,11.95,,6709,-190,-8
14:12:39,90614BC-0x5A,23.77,7.21,10.99,,6710,-192,-10
14:12:40,90614BC-0x5A,23.77,7.19,13.31,,6710,-191,-7
14:12:41,90614BC-0x5A,23.75,7.21,10.57,,6709,-191,-11
14:12:42,90614BC-0x5A,23.77,7.11,10.69,,6710,-190,-12
14:12:43,90614BC-0x5A,23.77,7.23,13.05,,6710,-189,-8
14:12:44,90614BC-0x5A,23.77,7.07,12.03,,6710,-190,-10
14:12:45,90614BC-0x5A,23.75,7.33,10.19,,6709,-189,-10
14:12:46,90614BC-0x5A,23.77,7.01,13.37,,6710,-190,-9
14:12:47,90614BC-0x5A,23.75,7.27,11.81,,6710,-188,-11
14:12:48,90614BC-0x5A,23.75,7.25,11.27,,6709,-188,-11
14:12:49,90614BC-0x5A,23.75,7.03,13.19,,6710,-192,-8
14:12:50,90614BC-0x5A,23.75,7.19,9.61,,6710,-189,-13
14:12:51,90614BC-0x5A,23.75,7.21,10.67,,6709,-190,-10
14:12:52,90614BC-0x5A,23.73,7.23,11.99,,6709,-190,-9
14:12:53,90614BC-0x5A,23.81,7.15,12.01,,6711,-189,-8
14:12:54,90614BC-0x5A,23.75,7.35,13.05,,6709,-186,-8
14:12:55,90614BC-0x5A,23.75,7.29,11.51,,6710,-189,-10
14:12:56,90614BC-0x5A,23.75,7.23,13.57,,6710,-188,-7
