16:30:35,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'90F2,'8AF5,'853B,'8058,'7A06,'DADA,'A8FC,'2075,'BE5A,'0A66,'C64A,'8E53,'53E3,'8001,'0032,'1CF9,'00C1,'3502,'8004,'0000,'1C4A,'8011,'5017,'22A9,'928C,'E112
16:30:35,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
16:30:35,90614BC-0x5A,24.69,40.39,53.75,,6733,1318,201
16:30:36,90614BC-0x5A,24.53,40.31,49.55,,6728,1275,169
16:30:37,90614BC-0x5A,24.75,40.53,46.43,,6734,1246,144
16:30:38,90614BC-0x5A,24.81,40.57,45.33,,6736,1231,137
16:30:40,90614BC-0x5A,24.83,40.61,44.77,,6736,1228,132
16:30:40,90614BC-0x5A,24.85,40.61,43.37,,6737,1216,121
16:30:41,90614BC-0x5A,24.81,40.61,41.63,,6736,1200,109
16:30:42,90614BC-0x5A,24.67,40.49,41.01,,6732,1192,105
16:30:44,90614BC-0x5A,24.83,40.61,40.81,,6736,1189,103
16:30:45,90614BC-0x5A,24.81,40.61,40.45,,6735,1186,101
16:30:46,90614BC-0x5A,24.83,40.61,40.13,,6736,1184,99
16:30:47,90614BC-0x5A,24.81,40.61,41.03,,6735,1194,106
16:30:48,90614BC-0x5A,24.83,40.63,42.53,,6736,1206,117
16:30:49,90614BC-0x5A,24.91,40.69,42.81,,6738,1210,118
16:30:50,90614BC-0x5A,24.89,40.61,42.33,,6737,1202,114
16:30:51,90614BC-0x5A,24.87,40.61,40.97,,6737,1193,104
16:30:52,90614BC-0x5A,24.89,40.63,40.95,,6737,1185,104
16:30:53,90614BC-0x5A,24.87,40.65,41.05,,6737,1193,105
16:30:54,90614BC-0x5A,24.89,40.57,40.61,,6738,1184,102
16:30:55,90614BC-0x5A,24.87,40.51,40.55,,6737,1176,102
16:30:56,90614BC-0x5A,24.83,40.53,40.15,,6736,1175,99
16:30:57,90614BC-0x5A,24.91,40.53,39.81,,6738,1176,96
16:30:58,90614BC-0x5A,24.83,40.61,40.21,,6736,1186,99
16:30:59,90614BC-0x5A,24.85,40.51,41.05,,6737,1191,106
16:31:00,90614BC-0x5A,24.85,40.53,41.33,,6737,1191,108
16:31:01,90614BC-0x5A,24.85,40.59,40.89,,6736,1187,104
16:31:02,90614BC-0x5A,24.85,40.63,40.15,,6738,1183,98
16:31:03,90614BC-0x5A,24.87,40.57,39.89,,6737,1175,97
16:31:04,90614BC-0x5A,24.89,40.61,40.31,,6738,1179,100
16:31:05,90614BC-0x5A,24.83,40.61,40.23,,6736,1181,100
16:31:06,90614BC-0x5A,24.87,40.55,39.93,,6738,1174,97
16:31:07,90614BC-0x5A,24.85,40.47,39.59,,6736,1170,94
16:31:08,90614BC-0x5A,24.83,40.47,39.85,,6736,1174,96
16:31:09,90614BC-0x5A,24.85,40.59,39.65,,6736,1175,96
16:31:10,90614BC-0x5A,24.83,40.63,39.79,,6737,1178,97
16:31:11,90614BC-0x5A,24.91,40.67,40.97,,6738,1188,105
16:31:12,90614BC-0x5A,24.89,40.65,42.45,,6737,1202,116
16:31:13,90614BC-0x5A,24.91,40.69,42.79,,6738,1207,118
16:31:14,90614BC-0x5A,24.87,40.59,42.97,,6737,1206,119
16:31:15,90614BC-0x5A,24.91,40.63,42.75,,6738,1206,118
16:31:16,90614BC-0x5A,24.91,40.65,41.45,,6738,1195,107
16:31:17,90614BC-0x5A,24.95,40.65,40.61,,6739,1183,102
16:31:18,90614BC-0x5A,24.93,40.57,40.23,,6738,1179,99
16:31:19,90614BC-0x5A,24.89,40.59,40.41,,6737,1182,101
16:31:20,90614BC-0x5A,24.91,40.63,40.93,,6738,1188,104
16:31:21,90614BC-0x5A,24.89,40.61,40.25,,6737,1180,99
16:31:22,90614BC-0x5A,24.91,40.61,40.01,,6738,1182,100
16:31:23,90614BC-0x5A,24.91,40.61,40.91,,6738,1184,104
16:31:24,90614BC-0x5A,24.91,40.65,41.05,,6738,1190,103
16:31:25,90614BC-0x5A,24.91,40.61,41.81,,6738,1194,111
16:31:26,90614BC-0x5A,24.91,40.63,42.09,,6738,1193,108
16:31:27,90614BC-0x5A,24.91,40.61,42.29,,6738,1198,114
16:31:28,90614BC-0x5A,24.93,40.63,41.49,,6738,1190,108
16:31:29,90614BC-0x5A,24.91,40.63,40.39,,6738,1182,100
16:31:30,90614BC-0x5A,24.93,40.67,40.97,,6738,1187,104
16:31:31,90614BC-0x5A,24.95,40.71,40.67,,6739,1189,102
16:31:32,90614BC-0x5A,24.95,40.63,42.05,,6739,1194,112
16:31:33,90614BC-0x5A,24.95,40.61,42.59,,6739,1200,116
16:31:34,90614BC-0x5A,24.97,40.61,42.27,,6739,1199,113
16:31:35,90614BC-0x5A,24.93,40.57,41.17,,6738,1183,105
16:31:36,90614BC-0x5A,24.93,40.65,40.23,,6738,1179,99
16:31:37,90614BC-0x5A,24.99,40.57,39.93,,6740,1169,97
16:31:38,90614BC-0x5A,24.99,40.59,39.45,,6740,1168,93
16:31:39,90614BC-0x5A,24.95,40.61,39.65,,6738,1172,95
