16:35:57,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8CF4,'8721,'8190,'7CD0,'76AA,'DADA,'A8FC,'2075,'BE5A,'0A66,'B2D9,'8E53,'53E3,'0020,'0054,'1D01,'00C1,'3515,'8005,'0000,'1D49,'8011,'5418,'2278,'928C,'E112
16:35:57,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
16:35:57,90614BC-0x5A,24.91,40.65,71.83,,6747,1531,334
16:35:58,90614BC-0x5A,25.01,40.67,65.81,,6750,1453,281
16:35:59,90614BC-0x5A,25.17,40.69,61.57,,6753,1399,246
16:36:00,90614BC-0x5A,25.21,40.67,58.11,,6754,1361,218
16:36:01,90614BC-0x5A,25.27,40.73,55.07,,6756,1323,194
16:36:02,90614BC-0x5A,25.29,40.63,52.83,,6756,1299,177
16:36:03,90614BC-0x5A,25.27,40.67,51.29,,6755,1278,166
16:36:04,90614BC-0x5A,25.35,40.63,49.45,,6757,1259,152
16:36:05,90614BC-0x5A,25.37,40.61,46.47,,6758,1230,131
16:36:06,90614BC-0x5A,25.39,40.61,44.31,,6758,1204,116
16:36:07,90614BC-0x5A,25.33,40.65,43.59,,6757,1200,111
16:36:08,90614BC-0x5A,25.41,40.69,43.71,,6758,1200,112
16:36:09,90614BC-0x5A,25.41,40.71,43.81,,6759,1204,113
16:36:10,90614BC-0x5A,25.43,40.71,43.69,,6759,1199,113
16:36:11,90614BC-0x5A,25.43,40.71,43.59,,6759,1201,111
16:36:12,90614BC-0x5A,25.43,40.67,44.29,,6759,1203,116
16:36:13,90614BC-0x5A,25.43,40.65,44.29,,6759,1200,117
16:36:14,90614BC-0x5A,25.43,40.65,42.21,,6759,1184,102
16:36:15,90614BC-0x5A,25.45,40.67,41.63,,6760,1180,98
16:36:16,90614BC-0x5A,25.43,40.59,40.87,,6759,1167,93
16:36:17,90614BC-0x5A,25.47,40.65,40.65,,6760,1167,92
16:36:18,90614BC-0x5A,25.49,40.65,40.51,,6761,1169,91
16:36:19,90614BC-0x5A,25.43,40.57,40.59,,6759,1166,91
16:36:20,90614BC-0x5A,25.43,40.71,39.69,,6759,1168,85
16:36:21,90614BC-0x5A,25.43,40.63,40.59,,6759,1169,92
16:36:22,90614BC-0x5A,25.45,40.63,41.17,,6760,1169,96
16:36:23,90614BC-0x5A,25.41,40.57,40.43,,6759,1163,91
16:36:24,90614BC-0x5A,25.41,40.51,39.87,,6758,1154,87
16:36:25,90614BC-0x5A,25.45,40.57,39.93,,6760,1158,88
16:36:26,90614BC-0x5A,25.41,40.55,39.81,,6759,1161,86
16:36:27,90614BC-0x5A,25.39,40.59,40.85,,6758,1169,94
16:36:28,90614BC-0x5A,25.45,40.61,41.33,,6760,1169,97
16:36:29,90614BC-0x5A,25.43,40.55,40.47,,6759,1163,92
16:36:30,90614BC-0x5A,25.45,40.61,40.01,,6760,1163,87
16:36:31,90614BC-0x5A,25.43,40.59,40.47,,6759,1166,90
16:36:32,90614BC-0x5A,25.23,40.41,39.83,,6753,1160,87
16:36:33,90614BC-0x5A,25.45,40.61,39.79,,6760,1160,86
16:36:34,90614BC-0x5A,25.43,40.63,40.25,,6759,1162,90
16:36:36,90614BC-0x5A,25.43,40.55,40.39,,6759,1164,90
16:36:37,90614BC-0x5A,25.47,40.53,40.05,,6760,1156,88
16:36:38,90614BC-0x5A,25.47,40.57,40.17,,6760,1160,88
16:36:39,90614BC-0x5A,25.45,40.59,40.45,,6760,1164,90
16:36:40,90614BC-0x5A,25.43,40.57,40.51,,6759,1162,91
16:36:41,90614BC-0x5A,25.47,40.61,40.45,,6760,1163,91
16:36:42,90614BC-0x5A,25.47,40.57,40.35,,6760,1162,89
16:36:43,90614BC-0x5A,25.47,40.57,40.89,,6760,1162,93
16:36:44,90614BC-0x5A,25.45,40.59,41.47,,6759,1173,96
16:36:45,90614BC-0x5A,25.43,40.61,40.53,,6759,1169,91
16:36:46,90614BC-0x5A,25.41,40.69,40.85,,6758,1168,94
16:36:47,90614BC-0x5A,25.45,40.65,40.69,,6760,1169,92
16:36:48,90614BC-0x5A,25.47,40.63,41.83,,6760,1177,100
16:36:49,90614BC-0x5A,25.45,40.57,42.59,,6760,1180,105
16:36:50,90614BC-0x5A,25.51,40.59,42.05,,6761,1178,101
16:36:51,90614BC-0x5A,25.45,40.63,41.75,,6759,1176,98
16:36:52,90614BC-0x5A,25.49,40.65,41.77,,6761,1178,99
16:36:53,90614BC-0x5A,25.45,40.61,41.41,,6760,1174,97
16:36:54,90614BC-0x5A,25.45,40.57,41.39,,6760,1172,96
16:36:55,90614BC-0x5A,25.49,40.61,41.85,,6761,1176,100
16:36:56,90614BC-0x5A,25.47,40.67,41.19,,6760,1172,95
16:36:57,90614BC-0x5A,25.47,40.61,41.33,,6760,1168,93
16:36:58,90614BC-0x5A,25.45,40.63,40.69,,6760,1167,92
16:36:59,90614BC-0x5A,25.43,40.61,40.99,,6759,1168,94
16:37:00,90614BC-0x5A,25.55,40.69,41.39,,6762,1172,96
16:37:01,90614BC-0x5A,25.47,40.59,41.09,,6760,1167,94
16:37:02,90614BC-0x5A,25.47,40.57,40.67,,6760,1164,92
16:37:03,90614BC-0x5A,25.51,40.61,39.93,,6761,1157,87
