16:44:07,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8C1A,'8650,'80C8,'7C0F,'75F2,'DADA,'A8FC,'2075,'BE5A,'0A66,'B5F7,'8E53,'53E3,'000C,'003C,'1CFD,'00C1,'34E6,'8001,'0000,'1C4A,'8011,'5C0F,'22A7,'928C,'E112
16:44:07,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
16:44:07,90614BC-0x5A,25.89,40.65,42.81,,6746,1162,107
16:44:08,90614BC-0x5A,25.91,40.55,42.95,,6747,1157,107
16:44:09,90614BC-0x5A,25.95,40.65,42.05,,6747,1156,100
16:44:10,90614BC-0x5A,25.93,40.67,42.53,,6747,1159,104
16:44:11,90614BC-0x5A,25.87,40.61,42.95,,6746,1165,108
16:44:12,90614BC-0x5A,25.89,40.63,43.43,,6746,1166,111
16:44:13,90614BC-0x5A,25.97,40.59,43.87,,6748,1165,113
16:44:14,90614BC-0x5A,25.97,40.61,42.75,,6748,1158,105
16:44:15,90614BC-0x5A,25.97,40.65,41.15,,6748,1145,95
16:44:16,90614BC-0x5A,25.95,40.69,40.95,,6747,1146,93
16:44:17,90614BC-0x5A,25.93,40.63,41.25,,6747,1148,95
16:44:18,90614BC-0x5A,25.97,40.69,41.75,,6748,1151,99
16:44:19,90614BC-0x5A,25.87,40.65,41.39,,6747,1151,96
16:44:20,90614BC-0x5A,25.93,40.67,41.45,,6747,1148,97
16:44:21,90614BC-0x5A,25.93,40.61,42.17,,6747,1151,102
16:44:22,90614BC-0x5A,25.93,40.65,42.05,,6747,1155,101
16:44:23,90614BC-0x5A,25.87,40.59,42.85,,6747,1159,106
16:44:24,90614BC-0x5A,25.91,40.63,42.95,,6746,1161,107
16:44:25,90614BC-0x5A,25.95,40.65,42.19,,6748,1160,101
16:44:26,90614BC-0x5A,25.93,40.69,41.81,,6747,1155,99
16:44:27,90614BC-0x5A,25.91,40.63,42.49,,6747,1155,104
16:44:28,90614BC-0x5A,25.91,40.61,42.35,,6747,1158,102
16:44:29,90614BC-0x5A,25.97,40.67,41.81,,6748,1153,99
16:44:30,90614BC-0x5A,25.93,40.75,41.63,,6748,1156,97
16:44:31,90614BC-0x5A,25.97,40.67,42.03,,6748,1157,100
16:44:32,90614BC-0x5A,25.95,40.65,41.35,,6747,1151,96
16:44:33,90614BC-0x5A,25.93,40.65,41.63,,6747,1154,98
16:44:34,90614BC-0x5A,25.97,40.61,43.27,,6748,1164,108
16:44:35,90614BC-0x5A,25.97,40.65,43.53,,6748,1166,111
16:44:36,90614BC-0x5A,25.95,40.63,42.81,,6747,1162,105
16:44:37,90614BC-0x5A,25.99,40.67,41.61,,6749,1151,97
16:44:38,90614BC-0x5A,25.93,40.71,41.27,,6748,1149,95
16:44:39,90614BC-0x5A,25.97,40.67,41.57,,6748,1152,97
16:44:40,90614BC-0x5A,25.97,40.63,42.77,,6748,1159,106
16:44:41,90614BC-0x5A,25.93,40.65,42.85,,6749,1159,106
16:44:42,90614BC-0x5A,25.99,40.67,43.49,,6749,1166,111
16:44:43,90614BC-0x5A,25.99,40.67,43.79,,6748,1168,113
16:44:44,90614BC-0x5A,25.95,40.65,44.11,,6748,1170,115
16:44:45,90614BC-0x5A,26.01,40.65,44.05,,6749,1167,114
16:44:46,90614BC-0x5A,26.01,40.61,43.69,,6749,1167,111
16:44:47,90614BC-0x5A,25.97,40.57,43.39,,6747,1164,109
16:44:48,90614BC-0x5A,25.97,40.61,42.25,,6748,1153,101
16:44:49,90614BC-0x5A,26.01,40.65,40.81,,6749,1145,92
16:44:50,90614BC-0x5A,25.97,40.67,41.03,,6748,1145,93
16:44:51,90614BC-0x5A,25.97,40.65,40.87,,6748,1142,92
16:44:52,90614BC-0x5A,25.99,40.67,40.83,,6749,1142,91
16:44:53,90614BC-0x5A,25.97,40.57,41.29,,6748,1143,95
16:44:54,90614BC-0x5A,25.95,40.67,41.19,,6747,1148,94
16:44:55,90614BC-0x5A,25.97,40.61,41.75,,6748,1151,101
16:44:56,90614BC-0x5A,25.97,40.67,41.13,,6748,1145,94
16:44:57,90614BC-0x5A,26.01,40.71,41.05,,6749,1145,93
16:44:58,90614BC-0x5A,25.99,40.73,40.93,,6748,1144,93
16:45:00,90614BC-0x5A,25.99,40.69,41.15,,6748,1146,95
16:45:00,90614BC-0x5A,25.95,40.59,42.23,,6747,1152,102
16:45:02,90614BC-0x5A,25.97,40.65,43.65,,6748,1161,113
16:45:03,90614BC-0x5A,26.01,40.65,42.97,,6749,1160,107
16:45:04,90614BC-0x5A,25.99,40.69,42.21,,6748,1160,101
16:45:05,90614BC-0x5A,26.03,40.73,42.01,,6749,1156,100
16:45:05,90614BC-0x5A,25.99,40.63,42.85,,6749,1160,106
16:45:07,90614BC-0x5A,26.03,40.61,43.69,,6749,1164,111
16:45:08,90614BC-0x5A,25.99,40.61,43.51,,6748,1163,111
16:45:09,90614BC-0x5A,26.01,40.65,42.81,,6749,1159,105
16:45:10,90614BC-0x5A,25.99,40.61,42.83,,6748,1154,106
16:45:11,90614BC-0x5A,25.95,40.57,42.49,,6747,1152,103
16:45:12,90614BC-0x5A,25.81,40.43,41.41,,6743,1141,96
16:45:13,90614BC-0x5A,26.01,40.53,41.69,,6749,1138,98
