16:46:00,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'FA71,'F018,'E634,'DDC3,'D2D6,'DADA,'A8FC,'2075,'BE5A,'0A66,'9E10,'9653,'53E3,'0021,'004A,'1D17,'00C2,'3526,'0002,'0000,'1D4E,'8011,'9014,'22A0,'928C,'E112
16:46:00,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
16:46:00,90614BC-0x5A,26.01,40.43,45.15,,6781,1277,118
16:46:01,90614BC-0x5A,25.99,40.31,44.21,,6780,1260,112
16:46:02,90614BC-0x5A,26.01,40.35,43.25,,6781,1249,106
16:46:04,90614BC-0x5A,26.03,40.41,42.77,,6781,1253,102
16:46:05,90614BC-0x5A,26.03,40.41,41.99,,6781,1244,97
16:46:06,90614BC-0x5A,26.05,40.35,41.31,,6782,1235,92
16:46:07,90614BC-0x5A,25.87,40.47,40.85,,6776,1239,89
16:46:08,90614BC-0x5A,26.03,40.39,40.47,,6781,1232,86
16:46:09,90614BC-0x5A,26.05,40.39,40.37,,6782,1228,87
16:46:10,90614BC-0x5A,25.99,40.43,39.89,,6780,1232,83
16:46:11,90614BC-0x5A,26.09,40.45,39.99,,6783,1229,84
16:46:12,90614BC-0x5A,26.05,40.43,39.53,,6782,1228,80
16:46:13,90614BC-0x5A,26.03,40.45,39.83,,6781,1227,83
16:46:14,90614BC-0x5A,26.03,40.45,39.57,,6781,1227,81
16:46:15,90614BC-0x5A,26.09,40.45,39.81,,6782,1226,83
16:46:16,90614BC-0x5A,26.01,40.43,39.27,,6781,1226,79
16:46:17,90614BC-0x5A,26.03,40.39,39.39,,6781,1224,80
16:46:18,90614BC-0x5A,25.97,40.43,39.07,,6780,1227,78
16:46:19,90614BC-0x5A,26.03,40.47,39.57,,6781,1237,80
16:46:20,90614BC-0x5A,26.01,40.41,41.27,,6781,1246,93
16:46:21,90614BC-0x5A,26.03,40.45,41.33,,6781,1248,92
16:46:22,90614BC-0x5A,26.03,40.47,41.43,,6781,1248,93
16:46:23,90614BC-0x5A,26.03,40.43,41.85,,6781,1248,96
16:46:24,90614BC-0x5A,26.03,40.49,41.53,,6781,1249,94
16:46:25,90614BC-0x5A,25.99,40.49,41.57,,6780,1248,94
16:46:26,90614BC-0x5A,26.03,40.55,41.87,,6781,1257,96
16:46:27,90614BC-0x5A,26.03,40.51,42.19,,6781,1255,99
16:46:28,90614BC-0x5A,26.05,40.51,42.51,,6781,1258,100
16:46:29,90614BC-0x5A,26.05,40.51,42.05,,6782,1251,96
16:46:30,90614BC-0x5A,26.05,40.45,42.33,,6782,1250,99
16:46:31,90614BC-0x5A,26.05,40.41,42.59,,6782,1249,100
16:46:32,90614BC-0x5A,26.07,40.47,42.61,,6782,1251,100
16:46:33,90614BC-0x5A,26.07,40.45,42.63,,6782,1251,101
16:46:34,90614BC-0x5A,26.09,40.51,41.97,,6783,1250,96
16:46:35,90614BC-0x5A,26.05,40.41,42.01,,6782,1248,96
16:46:36,90614BC-0x5A,26.07,40.43,42.03,,6782,1247,98
16:46:37,90614BC-0x5A,26.09,40.51,41.37,,6782,1242,93
16:46:38,90614BC-0x5A,26.11,40.51,41.97,,6783,1245,97
16:46:39,90614BC-0x5A,26.05,40.45,41.85,,6782,1248,96
16:46:40,90614BC-0x5A,26.09,40.49,42.09,,6783,1247,97
16:46:41,90614BC-0x5A,26.11,40.45,41.61,,6783,1241,94
16:46:42,90614BC-0x5A,26.11,40.45,41.33,,6782,1238,92
16:46:43,90614BC-0x5A,26.09,40.49,41.17,,6783,1243,91
16:46:44,90614BC-0x5A,26.07,40.49,41.85,,6782,1244,95
16:46:45,90614BC-0x5A,26.09,40.43,41.87,,6783,1242,95
16:46:46,90614BC-0x5A,26.07,40.49,40.57,,6782,1236,87
16:46:47,90614BC-0x5A,26.11,40.45,41.05,,6783,1233,91
16:46:48,90614BC-0x5A,26.11,40.45,40.35,,6783,1228,85
16:46:49,90614BC-0x5A,26.13,40.49,39.29,,6784,1226,78
16:46:50,90614BC-0x5A,26.07,40.47,39.29,,6782,1225,79
16:46:51,90614BC-0x5A,26.09,40.47,41.11,,6783,1238,91
16:46:52,90614BC-0x5A,26.13,40.51,41.75,,6784,1247,95
16:46:53,90614BC-0x5A,26.09,40.47,41.55,,6782,1243,93
16:46:54,90614BC-0x5A,26.11,40.43,42.21,,6783,1242,98
16:46:55,90614BC-0x5A,26.17,40.55,41.73,,6784,1245,94
16:46:56,90614BC-0x5A,26.15,40.47,40.59,,6784,1234,90
16:46:57,90614BC-0x5A,26.11,40.47,40.27,,6783,1231,85
16:46:58,90614BC-0x5A,26.09,40.39,40.85,,6783,1233,90
16:46:59,90614BC-0x5A,26.13,40.51,41.35,,6784,1240,92
16:47:00,90614BC-0x5A,26.17,40.47,41.25,,6785,1236,91
16:47:01,90614BC-0x5A,26.17,40.45,40.75,,6784,1227,88
16:47:02,90614BC-0x5A,26.15,40.41,39.57,,6784,1222,80
16:47:03,90614BC-0x5A,26.09,40.41,38.77,,6782,1215,76
16:47:04,90614BC-0x5A,26.11,40.37,38.61,,6783,1209,74
16:47:05,90614BC-0x5A,26.13,40.41,38.57,,6784,1209,74
