16:51:33,90614BC-0x5A,EEPROM:,'7477,'68BF,'0201,'7234,'FFFF,'B775,'8A7D,'84C5,'7F4C,'7AA1,'7497,'DADA,'A8FC,'2075,'BE5A,'0A64,'B19A,'8E53,'53E3,'000C,'0040,'1D12,'00C2,'3521,'8003,'0000,'1C4C,'8011,'5414,'22A6,'928C,'E112
16:51:33,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
16:51:33,90614BC-0x5A,25.35,39.61,103.79,,6763,1895,676
16:51:34,90614BC-0x5A,25.49,39.75,95.87,,6766,1753,581
16:51:35,90614BC-0x5A,25.71,39.97,86.19,,6772,1632,474
16:51:36,90614BC-0x5A,25.75,40.01,77.93,,6772,1524,403
16:51:37,90614BC-0x5A,25.87,40.21,71.71,,6775,1445,333
16:51:38,90614BC-0x5A,25.97,40.27,65.73,,6778,1378,278
16:51:39,90614BC-0x5A,25.97,40.35,62.15,,6778,1336,249
16:51:40,90614BC-0x5A,26.03,40.35,59.41,,6779,1304,226
16:51:41,90614BC-0x5A,26.07,40.31,56.15,,6780,1272,199
16:51:42,90614BC-0x5A,26.11,40.35,52.89,,6781,1232,175
16:51:43,90614BC-0x5A,26.07,40.41,49.97,,6779,1211,154
16:51:44,90614BC-0x5A,26.13,40.45,48.15,,6781,1197,139
16:51:45,90614BC-0x5A,26.15,40.47,47.29,,6781,1183,134
16:51:46,90614BC-0x5A,26.21,40.43,47.31,,6783,1183,134
16:51:47,90614BC-0x5A,26.17,40.43,45.73,,6782,1166,122
16:51:48,90614BC-0x5A,26.19,40.53,44.11,,6782,1156,111
16:51:50,90614BC-0x5A,26.25,40.55,44.33,,6784,1155,113
16:51:50,90614BC-0x5A,26.19,40.45,43.89,,6783,1148,110
16:51:52,90614BC-0x5A,26.21,40.55,42.69,,6783,1145,102
16:51:53,90614BC-0x5A,26.21,40.47,42.39,,6783,1137,100
16:51:54,90614BC-0x5A,26.17,40.47,41.97,,6782,1134,98
16:51:55,90614BC-0x5A,26.19,40.45,43.07,,6782,1135,106
16:51:56,90614BC-0x5A,26.21,40.49,42.41,,6783,1140,100
16:51:57,90614BC-0x5A,26.23,40.49,41.59,,6783,1131,94
16:51:58,90614BC-0x5A,26.17,40.43,41.63,,6782,1128,95
16:51:59,90614BC-0x5A,26.19,40.51,41.21,,6782,1128,91
16:52:00,90614BC-0x5A,26.17,40.39,42.33,,6782,1132,100
16:52:01,90614BC-0x5A,26.21,40.51,42.67,,6783,1138,103
16:52:02,90614BC-0x5A,26.19,40.45,42.59,,6782,1140,101
16:52:03,90614BC-0x5A,26.23,40.47,43.07,,6783,1144,104
16:52:04,90614BC-0x5A,26.19,40.47,43.55,,6782,1144,108
16:52:05,90614BC-0x5A,26.23,40.51,42.73,,6783,1141,102
16:52:06,90614BC-0x5A,26.07,40.37,42.57,,6779,1136,102
16:52:07,90614BC-0x5A,26.25,40.47,42.55,,6784,1137,101
16:52:08,90614BC-0x5A,26.19,40.51,42.13,,6783,1135,98
16:52:09,90614BC-0x5A,26.21,40.51,42.75,,6783,1141,102
16:52:10,90614BC-0x5A,26.29,40.51,42.83,,6785,1140,103
16:52:11,90614BC-0x5A,26.25,40.47,42.79,,6784,1137,103
16:52:12,90614BC-0x5A,26.19,40.43,42.39,,6782,1134,100
16:52:13,90614BC-0x5A,26.23,40.47,42.65,,6783,1135,101
16:52:14,90614BC-0x5A,26.23,40.47,41.41,,6783,1126,93
16:52:15,90614BC-0x5A,26.25,40.47,40.49,,6784,1124,87
16:52:16,90614BC-0x5A,26.23,40.51,41.35,,6783,1127,93
16:52:17,90614BC-0x5A,26.23,40.51,41.27,,6783,1126,92
16:52:18,90614BC-0x5A,26.25,40.53,40.71,,6784,1123,88
16:52:19,90614BC-0x5A,26.23,40.55,41.21,,6783,1128,92
16:52:20,90614BC-0x5A,26.21,40.47,41.93,,6783,1130,96
16:52:21,90614BC-0x5A,26.25,40.51,42.09,,6784,1135,98
16:52:22,90614BC-0x5A,26.25,40.45,42.69,,6784,1136,102
16:52:23,90614BC-0x5A,26.23,40.43,41.93,,6783,1127,97
16:52:24,90614BC-0x5A,26.25,40.51,41.01,,6784,1127,90
16:52:25,90614BC-0x5A,26.25,40.55,40.61,,6784,1125,89
16:52:26,90614BC-0x5A,26.23,40.51,41.45,,6783,1129,94
16:52:27,90614BC-0x5A,26.21,40.49,40.95,,6783,1126,90
16:52:28,90614BC-0x5A,26.25,40.49,41.51,,6784,1127,94
16:52:29,90614BC-0x5A,26.23,40.43,41.87,,6783,1132,96
16:52:30,90614BC-0x5A,26.25,40.45,41.13,,6784,1122,93
16:52:31,90614BC-0x5A,26.25,40.45,40.55,,6784,1114,87
16:52:32,90614BC-0x5A,26.25,40.45,40.13,,6784,1111,85
16:52:33,90614BC-0x5A,26.25,40.51,39.43,,6783,1106,78
16:52:34,90614BC-0x5A,26.25,40.51,39.33,,6784,1109,79
16:52:35,90614BC-0x5A,26.21,40.47,40.73,,6783,1123,89
16:52:36,90614BC-0x5A,26.25,40.47,40.99,,6783,1121,91
16:52:37,90614BC-0x5A,26.21,40.47,41.27,,6783,1123,93
16:52:38,90614BC-0x5A,26.27,40.43,40.75,,6784,1122,88
