14:39:34,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'97EA,'91A3,'8BA3,'8684,'7FE4,'DADA,'A8FC,'2075,'BE5A,'0A66,'D09F,'8E53,'53E3,'001B,'004B,'1CFD,'00C1,'34F0,'8005,'0000,'1C49,'8011,'E411,'229E,'928C,'E112
14:39:34,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:39:34,90614BC-0x5A,23.27,8.03,9.83,,6692,-897,-73
14:39:35,90614BC-0x5A,23.23,8.03,9.95,,6691,-896,-72
14:39:36,90614BC-0x5A,23.27,7.95,10.03,,6692,-901,-72
14:39:37,90614BC-0x5A,23.25,8.03,9.31,,6691,-898,-75
14:39:38,90614BC-0x5A,23.25,7.97,8.21,,6690,-902,-82
14:39:39,90614BC-0x5A,23.27,7.95,8.91,,6692,-902,-77
14:39:40,90614BC-0x5A,23.29,8.09,9.11,,6692,-901,-76
14:39:41,90614BC-0x5A,23.25,7.91,9.05,,6691,-903,-77
14:39:42,90614BC-0x5A,23.25,8.01,8.73,,6691,-904,-78
14:39:43,90614BC-0x5A,23.27,7.97,8.57,,6692,-907,-80
14:39:44,90614BC-0x5A,23.29,8.03,9.11,,6692,-902,-77
14:39:45,90614BC-0x5A,23.31,8.07,8.81,,6693,-904,-78
14:39:46,90614BC-0x5A,23.33,8.01,8.91,,6693,-903,-77
14:39:47,90614BC-0x5A,23.25,8.03,8.47,,6691,-903,-80
14:39:48,90614BC-0x5A,23.27,7.99,8.81,,6692,-905,-78
14:39:49,90614BC-0x5A,23.23,7.97,8.21,,6691,-906,-81
14:39:50,90614BC-0x5A,23.23,7.93,8.39,,6691,-905,-80
14:39:51,90614BC-0x5A,23.29,8.03,8.81,,6692,-904,-78
14:39:52,90614BC-0x5A,23.27,8.03,8.55,,6692,-904,-80
14:39:53,90614BC-0x5A,23.33,8.03,8.59,,6693,-906,-79
14:39:54,90614BC-0x5A,23.31,8.11,8.71,,6693,-902,-78
14:39:55,90614BC-0x5A,23.25,8.01,8.47,,6691,-903,-79
14:39:56,90614BC-0x5A,23.21,7.93,8.73,,6691,-905,-78
14:39:57,90614BC-0x5A,23.25,7.99,9.17,,6691,-904,-76
14:39:58,90614BC-0x5A,23.29,8.05,8.77,,6692,-904,-78
14:39:59,90614BC-0x5A,23.27,7.99,8.43,,6691,-902,-80
14:40:00,90614BC-0x5A,23.25,8.07,8.49,,6691,-902,-79
14:40:01,90614BC-0x5A,23.27,8.03,8.43,,6692,-904,-80
14:40:02,90614BC-0x5A,23.25,8.13,9.17,,6691,-901,-75
14:40:03,90614BC-0x5A,23.25,7.95,8.87,,6691,-905,-77
14:40:04,90614BC-0x5A,23.25,8.03,8.69,,6691,-903,-78
14:40:05,90614BC-0x5A,23.21,8.01,8.23,,6691,-905,-81
14:40:06,90614BC-0x5A,23.21,7.97,8.11,,6691,-906,-82
14:40:07,90614BC-0x5A,23.23,7.91,8.57,,6691,-904,-79
14:40:08,90614BC-0x5A,23.25,8.05,8.01,,6692,-904,-83
14:40:09,90614BC-0x5A,23.23,7.91,8.35,,6691,-906,-81
14:40:10,90614BC-0x5A,23.29,8.09,8.55,,6692,-902,-80
14:40:11,90614BC-0x5A,23.23,8.03,8.43,,6691,-904,-79
14:40:12,90614BC-0x5A,23.27,8.11,7.99,,6692,-902,-83
14:40:13,90614BC-0x5A,23.27,8.01,8.85,,6692,-905,-78
14:40:14,90614BC-0x5A,23.11,7.83,8.49,,6687,-907,-79
14:40:15,90614BC-0x5A,23.27,8.09,8.29,,6692,-901,-81
14:40:16,90614BC-0x5A,23.25,8.01,8.63,,6692,-904,-78
14:40:17,90614BC-0x5A,23.21,7.99,8.75,,6690,-904,-78
14:40:18,90614BC-0x5A,23.21,7.95,9.01,,6691,-907,-76
