14:51:45,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8E78,'8896,'82F5,'7E28,'77F1,'DADA,'A8FC,'2075,'BE5A,'0A66,'BC27,'8E53,'53E3,'0021,'0052,'1D02,'00C1,'3507,'8006,'0000,'1D4F,'8011,'FC14,'2276,'928C,'E112
14:51:45,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:51:45,90614BC-0x5A,23.21,8.23,0.51,,6702,-988,-112
14:51:46,90614BC-0x5A,23.17,8.15,2.09,,6701,-976,-105
14:51:47,90614BC-0x5A,23.17,8.19,3.77,,6701,-970,-97
14:51:48,90614BC-0x5A,23.19,8.19,4.57,,6701,-964,-94
14:51:49,90614BC-0x5A,23.17,8.09,5.35,,6701,-963,-90
14:51:50,90614BC-0x5A,23.15,8.05,6.17,,6700,-958,-86
14:51:51,90614BC-0x5A,23.21,8.15,6.39,,6702,-954,-86
14:51:52,90614BC-0x5A,23.17,8.11,6.69,,6701,-954,-84
14:51:53,90614BC-0x5A,23.01,7.97,6.99,,6696,-949,-82
14:51:54,90614BC-0x5A,23.15,8.17,7.13,,6700,-949,-83
14:51:55,90614BC-0x5A,23.17,8.19,7.51,,6701,-945,-81
14:51:56,90614BC-0x5A,23.21,8.15,7.69,,6702,-949,-80
14:51:57,90614BC-0x5A,23.13,8.13,7.65,,6700,-947,-80
14:51:58,90614BC-0x5A,23.15,8.19,7.91,,6700,-944,-79
14:51:59,90614BC-0x5A,23.13,8.07,7.71,,6700,-946,-80
14:52:00,90614BC-0x5A,23.17,8.11,7.67,,6701,-945,-80
14:52:01,90614BC-0x5A,23.17,8.09,7.97,,6701,-946,-79
14:52:02,90614BC-0x5A,23.19,8.05,7.81,,6702,-947,-79
14:52:03,90614BC-0x5A,23.17,8.19,8.23,,6701,-945,-77
14:52:04,90614BC-0x5A,23.15,8.13,7.99,,6700,-945,-78
14:52:05,90614BC-0x5A,23.17,8.19,8.27,,6701,-943,-76
14:52:06,90614BC-0x5A,23.17,8.07,8.37,,6701,-945,-77
14:52:07,90614BC-0x5A,23.17,8.07,8.67,,6701,-944,-75
14:52:08,90614BC-0x5A,23.13,8.11,8.45,,6700,-944,-75
14:52:09,90614BC-0x5A,23.19,8.11,8.17,,6701,-944,-76
14:52:10,90614BC-0x5A,23.17,8.07,8.17,,6701,-948,-77
14:52:11,90614BC-0x5A,23.11,8.05,8.17,,6699,-947,-77
14:52:12,90614BC-0x5A,23.17,8.11,8.05,,6701,-948,-78
14:52:13,90614BC-0x5A,23.21,8.15,8.03,,6702,-945,-78
14:52:14,90614BC-0x5A,23.17,8.17,7.87,,6701,-943,-79
14:52:15,90614BC-0x5A,23.25,8.15,8.41,,6703,-945,-76
14:52:16,90614BC-0x5A,23.21,8.13,8.21,,6702,-942,-77
14:52:17,90614BC-0x5A,23.17,8.13,8.25,,6700,-943,-76
14:52:18,90614BC-0x5A,23.17,8.07,8.31,,6701,-944,-77
14:52:19,90614BC-0x5A,23.15,8.17,7.93,,6700,-942,-78
14:52:21,90614BC-0x5A,23.17,8.13,8.31,,6701,-942,-77
14:52:22,90614BC-0x5A,23.17,8.03,8.29,,6701,-945,-77
14:52:23,90614BC-0x5A,23.17,8.15,8.13,,6700,-942,-78
14:52:24,90614BC-0x5A,23.17,8.25,8.19,,6701,-942,-77
14:52:25,90614BC-0x5A,23.19,8.13,7.89,,6702,-944,-80
14:52:26,90614BC-0x5A,23.11,8.11,8.19,,6699,-942,-77
14:52:27,90614BC-0x5A,23.17,8.19,8.45,,6701,-942,-76
14:52:28,90614BC-0x5A,23.17,8.21,8.27,,6701,-940,-77
14:52:29,90614BC-0x5A,23.13,8.09,8.59,,6700,-941,-75
14:52:30,90614BC-0x5A,23.17,8.11,8.03,,6701,-942,-79
14:52:31,90614BC-0x5A,23.17,8.11,8.21,,6701,-943,-77
14:52:32,90614BC-0x5A,23.17,8.11,8.13,,6701,-943,-78
14:52:33,90614BC-0x5A,23.17,8.11,8.13,,6701,-942,-78
14:52:34,90614BC-0x5A,23.17,8.15,8.09,,6701,-943,-78
14:52:35,90614BC-0x5A,23.15,8.13,8.15,,6700,-942,-78
14:52:36,90614BC-0x5A,23.17,8.19,8.43,,6701,-943,-76
14:52:37,90614BC-0x5A,23.17,8.09,8.13,,6701,-945,-78
14:52:38,90614BC-0x5A,23.13,8.07,7.97,,6700,-945,-79
14:52:39,90614BC-0x5A,23.17,8.09,8.75,,6701,-940,-75
14:52:40,90614BC-0x5A,23.09,8.05,7.95,,6699,-940,-79
14:52:41,90614BC-0x5A,23.19,8.17,8.73,,6702,-941,-75
14:52:42,90614BC-0x5A,23.17,8.17,8.57,,6701,-941,-75
14:52:43,90614BC-0x5A,23.13,8.05,8.29,,6700,-945,-77
14:52:44,90614BC-0x5A,23.15,8.05,8.35,,6700,-942,-77
14:52:45,90614BC-0x5A,23.17,8.13,8.15,,6701,-943,-78
14:52:46,90614BC-0x5A,23.17,8.13,8.61,,6701,-941,-75
14:52:47,90614BC-0x5A,23.13,8.11,8.49,,6700,-942,-76
14:52:48,90614BC-0x5A,23.17,8.21,8.27,,6701,-939,-77
14:52:49,90614BC-0x5A,23.17,8.19,8.27,,6701,-938,-77
14:52:50,90614BC-0x5A,23.13,8.09,8.61,,6700,-942,-75
14:52:51,90614BC-0x5A,23.17,8.21,8.25,,6701,-941,-77
14:52:52,90614BC-0x5A,23.17,8.21,8.03,,6701,-940,-79
