14:55:16,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8AA9,'84EE,'7F75,'7AC8,'74BC,'DADA,'A8FC,'2075,'BE5A,'0A66,'B0E3,'8E53,'53E3,'002A,'0050,'1CFD,'00C1,'34F9,'0000,'0000,'1B4C,'8011,'3014,'22AD,'928C,'E112
14:55:16,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:55:16,90614BC-0x5A,23.07,8.17,8.59,,6691,-954,-72
14:55:17,90614BC-0x5A,23.01,8.13,8.47,,6690,-951,-72
14:55:18,90614BC-0x5A,23.01,8.17,8.49,,6691,-948,-73
14:55:19,90614BC-0x5A,23.05,8.21,8.57,,6691,-948,-72
14:55:20,90614BC-0x5A,23.03,8.19,7.99,,6691,-949,-75
14:55:21,90614BC-0x5A,23.05,8.13,8.59,,6691,-953,-72
14:55:22,90614BC-0x5A,23.01,8.11,8.81,,6691,-948,-71
14:55:23,90614BC-0x5A,23.05,8.11,8.83,,6690,-950,-71
14:55:24,90614BC-0x5A,22.99,8.17,8.73,,6690,-947,-71
14:55:25,90614BC-0x5A,23.05,8.21,8.43,,6691,-949,-73
14:55:26,90614BC-0x5A,23.03,8.19,8.55,,6691,-947,-73
14:55:27,90614BC-0x5A,23.03,8.21,8.25,,6691,-950,-74
14:55:28,90614BC-0x5A,23.01,8.13,8.71,,6691,-948,-72
14:55:29,90614BC-0x5A,23.03,8.21,8.83,,6691,-947,-73
14:55:30,90614BC-0x5A,23.03,8.11,8.27,,6691,-952,-74
14:55:31,90614BC-0x5A,23.05,8.09,8.75,,6691,-952,-71
14:55:32,90614BC-0x5A,23.05,8.17,8.17,,6691,-949,-74
14:55:33,90614BC-0x5A,23.07,8.27,8.33,,6692,-951,-73
14:55:34,90614BC-0x5A,23.01,8.21,8.07,,6690,-949,-75
14:55:35,90614BC-0x5A,23.01,8.13,8.41,,6691,-950,-73
14:55:36,90614BC-0x5A,23.01,8.13,8.57,,6690,-951,-72
14:55:37,90614BC-0x5A,23.01,8.13,8.63,,6691,-949,-72
14:55:38,90614BC-0x5A,23.01,8.17,8.49,,6690,-950,-72
14:55:39,90614BC-0x5A,23.01,8.09,8.63,,6691,-951,-72
14:55:40,90614BC-0x5A,23.01,8.13,8.29,,6691,-950,-74
14:55:41,90614BC-0x5A,23.03,8.17,8.23,,6691,-949,-74
14:55:42,90614BC-0x5A,23.01,8.27,8.39,,6692,-946,-73
14:55:43,90614BC-0x5A,23.01,8.13,8.85,,6691,-947,-71
14:55:44,90614BC-0x5A,23.05,8.17,8.51,,6691,-952,-73
14:55:45,90614BC-0x5A,23.01,8.19,8.29,,6690,-950,-74
14:55:46,90614BC-0x5A,23.01,8.19,8.25,,6690,-948,-74
14:55:47,90614BC-0x5A,23.01,8.21,8.13,,6690,-948,-74
14:55:48,90614BC-0x5A,23.01,8.23,8.31,,6691,-951,-73
14:55:49,90614BC-0x5A,23.01,8.17,8.33,,6691,-949,-73
14:55:50,90614BC-0x5A,23.03,8.17,8.73,,6691,-949,-71
14:55:52,90614BC-0x5A,23.01,8.21,8.53,,6690,-947,-72
14:55:52,90614BC-0x5A,23.01,8.27,8.33,,6691,-945,-73
14:55:53,90614BC-0x5A,23.03,8.17,8.21,,6691,-950,-74
14:55:55,90614BC-0x5A,23.01,8.25,8.15,,6690,-946,-74
14:55:56,90614BC-0x5A,23.01,8.21,8.57,,6690,-947,-72
14:55:57,90614BC-0x5A,23.01,8.15,8.85,,6690,-948,-71
14:55:58,90614BC-0x5A,23.01,8.17,8.25,,6691,-948,-74
14:55:59,90614BC-0x5A,23.05,8.13,8.37,,6691,-950,-74
14:56:00,90614BC-0x5A,23.05,8.19,8.59,,6692,-949,-72
14:56:01,90614BC-0x5A,23.01,8.19,8.21,,6691,-949,-74
14:56:02,90614BC-0x5A,23.09,8.27,8.13,,6692,-947,-74
14:56:03,90614BC-0x5A,23.01,8.11,8.63,,6691,-952,-72
14:56:04,90614BC-0x5A,23.05,8.27,8.63,,6690,-946,-71
14:56:05,90614BC-0x5A,22.99,8.19,8.17,,6690,-948,-74
14:56:06,90614BC-0x5A,23.05,8.19,8.33,,6691,-947,-74
14:56:07,90614BC-0x5A,23.05,8.13,8.87,,6692,-951,-71
14:56:08,90614BC-0x5A,23.03,8.21,8.47,,6691,-947,-73
14:56:09,90614BC-0x5A,23.05,8.19,8.61,,6691,-946,-72
14:56:10,90614BC-0x5A,23.03,8.21,8.17,,6691,-948,-75
14:56:11,90614BC-0x5A,23.05,8.13,8.61,,6690,-951,-72
14:56:12,90614BC-0x5A,23.01,8.19,8.93,,6690,-949,-70
14:56:13,90614BC-0x5A,23.05,8.23,8.83,,6692,-949,-70
14:56:14,90614BC-0x5A,23.01,8.19,9.05,,6690,-947,-70
14:56:15,90614BC-0x5A,23.05,8.27,8.05,,6692,-947,-75
14:56:16,90614BC-0x5A,23.01,8.17,8.73,,6691,-949,-71
14:56:17,90614BC-0x5A,23.05,8.11,8.53,,6691,-949,-73
14:56:18,90614BC-0x5A,23.01,8.17,8.81,,6691,-947,-71
14:56:19,90614BC-0x5A,23.03,8.25,8.19,,6691,-947,-74
14:56:20,90614BC-0x5A,23.01,8.15,8.83,,6690,-948,-71
14:56:21,90614BC-0x5A,23.03,8.15,8.11,,6691,-950,-75
