14:58:51,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'9B7E,'9512,'8EEE,'89B0,'82E7,'DADA,'A8FC,'2075,'BE5A,'0A66,'CC88,'8E53,'53E3,'0028,'004F,'1D0D,'00C1,'34FC,'8002,'0000,'1E49,'8011,'DC0D,'2274,'928C,'E112
14:58:51,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:58:51,90614BC-0x5A,23.11,7.69,8.11,,6694,-882,-78
14:58:52,90614BC-0x5A,23.13,7.85,8.41,,6694,-881,-76
14:58:53,90614BC-0x5A,23.07,7.77,9.05,,6693,-882,-72
14:58:54,90614BC-0x5A,23.07,7.71,8.21,,6693,-883,-77
14:58:55,90614BC-0x5A,23.09,7.83,8.15,,6693,-882,-77
14:58:56,90614BC-0x5A,23.13,7.73,8.65,,6695,-885,-75
14:58:57,90614BC-0x5A,23.11,7.77,7.87,,6694,-884,-76
14:58:58,90614BC-0x5A,23.11,7.75,8.39,,6694,-884,-76
14:58:59,90614BC-0x5A,23.07,7.73,8.65,,6693,-883,-75
14:59:00,90614BC-0x5A,23.05,7.71,8.27,,6692,-883,-75
14:59:01,90614BC-0x5A,23.11,7.77,8.73,,6694,-882,-74
14:59:02,90614BC-0x5A,23.07,7.79,8.25,,6693,-884,-77
14:59:03,90614BC-0x5A,23.11,7.75,8.17,,6694,-886,-77
14:59:04,90614BC-0x5A,23.09,7.85,7.77,,6693,-884,-79
14:59:05,90614BC-0x5A,23.11,7.71,8.05,,6694,-889,-77
14:59:06,90614BC-0x5A,23.09,7.83,8.53,,6693,-882,-75
14:59:07,90614BC-0x5A,23.11,7.77,8.37,,6694,-885,-77
14:59:08,90614BC-0x5A,23.13,7.75,8.41,,6695,-885,-76
14:59:09,90614BC-0x5A,23.11,7.79,8.03,,6694,-885,-77
14:59:10,90614BC-0x5A,23.11,7.77,8.05,,6694,-888,-77
14:59:11,90614BC-0x5A,23.13,7.81,8.09,,6695,-884,-77
14:59:12,90614BC-0x5A,23.09,7.79,8.27,,6693,-884,-76
14:59:13,90614BC-0x5A,23.11,7.83,8.03,,6694,-883,-77
14:59:14,90614BC-0x5A,23.11,7.77,7.95,,6694,-888,-78
14:59:15,90614BC-0x5A,23.15,7.81,8.57,,6695,-884,-75
14:59:16,90614BC-0x5A,23.11,7.77,8.45,,6694,-886,-75
14:59:17,90614BC-0x5A,23.11,7.79,7.97,,6694,-884,-78
14:59:18,90614BC-0x5A,23.09,7.77,7.87,,6693,-887,-78
14:59:19,90614BC-0x5A,23.07,7.81,8.01,,6693,-883,-77
14:59:20,90614BC-0x5A,23.07,7.77,8.07,,6693,-883,-77
14:59:21,90614BC-0x5A,23.09,7.69,8.75,,6693,-888,-73
14:59:22,90614BC-0x5A,23.11,7.77,8.11,,6694,-884,-77
14:59:23,90614BC-0x5A,23.09,7.83,8.57,,6693,-883,-74
14:59:24,90614BC-0x5A,23.11,7.71,7.93,,6694,-885,-74
14:59:25,90614BC-0x5A,23.09,7.73,7.81,,6693,-886,-79
14:59:26,90614BC-0x5A,23.05,7.75,8.29,,6693,-882,-76
14:59:27,90614BC-0x5A,23.13,7.85,8.23,,6695,-882,-76
14:59:28,90614BC-0x5A,23.09,7.77,8.57,,6694,-884,-74
14:59:29,90614BC-0x5A,23.09,7.83,8.89,,6693,-883,-77
14:59:30,90614BC-0x5A,23.11,7.79,8.29,,6694,-884,-76
14:59:31,90614BC-0x5A,23.09,7.69,8.59,,6693,-884,-75
14:59:32,90614BC-0x5A,23.11,7.77,8.45,,6694,-884,-76
14:59:33,90614BC-0x5A,23.11,7.77,8.41,,6694,-882,-76
14:59:34,90614BC-0x5A,23.09,7.77,8.19,,6693,-883,-77
14:59:35,90614BC-0x5A,23.11,7.81,8.49,,6694,-882,-75
14:59:36,90614BC-0x5A,23.15,7.73,8.39,,6693,-883,-76
14:59:37,90614BC-0x5A,23.05,7.69,8.83,,6693,-883,-73
14:59:38,90614BC-0x5A,23.09,7.77,8.49,,6693,-884,-75
14:59:39,90614BC-0x5A,23.13,7.79,8.45,,6695,-882,-75
14:59:40,90614BC-0x5A,23.11,7.71,8.77,,6694,-883,-74
14:59:41,90614BC-0x5A,23.15,7.77,8.71,,6695,-883,-75
14:59:42,90614BC-0x5A,23.11,7.73,8.67,,6694,-884,-75
14:59:43,90614BC-0x5A,23.05,7.73,8.33,,6693,-883,-76
14:59:44,90614BC-0x5A,23.07,7.79,8.05,,6693,-884,-77
14:59:45,90614BC-0x5A,23.11,7.73,8.69,,6694,-885,-74
14:59:46,90614BC-0x5A,23.07,7.81,8.51,,6693,-880,-75
14:59:47,90614BC-0x5A,23.09,7.77,8.37,,6693,-883,-76
14:59:48,90614BC-0x5A,23.11,7.67,8.41,,6694,-886,-76
14:59:49,90614BC-0x5A,23.11,7.73,8.41,,6694,-885,-76
14:59:50,90614BC-0x5A,23.11,7.83,8.25,,6694,-882,-76
14:59:51,90614BC-0x5A,23.15,7.77,8.59,,6695,-885,-75
14:59:52,90614BC-0x5A,23.13,7.75,8.93,,6694,-884,-73
14:59:53,90614BC-0x5A,23.11,7.71,8.91,,6694,-884,-73
