16:12:32,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'ED34,'E783,'DD56,'D5DC,'CCAE,'8600,'4B75,'2032,'BE5A,'0733,'F742,'8E13,'53E3,'800F,'0000,'1D30,'00C1,'34F8,'001D,'0000,'1D4A,'8011,'8C04,'E5E0,'5003,'E140
16:12:32,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
16:12:32,90614BC-0x5A,24.53,40.49,83.41,,6724,978,362
16:12:33,90614BC-0x5A,24.57,40.65,74.41,,6725,916,291
16:12:34,90614BC-0x5A,24.63,40.71,66.89,,6726,865,237
16:12:35,90614BC-0x5A,24.63,40.85,60.09,,6726,831,191
16:12:36,90614BC-0x5A,24.65,40.85,55.69,,6727,802,164
16:12:37,90614BC-0x5A,24.67,41.01,52.17,,6727,789,142
16:12:38,90614BC-0x5A,24.69,40.91,49.89,,6728,772,128
16:12:39,90614BC-0x5A,24.75,40.99,48.27,,6729,762,120
16:12:40,90614BC-0x5A,24.75,41.07,46.07,,6729,755,107
16:12:41,90614BC-0x5A,24.71,41.03,45.43,,6728,750,103
16:12:42,90614BC-0x5A,24.71,41.11,44.75,,6728,751,99
16:12:43,90614BC-0x5A,24.73,41.09,44.17,,6729,746,96
16:12:44,90614BC-0x5A,24.75,41.09,43.63,,6729,741,94
16:12:45,90614BC-0x5A,24.79,41.13,43.23,,6730,740,91
16:12:46,90614BC-0x5A,24.79,41.15,42.97,,6730,739,90
16:12:47,90614BC-0x5A,24.77,41.11,42.43,,6729,735,87
16:12:48,90614BC-0x5A,24.81,41.19,41.89,,6730,737,84
16:12:49,90614BC-0x5A,24.77,41.11,41.41,,6730,734,81
16:12:50,90614BC-0x5A,24.75,41.09,41.57,,6729,733,83
16:12:51,90614BC-0x5A,24.81,41.13,41.33,,6730,731,81
16:12:52,90614BC-0x5A,24.79,41.11,40.87,,6730,730,78
16:12:53,90614BC-0x5A,24.77,41.13,40.31,,6730,728,75
16:12:54,90614BC-0x5A,24.79,41.15,40.91,,6730,730,79
16:12:56,90614BC-0x5A,24.79,41.13,41.55,,6730,732,83
16:12:56,90614BC-0x5A,24.79,41.11,41.69,,6730,734,82
16:12:58,90614BC-0x5A,24.75,41.07,42.01,,6729,732,85
16:12:59,90614BC-0x5A,24.79,41.13,41.59,,6730,733,82
16:13:00,90614BC-0x5A,24.81,41.11,40.89,,6731,732,78
16:13:01,90614BC-0x5A,24.81,41.15,40.95,,6730,730,79
16:13:02,90614BC-0x5A,24.81,41.05,40.97,,6730,728,79
16:13:03,90614BC-0x5A,24.75,41.05,40.73,,6729,728,78
16:13:04,90614BC-0x5A,24.79,41.05,40.71,,6730,728,77
16:13:05,90614BC-0x5A,24.83,41.09,40.27,,6731,723,75
16:13:06,90614BC-0x5A,24.77,41.07,40.17,,6730,725,74
16:13:07,90614BC-0x5A,24.83,41.11,40.09,,6731,723,74
16:13:08,90614BC-0x5A,24.73,41.13,40.05,,6728,727,74
16:13:09,90614BC-0x5A,24.79,41.09,40.37,,6730,726,76
16:13:10,90614BC-0x5A,24.81,41.15,40.33,,6730,727,76
16:13:11,90614BC-0x5A,24.75,41.05,41.05,,6729,727,80
16:13:12,90614BC-0x5A,24.81,41.03,41.51,,6730,728,82
16:13:13,90614BC-0x5A,24.75,41.07,42.45,,6729,737,86
16:13:14,90614BC-0x5A,24.81,40.99,42.55,,6730,730,87
16:13:15,90614BC-0x5A,24.83,41.15,42.65,,6731,738,88
16:13:16,90614BC-0x5A,24.77,40.99,43.07,,6729,734,91
16:13:17,90614BC-0x5A,24.83,41.15,41.71,,6731,733,83
16:13:18,90614BC-0x5A,24.81,41.09,41.93,,6730,733,84
16:13:19,90614BC-0x5A,24.81,41.03,42.49,,6730,732,87
16:13:20,90614BC-0x5A,24.81,41.03,42.17,,6730,731,85
16:13:21,90614BC-0x5A,24.83,41.11,41.23,,6731,728,80
16:13:22,90614BC-0x5A,24.81,41.13,40.93,,6730,730,78
16:13:23,90614BC-0x5A,24.81,41.11,41.31,,6730,730,81
16:13:24,90614BC-0x5A,24.79,41.17,41.67,,6729,732,83
16:13:25,90614BC-0x5A,24.85,41.13,41.91,,6732,733,83
16:13:26,90614BC-0x5A,24.81,41.17,41.25,,6730,731,80
16:13:27,90614BC-0x5A,24.79,41.19,41.69,,6730,733,83
16:13:28,90614BC-0x5A,24.83,41.05,42.09,,6731,732,85
16:13:29,90614BC-0x5A,24.87,41.01,41.57,,6732,727,82
16:13:30,90614BC-0x5A,24.83,40.99,41.87,,6731,725,84
16:13:31,90614BC-0x5A,24.83,41.07,41.33,,6731,727,80
16:13:32,90614BC-0x5A,24.85,41.15,41.27,,6731,730,80
16:13:33,90614BC-0x5A,24.79,41.09,42.51,,6729,734,87
16:13:34,90614BC-0x5A,24.81,41.13,42.83,,6730,737,88
16:13:35,90614BC-0x5A,24.87,41.15,42.71,,6732,736,88
