14:15:05,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'E22A,'DCBC,'D309,'CBE7,'C327,'8600,'4B75,'2032,'BE5A,'0733,'D38F,'8E13,'53E3,'8016,'0005,'1D05,'00C1,'34E0,'0014,'0000,'1D4A,'8011,'F40F,'E5CA,'5003,'E140
14:15:05,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:15:05,90614BC-0x5A,23.29,6.51,11.79,,6684,-611,-42
14:15:06,90614BC-0x5A,23.27,6.49,11.79,,6684,-614,-42
14:15:07,90614BC-0x5A,23.25,6.51,11.75,,6684,-611,-42
14:15:08,90614BC-0x5A,23.29,6.57,12.33,,6684,-610,-40
14:15:09,90614BC-0x5A,23.31,6.47,12.15,,6685,-612,-40
14:15:10,90614BC-0x5A,23.31,6.53,12.11,,6685,-613,-41
14:15:11,90614BC-0x5A,23.23,6.45,11.43,,6683,-613,-43
14:15:12,90614BC-0x5A,23.25,6.57,11.33,,6683,-609,-44
14:15:13,90614BC-0x5A,23.25,6.49,11.99,,6683,-613,-41
14:15:14,90614BC-0x5A,23.25,6.47,11.41,,6683,-613,-43
14:15:15,90614BC-0x5A,23.23,6.53,11.09,,6683,-610,-45
14:15:16,90614BC-0x5A,23.23,6.53,11.15,,6683,-611,-44
14:15:17,90614BC-0x5A,23.27,6.55,12.17,,6684,-609,-40
14:15:18,90614BC-0x5A,23.25,6.53,11.51,,6683,-609,-40
14:15:19,90614BC-0x5A,23.25,6.55,11.75,,6683,-610,-42
14:15:20,90614BC-0x5A,23.27,6.57,11.53,,6684,-610,-43
14:15:21,90614BC-0x5A,23.27,6.53,11.25,,6684,-612,-44
14:15:22,90614BC-0x5A,23.25,6.39,11.81,,6684,-614,-42
14:15:23,90614BC-0x5A,23.31,6.37,11.53,,6685,-616,-43
14:15:24,90614BC-0x5A,23.27,6.47,11.77,,6684,-613,-42
14:15:25,90614BC-0x5A,23.27,6.49,10.87,,6684,-613,-46
14:15:26,90614BC-0x5A,23.25,6.53,11.19,,6683,-611,-44
14:15:27,90614BC-0x5A,23.19,6.41,11.33,,6682,-614,-44
14:15:28,90614BC-0x5A,23.23,6.47,11.37,,6683,-613,-43
14:15:29,90614BC-0x5A,23.21,6.39,11.23,,6682,-613,-45
14:15:30,90614BC-0x5A,23.25,6.53,11.63,,6684,-611,-42
14:15:31,90614BC-0x5A,23.29,6.63,11.05,,6685,-611,-45
14:15:32,90614BC-0x5A,23.25,6.53,11.11,,6683,-613,-45
14:15:33,90614BC-0x5A,23.27,6.57,11.67,,6684,-613,-42
14:15:34,90614BC-0x5A,23.23,6.53,11.35,,6683,-611,-44
14:15:35,90614BC-0x5A,23.19,6.61,11.43,,6682,-610,-43
14:15:36,90614BC-0x5A,23.19,6.51,11.43,,6682,-610,-43
14:15:37,90614BC-0x5A,23.25,6.55,11.27,,6683,-609,-43
14:15:38,90614BC-0x5A,23.21,6.51,11.19,,6682,-612,-44
14:15:39,90614BC-0x5A,23.21,6.55,11.15,,6682,-609,-44
14:15:40,90614BC-0x5A,23.25,6.53,10.63,,6682,-611,-46
14:15:41,90614BC-0x5A,23.21,6.61,11.17,,6682,-611,-44
14:15:42,90614BC-0x5A,23.21,6.37,11.25,,6682,-614,-44
14:15:43,90614BC-0x5A,23.19,6.61,11.19,,6682,-611,-44
14:15:44,90614BC-0x5A,23.23,6.53,11.61,,6683,-612,-42
14:15:45,90614BC-0x5A,23.21,6.59,11.41,,6682,-609,-43
14:15:46,90614BC-0x5A,23.19,6.49,10.79,,6682,-612,-45
14:15:47,90614BC-0x5A,23.25,6.55,11.21,,6683,-610,-44
14:15:48,90614BC-0x5A,23.25,6.61,10.89,,6684,-612,-45
14:15:49,90614BC-0x5A,23.21,6.49,10.51,,6681,-611,-46
14:15:50,90614BC-0x5A,23.25,6.51,11.25,,6683,-611,-44
14:15:51,90614BC-0x5A,23.19,6.51,11.31,,6682,-611,-43
14:15:52,90614BC-0x5A,23.17,6.47,11.25,,6682,-613,-43
14:15:53,90614BC-0x5A,23.19,6.55,11.21,,6681,-611,-43
14:15:54,90614BC-0x5A,23.23,6.45,11.13,,6683,-613,-44
14:15:55,90614BC-0x5A,23.21,6.45,10.87,,6682,-614,-45
14:15:56,90614BC-0x5A,23.21,6.53,11.23,,6682,-612,-43
14:15:57,90614BC-0x5A,23.21,6.53,11.67,,6682,-610,-42
14:15:58,90614BC-0x5A,23.13,6.45,11.29,,6682,-613,-43
14:15:59,90614BC-0x5A,23.21,6.47,10.17,,6682,-613,-48
14:16:00,90614BC-0x5A,23.25,6.61,11.43,,6683,-610,-43
14:16:01,90614BC-0x5A,23.21,6.51,10.51,,6682,-612,-46
14:16:02,90614BC-0x5A,23.17,6.51,10.87,,6681,-611,-45
14:16:03,90614BC-0x5A,23.19,6.61,11.31,,6682,-609,-43
14:16:04,90614BC-0x5A,23.21,6.61,10.41,,6682,-610,-46
14:16:05,90614BC-0x5A,23.21,6.47,11.31,,6682,-611,-44
14:16:06,90614BC-0x5A,23.19,6.53,11.01,,6681,-611,-45
14:16:07,90614BC-0x5A,23.19,6.55,11.11,,6682,-609,-44
14:16:08,90614BC-0x5A,23.17,6.51,10.91,,6681,-611,-45
