14:16:57,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'EDC4,'E810,'DDDD,'D65E,'CD2A,'8600,'4B75,'2032,'BE5A,'0733,'DDAE,'8E13,'53E3,'8002,'0018,'1D01,'00C1,'34EB,'0014,'0000,'1C46,'8011,'F014,'E5DE,'5003,'E140
14:16:57,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:16:57,90614BC-0x5A,23.45,6.63,12.99,,6693,-584,-39
14:16:58,90614BC-0x5A,23.47,6.71,12.79,,6694,-581,-39
14:16:59,90614BC-0x5A,23.45,6.67,12.57,,6693,-584,-40
14:17:00,90614BC-0x5A,23.47,6.79,11.61,,6694,-583,-43
14:17:01,90614BC-0x5A,23.43,6.67,11.67,,6692,-585,-43
14:17:02,90614BC-0x5A,23.47,6.71,11.61,,6694,-588,-43
14:17:03,90614BC-0x5A,23.45,6.65,11.41,,6693,-586,-42
14:17:04,90614BC-0x5A,23.47,6.85,10.93,,6694,-584,-46
14:17:05,90614BC-0x5A,23.45,6.59,11.03,,6693,-588,-45
14:17:06,90614BC-0x5A,23.45,6.69,11.67,,6693,-586,-43
14:17:07,90614BC-0x5A,23.45,6.85,11.31,,6693,-585,-44
14:17:08,90614BC-0x5A,23.41,6.63,11.71,,6693,-588,-42
14:17:09,90614BC-0x5A,23.47,6.79,11.51,,6694,-584,-43
14:17:10,90614BC-0x5A,23.45,6.57,11.53,,6693,-588,-44
14:17:11,90614BC-0x5A,23.39,6.63,11.01,,6692,-588,-45
14:17:12,90614BC-0x5A,23.43,6.61,11.57,,6693,-588,-43
14:17:13,90614BC-0x5A,23.41,6.69,11.23,,6692,-586,-45
14:17:14,90614BC-0x5A,23.41,6.69,11.93,,6692,-587,-42
14:17:15,90614BC-0x5A,23.47,6.69,11.45,,6694,-587,-44
14:17:16,90614BC-0x5A,23.43,6.63,11.35,,6693,-588,-44
14:17:17,90614BC-0x5A,23.47,6.73,11.11,,6694,-583,-46
14:17:18,90614BC-0x5A,23.41,6.69,11.33,,6692,-585,-44
14:17:19,90614BC-0x5A,23.43,6.79,11.19,,6693,-584,-44
14:17:20,90614BC-0x5A,23.49,6.85,11.55,,6694,-583,-43
14:17:21,90614BC-0x5A,23.41,6.67,11.87,,6693,-586,-42
14:17:22,90614BC-0x5A,23.41,6.65,11.85,,6692,-585,-42
14:17:23,90614BC-0x5A,23.47,6.71,11.31,,6694,-587,-44
14:17:24,90614BC-0x5A,23.41,6.87,11.07,,6693,-584,-45
14:17:25,90614BC-0x5A,23.49,6.77,11.63,,6694,-585,-43
14:17:26,90614BC-0x5A,23.43,6.69,10.93,,6693,-587,-46
14:17:27,90614BC-0x5A,23.41,6.67,11.59,,6693,-586,-43
14:17:28,90614BC-0x5A,23.35,6.61,11.57,,6691,-586,-43
14:17:29,90614BC-0x5A,23.45,6.73,11.19,,6693,-587,-45
14:17:30,90614BC-0x5A,23.43,6.79,11.15,,6693,-584,-45
14:17:31,90614BC-0x5A,23.39,6.85,11.47,,6692,-583,-43
14:17:32,90614BC-0x5A,23.41,6.69,11.05,,6692,-584,-45
14:17:33,90614BC-0x5A,23.43,6.77,11.69,,6693,-583,-43
14:17:34,90614BC-0x5A,23.47,6.79,11.71,,6694,-584,-43
14:17:35,90614BC-0x5A,23.51,6.67,11.69,,6695,-588,-43
14:17:36,90614BC-0x5A,23.41,6.65,11.91,,6692,-585,-42
14:17:37,90614BC-0x5A,23.45,6.75,11.57,,6694,-583,-41
14:17:38,90614BC-0x5A,23.45,6.63,11.47,,6694,-586,-44
14:17:39,90614BC-0x5A,23.47,6.61,11.45,,6693,-588,-44
14:17:40,90614BC-0x5A,23.43,6.69,11.33,,6693,-585,-44
14:17:41,90614BC-0x5A,23.39,6.69,11.53,,6693,-585,-43
14:17:42,90614BC-0x5A,23.41,6.71,11.41,,6693,-587,-43
14:17:43,90614BC-0x5A,23.41,6.81,11.43,,6692,-585,-43
14:17:44,90614BC-0x5A,23.39,6.75,11.69,,6692,-581,-43
14:17:45,90614BC-0x5A,23.41,6.79,10.75,,6692,-584,-46
14:17:46,90614BC-0x5A,23.39,6.69,11.33,,6692,-584,-45
14:17:47,90614BC-0x5A,23.43,6.67,11.61,,6693,-586,-43
14:17:48,90614BC-0x5A,23.43,6.79,11.59,,6693,-582,-43
14:17:49,90614BC-0x5A,23.41,6.77,11.19,,6693,-585,-44
14:17:50,90614BC-0x5A,23.41,6.75,11.65,,6693,-583,-43
14:17:51,90614BC-0x5A,23.43,6.75,11.71,,6693,-585,-43
14:17:52,90614BC-0x5A,23.43,6.75,11.21,,6693,-586,-45
14:17:53,90614BC-0x5A,23.41,6.65,11.51,,6693,-586,-43
14:17:54,90614BC-0x5A,23.41,6.77,10.39,,6693,-586,-48
14:17:55,90614BC-0x5A,23.43,6.69,11.45,,6693,-585,-44
14:17:56,90614BC-0x5A,23.43,6.85,10.49,,6693,-584,-47
14:17:57,90614BC-0x5A,23.39,6.81,10.29,,6691,-582,-48
14:17:58,90614BC-0x5A,23.41,6.77,11.05,,6692,-584,-45
14:17:59,90614BC-0x5A,23.47,6.67,11.67,,6693,-587,-43
14:18:00,90614BC-0x5A,23.39,6.67,11.23,,6692,-584,-45
14:18:01,90614BC-0x5A,23.41,6.69,11.55,,6692,-584,-43
