14:20:48,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'E889,'E2F5,'D8FB,'D1A7,'C8A7,'8600,'4B75,'2032,'BE5A,'0733,'F7B5,'8E13,'53E3,'8012,'0004,'1D06,'00C1,'34DE,'0017,'0000,'1E4E,'8011,'140F,'E5AB,'5003,'E140
14:20:48,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:20:48,90614BC-0x5A,23.11,6.73,10.07,,6679,-597,-53
14:20:49,90614BC-0x5A,23.15,6.79,9.59,,6680,-595,-56
14:20:50,90614BC-0x5A,23.17,6.75,10.19,,6680,-596,-53
14:20:51,90614BC-0x5A,23.15,6.71,10.11,,6680,-596,-54
14:20:52,90614BC-0x5A,23.07,6.77,9.49,,6679,-596,-56
14:20:53,90614BC-0x5A,23.11,6.81,9.71,,6679,-593,-55
14:20:54,90614BC-0x5A,23.07,6.73,9.69,,6679,-596,-55
14:20:55,90614BC-0x5A,23.11,6.77,9.27,,6679,-595,-57
14:20:56,90614BC-0x5A,23.15,6.81,9.17,,6680,-596,-58
14:20:57,90614BC-0x5A,23.11,6.71,9.07,,6679,-595,-58
14:20:58,90614BC-0x5A,23.13,6.77,10.21,,6680,-595,-53
14:20:59,90614BC-0x5A,23.13,6.75,9.31,,6680,-598,-57
14:21:00,90614BC-0x5A,23.11,6.77,9.31,,6679,-596,-57
14:21:01,90614BC-0x5A,23.15,6.81,9.41,,6680,-596,-56
14:21:02,90614BC-0x5A,23.07,6.73,9.29,,6678,-597,-57
14:21:03,90614BC-0x5A,23.13,6.69,9.89,,6679,-597,-54
14:21:04,90614BC-0x5A,23.15,6.77,9.57,,6680,-597,-56
14:21:05,90614BC-0x5A,23.07,6.71,9.45,,6678,-595,-57
14:21:06,90614BC-0x5A,23.13,6.75,9.89,,6679,-598,-55
14:21:07,90614BC-0x5A,23.11,6.69,9.67,,6679,-598,-55
14:21:08,90614BC-0x5A,23.11,6.69,9.61,,6679,-597,-56
14:21:09,90614BC-0x5A,23.13,6.75,9.73,,6679,-597,-55
14:21:10,90614BC-0x5A,23.11,6.75,9.93,,6679,-596,-54
14:21:11,90614BC-0x5A,23.09,6.79,9.27,,6679,-596,-57
14:21:12,90614BC-0x5A,23.11,6.73,9.95,,6679,-597,-54
14:21:13,90614BC-0x5A,23.09,6.63,9.49,,6679,-597,-57
14:21:14,90614BC-0x5A,23.11,6.71,9.57,,6679,-596,-56
14:21:15,90614BC-0x5A,23.07,6.69,9.35,,6678,-596,-57
14:21:16,90614BC-0x5A,23.13,6.79,9.23,,6680,-596,-57
14:21:17,90614BC-0x5A,23.13,6.85,9.21,,6679,-595,-57
14:21:18,90614BC-0x5A,23.15,6.79,9.69,,6680,-595,-55
14:21:20,90614BC-0x5A,23.09,6.71,9.29,,6679,-597,-57
14:21:21,90614BC-0x5A,23.15,6.77,9.89,,6680,-596,-55
14:21:22,90614BC-0x5A,23.11,6.73,9.33,,6679,-598,-57
14:21:23,90614BC-0x5A,23.07,6.65,9.69,,6678,-599,-55
14:21:24,90614BC-0x5A,23.09,6.79,9.21,,6679,-597,-59
14:21:25,90614BC-0x5A,23.07,6.63,9.21,,6678,-599,-57
14:21:26,90614BC-0x5A,23.13,6.81,9.39,,6679,-595,-57
14:21:27,90614BC-0x5A,23.11,6.71,9.31,,6679,-595,-55
14:21:28,90614BC-0x5A,23.09,6.79,9.49,,6679,-597,-56
14:21:29,90614BC-0x5A,23.09,6.79,9.29,,6679,-594,-57
14:21:30,90614BC-0x5A,23.07,6.69,9.69,,6678,-596,-56
14:21:31,90614BC-0x5A,23.11,6.75,9.35,,6679,-598,-57
14:21:32,90614BC-0x5A,23.13,6.85,9.29,,6679,-596,-57
14:21:33,90614BC-0x5A,23.13,6.71,9.41,,6680,-598,-57
14:21:34,90614BC-0x5A,23.09,6.75,9.53,,6679,-596,-56
14:21:35,90614BC-0x5A,23.07,6.75,9.23,,6678,-595,-58
14:21:36,90614BC-0x5A,23.07,6.69,8.91,,6678,-598,-58
14:21:37,90614BC-0x5A,23.11,6.75,9.31,,6679,-595,-57
14:21:38,90614BC-0x5A,23.09,6.71,9.83,,6679,-597,-54
14:21:39,90614BC-0x5A,23.07,6.79,9.27,,6678,-596,-57
14:21:40,90614BC-0x5A,23.11,6.73,9.61,,6679,-594,-55
14:21:41,90614BC-0x5A,23.11,6.75,8.99,,6679,-594,-59
14:21:42,90614BC-0x5A,23.07,6.71,9.71,,6679,-596,-55
14:21:43,90614BC-0x5A,23.07,6.73,9.25,,6678,-597,-57
14:21:44,90614BC-0x5A,23.09,6.75,9.21,,6679,-596,-57
14:21:45,90614BC-0x5A,23.11,6.71,9.35,,6679,-597,-57
14:21:46,90614BC-0x5A,23.13,6.73,9.21,,6680,-596,-57
14:21:47,90614BC-0x5A,23.07,6.77,9.37,,6678,-595,-56
14:21:48,90614BC-0x5A,23.09,6.77,8.85,,6679,-594,-57
14:21:49,90614BC-0x5A,23.07,6.75,9.63,,6678,-594,-55
14:21:50,90614BC-0x5A,23.11,6.89,9.19,,6679,-592,-58
14:21:51,90614BC-0x5A,23.15,6.65,9.35,,6680,-599,-57
14:21:52,90614BC-0x5A,23.07,6.69,9.47,,6678,-596,-56
14:21:53,90614BC-0x5A,23.13,6.83,9.35,,6680,-594,-57
14:21:54,90614BC-0x5A,23.09,6.75,9.11,,6679,-595,-58
