14:30:25,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'ED5B,'E7A9,'DD7B,'D5FF,'CCCF,'8600,'4B75,'2032,'BE5A,'0733,'8F69,'8E12,'53E3,'800E,'0011,'1D2C,'00C1,'3508,'0012,'0000,'1E4E,'8011,'B807,'E582,'5003,'E140
14:30:25,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:30:25,90614BC-0x5A,22.81,6.63,4.93,,6693,-599,-81
14:30:26,90614BC-0x5A,22.79,6.67,5.25,,6692,-598,-80
14:30:27,90614BC-0x5A,22.83,6.63,5.41,,6693,-598,-79
14:30:28,90614BC-0x5A,22.89,6.71,5.43,,6695,-597,-79
14:30:29,90614BC-0x5A,22.83,6.71,5.89,,6693,-596,-77
14:30:30,90614BC-0x5A,22.81,6.59,5.53,,6693,-598,-78
14:30:31,90614BC-0x5A,22.83,6.65,5.73,,6693,-597,-78
14:30:32,90614BC-0x5A,22.83,6.57,6.11,,6693,-598,-76
14:30:33,90614BC-0x5A,22.85,6.69,5.95,,6694,-595,-77
14:30:34,90614BC-0x5A,22.67,6.63,5.97,,6689,-600,-76
14:30:35,90614BC-0x5A,22.85,6.77,5.37,,6694,-594,-80
14:30:36,90614BC-0x5A,22.83,6.53,6.17,,6693,-598,-76
14:30:37,90614BC-0x5A,22.85,6.55,6.27,,6694,-598,-76
14:30:38,90614BC-0x5A,22.79,6.51,6.09,,6693,-594,-76
14:30:39,90614BC-0x5A,22.83,6.53,5.59,,6693,-597,-79
14:30:40,90614BC-0x5A,22.81,6.55,5.93,,6693,-597,-77
14:30:41,90614BC-0x5A,22.83,6.65,6.23,,6693,-596,-76
14:30:42,90614BC-0x5A,22.79,6.55,6.35,,6692,-596,-75
14:30:43,90614BC-0x5A,22.81,6.53,6.65,,6693,-596,-74
14:30:44,90614BC-0x5A,22.79,6.69,6.47,,6692,-593,-75
14:30:45,90614BC-0x5A,22.79,6.55,6.01,,6692,-594,-77
14:30:46,90614BC-0x5A,22.83,6.73,6.55,,6693,-595,-74
14:30:47,90614BC-0x5A,22.79,6.67,6.39,,6692,-595,-75
14:30:48,90614BC-0x5A,22.83,6.69,6.51,,6693,-594,-74
14:30:50,90614BC-0x5A,22.81,6.55,6.41,,6692,-596,-75
14:30:51,90614BC-0x5A,22.81,6.47,6.13,,6693,-598,-76
14:30:51,90614BC-0x5A,22.79,6.57,6.35,,6692,-595,-75
14:30:53,90614BC-0x5A,22.67,6.39,6.31,,6688,-596,-75
14:30:54,90614BC-0x5A,22.77,6.61,6.35,,6692,-594,-75
14:30:55,90614BC-0x5A,22.83,6.61,6.51,,6694,-594,-74
14:30:56,90614BC-0x5A,22.83,6.55,6.61,,6693,-595,-74
14:30:57,90614BC-0x5A,22.83,6.63,6.61,,6693,-595,-75
14:30:58,90614BC-0x5A,22.79,6.63,7.07,,6692,-595,-72
14:30:59,90614BC-0x5A,22.81,6.65,6.25,,6693,-596,-76
14:31:00,90614BC-0x5A,22.83,6.67,6.69,,6693,-592,-74
14:31:01,90614BC-0x5A,22.85,6.53,6.99,,6692,-594,-72
14:31:02,90614BC-0x5A,22.81,6.51,6.83,,6693,-595,-73
14:31:03,90614BC-0x5A,22.79,6.67,6.59,,6693,-593,-74
14:31:04,90614BC-0x5A,22.83,6.71,6.45,,6694,-590,-75
14:31:05,90614BC-0x5A,22.75,6.53,6.55,,6691,-594,-74
14:31:06,90614BC-0x5A,22.81,6.61,6.55,,6693,-594,-74
14:31:07,90614BC-0x5A,22.81,6.51,6.73,,6693,-593,-74
14:31:08,90614BC-0x5A,22.83,6.67,6.83,,6693,-594,-73
14:31:09,90614BC-0x5A,22.83,6.55,6.69,,6693,-596,-74
14:31:10,90614BC-0x5A,22.77,6.55,6.91,,6692,-593,-72
14:31:11,90614BC-0x5A,22.83,6.55,7.63,,6693,-594,-70
14:31:12,90614BC-0x5A,22.79,6.65,6.67,,6692,-592,-74
14:31:13,90614BC-0x5A,22.79,6.61,6.95,,6692,-592,-72
14:31:14,90614BC-0x5A,22.77,6.55,6.95,,6692,-592,-73
14:31:15,90614BC-0x5A,22.77,6.51,7.47,,6692,-594,-70
14:31:16,90614BC-0x5A,22.75,6.51,7.01,,6691,-594,-73
14:31:17,90614BC-0x5A,22.79,6.61,7.05,,6692,-594,-72
14:31:18,90614BC-0x5A,22.79,6.55,7.71,,6692,-592,-69
14:31:19,90614BC-0x5A,22.77,6.57,6.95,,6692,-592,-73
14:31:20,90614BC-0x5A,22.79,6.51,7.17,,6692,-594,-71
14:31:21,90614BC-0x5A,22.85,6.57,7.21,,6694,-593,-71
14:31:22,90614BC-0x5A,22.81,6.61,7.67,,6693,-590,-69
14:31:23,90614BC-0x5A,22.77,6.47,7.73,,6692,-593,-69
14:31:24,90614BC-0x5A,22.79,6.55,7.65,,6692,-591,-69
14:31:25,90614BC-0x5A,22.81,6.51,7.41,,6692,-594,-70
14:31:26,90614BC-0x5A,22.75,6.39,7.77,,6692,-591,-69
14:31:27,90614BC-0x5A,22.79,6.51,7.63,,6692,-594,-69
14:31:28,90614BC-0x5A,22.81,6.53,7.23,,6693,-593,-71
14:31:29,90614BC-0x5A,22.81,6.53,7.67,,6693,-593,-71
14:31:30,90614BC-0x5A,22.77,6.61,7.29,,6692,-591,-71
