14:32:08,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'D871,'D33F,'C9F6,'C323,'BAC3,'8600,'4B75,'2032,'BE5A,'0733,'F030,'8E13,'53E3,'8006,'001D,'1D27,'00C1,'34F9,'0010,'0000,'1D49,'8011,'C405,'E59E,'5003,'E140
14:32:08,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:32:08,90614BC-0x5A,23.05,6.67,-12.91,,6691,-709,-135
14:32:09,90614BC-0x5A,23.05,6.75,-9.57,,6691,-697,-125
14:32:10,90614BC-0x5A,22.99,6.75,-6.77,,6689,-687,-116
14:32:11,90614BC-0x5A,23.01,6.75,-4.79,,6690,-681,-110
14:32:12,90614BC-0x5A,22.95,6.65,-2.59,,6688,-676,-102
14:32:13,90614BC-0x5A,22.95,6.83,-1.27,,6688,-664,-97
14:32:14,90614BC-0x5A,22.97,6.79,-0.23,,6689,-664,-94
14:32:15,90614BC-0x5A,22.95,6.71,1.69,,6688,-660,-86
14:32:16,90614BC-0x5A,22.95,6.73,2.37,,6688,-656,-84
14:32:17,90614BC-0x5A,22.95,6.73,3.43,,6688,-654,-80
14:32:18,90614BC-0x5A,22.91,6.67,3.71,,6687,-652,-79
14:32:19,90614BC-0x5A,22.89,6.75,4.39,,6687,-647,-76
14:32:20,90614BC-0x5A,22.75,6.59,4.21,,6683,-647,-78
14:32:21,90614BC-0x5A,22.97,6.73,5.25,,6689,-648,-74
14:32:22,90614BC-0x5A,22.93,6.73,5.17,,6688,-647,-74
14:32:23,90614BC-0x5A,22.97,6.77,5.67,,6689,-646,-72
14:32:24,90614BC-0x5A,22.89,6.75,5.43,,6687,-645,-73
14:32:25,90614BC-0x5A,22.93,6.75,5.13,,6688,-645,-75
14:32:26,90614BC-0x5A,22.89,6.67,5.33,,6687,-644,-74
14:32:27,90614BC-0x5A,22.93,6.87,5.41,,6688,-642,-74
14:32:28,90614BC-0x5A,22.89,6.75,5.89,,6687,-641,-71
14:32:29,90614BC-0x5A,22.89,6.77,6.05,,6687,-642,-70
14:32:30,90614BC-0x5A,22.93,6.73,5.89,,6687,-642,-71
14:32:31,90614BC-0x5A,22.89,6.75,6.17,,6687,-642,-70
14:32:32,90614BC-0x5A,22.91,6.75,6.31,,6688,-640,-70
14:32:33,90614BC-0x5A,22.95,6.67,6.13,,6688,-645,-69
14:32:34,90614BC-0x5A,22.87,6.67,6.27,,6687,-643,-69
14:32:35,90614BC-0x5A,22.91,6.71,6.75,,6688,-645,-68
14:32:36,90614BC-0x5A,22.89,6.75,6.25,,6688,-642,-70
14:32:37,90614BC-0x5A,22.89,6.75,6.11,,6687,-641,-70
14:32:38,90614BC-0x5A,22.87,6.71,6.43,,6687,-640,-69
14:32:39,90614BC-0x5A,22.93,6.85,5.75,,6688,-641,-73
14:32:40,90614BC-0x5A,22.91,6.69,6.17,,6688,-641,-71
14:32:41,90614BC-0x5A,22.89,6.69,6.31,,6687,-643,-70
14:32:42,90614BC-0x5A,22.95,6.75,5.97,,6689,-641,-71
14:32:43,90614BC-0x5A,22.95,6.73,6.63,,6689,-643,-68
14:32:44,90614BC-0x5A,22.91,6.71,6.47,,6687,-642,-69
14:32:45,90614BC-0x5A,22.91,6.75,6.09,,6688,-641,-70
14:32:46,90614BC-0x5A,22.87,6.77,6.03,,6687,-641,-71
14:32:47,90614BC-0x5A,22.91,6.71,6.87,,6688,-641,-67
14:32:48,90614BC-0x5A,22.87,6.73,6.29,,6687,-641,-70
14:32:49,90614BC-0x5A,22.93,6.77,6.15,,6688,-641,-70
14:32:50,90614BC-0x5A,22.89,6.65,6.97,,6687,-643,-67
14:32:51,90614BC-0x5A,22.95,6.79,5.99,,6689,-641,-71
14:32:52,90614BC-0x5A,22.89,6.71,6.41,,6687,-642,-70
14:32:53,90614BC-0x5A,22.93,6.63,6.25,,6688,-643,-70
14:32:54,90614BC-0x5A,22.89,6.73,6.53,,6687,-638,-69
14:32:55,90614BC-0x5A,22.91,6.69,7.07,,6687,-640,-67
14:32:56,90614BC-0x5A,22.93,6.77,6.55,,6688,-640,-68
14:32:57,90614BC-0x5A,22.97,6.81,6.53,,6689,-640,-69
14:32:58,90614BC-0x5A,22.91,6.69,7.17,,6688,-642,-66
14:32:59,90614BC-0x5A,22.97,6.79,6.39,,6689,-642,-70
14:33:00,90614BC-0x5A,22.89,6.65,6.73,,6687,-642,-68
14:33:01,90614BC-0x5A,22.89,6.79,6.09,,6687,-638,-71
14:33:02,90614BC-0x5A,22.91,6.79,6.23,,6688,-641,-70
14:33:03,90614BC-0x5A,22.89,6.71,6.53,,6687,-640,-69
14:33:04,90614BC-0x5A,22.87,6.73,6.59,,6687,-639,-68
14:33:05,90614BC-0x5A,22.87,6.69,7.03,,6687,-639,-67
14:33:06,90614BC-0x5A,22.93,6.75,6.31,,6688,-639,-70
14:33:07,90614BC-0x5A,22.91,6.75,7.03,,6688,-639,-67
14:33:08,90614BC-0x5A,22.95,6.77,6.31,,6688,-639,-70
14:33:09,90614BC-0x5A,22.91,6.73,6.91,,6687,-640,-67
14:33:10,90614BC-0x5A,22.93,6.67,7.27,,6688,-638,-66
14:33:11,90614BC-0x5A,22.87,6.75,6.73,,6687,-637,-68
