1-min averaged MLX90614 IR data
"type","id","Ta","To","T"
"bcf",1,23.84,24.59,24.614
"bcf",2,23.69,24.68,24.6133
"bcf",3,23.55,24.58,24.6134
"bcf",4,23.44,24.74,24.6127
"bcf",5,23.52,24.72,24.6146
"bcf",6,23.69,24.67,24.613
"bcf",7,23.67,24.62,24.6131
"bcf",8,23.59,24.6,24.6135
"bcf",9,23.71,24.8,24.6132
"dch",1,22.79,24.76,24.6136
"dch",2,22.95,24.69,24.6123
"dch",3,22.93,24.71,24.6128
"dch",4,22.96,24.63,24.6123
"dch",5,22.98,24.61,24.614
"dch",6,23.04,24.65,24.6116
"dch",7,23.09,24.67,24.6137
"dch",8,23.13,24.65,24.6124
"dch",9,23.05,24.62,24.6128
"dci",1,22.08,24.76,24.6131
"dci",2,22.56,24.94,24.6129
"dci",3,22.37,24.76,24.6135
"dci",4,22.51,24.69,24.6137
"dci",5,22.52,24.79,24.6128
"dci",6,22.58,24.73,24.6124
"dci",7,22.55,24.81,24.6131
"dci",8,22.57,24.82,24.6116
"dci",9,22.59,24.79,24.6131
