"t","type","id","Ta","To","T"
14:16:32,"bcf","05",23.49,24.63,24.615215
14:16:34,"bcf","05",23.49,24.65,24.61524
14:16:36,"bcf","05",23.53,24.67,24.615259
14:16:38,"bcf","05",23.53,24.75,24.615269
14:16:40,"bcf","05",23.51,24.69,24.615273
14:16:42,"bcf","05",23.53,24.71,24.615279
14:16:44,"bcf","05",23.53,24.67,24.615274
14:16:46,"bcf","05",23.53,24.59,24.615253
14:16:48,"bcf","05",23.51,24.67,24.615228
14:16:50,"bcf","05",23.51,24.69,24.615201
14:16:52,"bcf","05",23.51,24.87,24.615158
14:16:54,"bcf","05",23.51,24.81,24.615111
14:16:56,"bcf","05",23.51,24.79,24.615066
14:16:58,"bcf","05",23.55,24.85,24.615014
14:17:00,"bcf","05",23.51,24.53,24.614958
14:17:02,"bcf","05",23.51,24.93,24.614892
14:17:04,"bcf","05",23.51,24.71,24.614826
14:17:06,"bcf","05",23.51,24.69,24.614747
14:17:08,"bcf","05",23.51,24.65,24.614675
14:17:10,"bcf","05",23.51,24.69,24.614603
14:17:12,"bcf","05",23.51,24.57,24.614535
14:17:14,"bcf","05",23.53,24.87,24.614453
14:17:16,"bcf","05",23.53,24.73,24.614368
14:17:18,"bcf","05",23.53,24.79,24.614282
14:17:20,"bcf","05",23.55,24.59,24.614196
14:17:22,"bcf","05",23.53,24.69,24.614115
14:17:24,"bcf","05",23.51,24.59,24.614032
14:17:26,"bcf","05",23.55,24.93,24.613952
14:17:28,"bcf","05",23.53,24.83,24.613866
14:17:30,"bcf","05",23.55,24.61,24.613783
14:17:32,"bcf","05",23.55,24.61,24.613702
14:17:34,"bcf","05",23.55,24.79,24.613631
14:17:36,"bcf","05",23.55,24.75,24.613562
14:17:38,"bcf","05",23.53,24.67,24.613491
14:17:40,"bcf","05",23.55,24.79,24.613434
