"t","type","id","Ta","To","T"
14:49:02,"dch","02",22.81,24.67,24.611959
14:49:04,"dch","02",22.81,24.69,24.61193
14:49:06,"dch","02",22.81,24.67,24.61191
14:49:08,"dch","02",22.85,24.69,24.61189
14:49:10,"dch","02",22.87,24.67,24.611881
14:49:12,"dch","02",22.81,24.71,24.611873
14:49:14,"dch","02",22.85,24.67,24.61188
14:49:16,"dch","02",22.87,24.67,24.611886
14:49:18,"dch","02",22.87,24.63,24.611902
14:49:20,"dch","02",22.89,24.69,24.611919
14:49:22,"dch","02",22.89,24.65,24.611932
14:49:24,"dch","02",22.93,24.73,24.611962
14:49:26,"dch","02",22.93,24.61,24.611993
14:49:28,"dch","02",22.95,24.69,24.612031
14:49:30,"dch","02",22.95,24.69,24.612075
14:49:32,"dch","02",22.97,24.73,24.612126
14:49:34,"dch","02",22.99,24.67,24.612173
14:49:36,"dch","02",23.01,24.69,24.612224
14:49:38,"dch","02",23.01,24.67,24.61228
14:49:40,"dch","02",23.01,24.67,24.612337
14:49:42,"dch","02",23.05,24.71,24.612403
14:49:46,"dch","02",23.05,24.73,24.612546
14:49:48,"dch","02",23.01,24.69,24.612615
14:49:50,"dch","02",23.01,24.67,24.612686
14:49:54,"dch","02",23.07,24.75,24.612843
14:49:56,"dch","02",23.01,24.67,24.612922
14:49:58,"dch","02",23.03,24.73,24.613004
14:50:00,"dch","02",23.07,24.71,24.613081
14:50:02,"dch","02",23.07,24.69,24.613161
14:50:04,"dch","02",23.07,24.73,24.613234
14:50:06,"dch","02",23.07,24.77,24.613304
