"t","type","id","Ta","To","T"
14:31:54,"dci","03",22.31,24.77,24.613738
14:31:56,"dci","03",22.35,24.75,24.613686
14:31:58,"dci","03",22.33,24.73,24.613637
14:32:00,"dci","03",22.33,24.77,24.613592
14:32:02,"dci","03",22.35,24.75,24.613551
14:32:04,"dci","03",22.37,24.73,24.613508
14:32:06,"dci","03",22.37,24.73,24.613471
14:32:08,"dci","03",22.37,24.79,24.613438
14:32:10,"dci","03",22.35,24.79,24.613406
14:32:12,"dci","03",22.37,24.73,24.613376
14:32:14,"dci","03",22.33,24.67,24.613353
14:32:16,"dci","03",22.35,24.75,24.613335
14:32:18,"dci","03",22.37,24.79,24.613325
14:32:20,"dci","03",22.37,24.77,24.613313
14:32:22,"dci","03",22.39,24.83,24.613312
14:32:24,"dci","03",22.37,24.81,24.613308
14:32:26,"dci","03",22.37,24.77,24.613311
14:32:28,"dci","03",22.37,24.77,24.61332
14:32:30,"dci","03",22.39,24.81,24.613338
14:32:32,"dci","03",22.35,24.75,24.613374
14:32:34,"dci","03",22.41,24.81,24.613394
14:32:36,"dci","03",22.37,24.69,24.613425
14:32:38,"dci","03",22.37,24.73,24.613462
14:32:40,"dci","03",22.37,24.75,24.613515
14:32:42,"dci","03",22.39,24.73,24.613567
14:32:44,"dci","03",22.37,24.71,24.613612
14:32:46,"dci","03",22.39,24.77,24.613663
14:32:48,"dci","03",22.41,24.83,24.613723
14:32:50,"dci","03",22.41,24.73,24.613786
14:32:52,"dci","03",22.39,24.75,24.613852
14:32:54,"dci","03",22.37,24.75,24.613927
