14:04:28,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'ADEA,'ADEA,'B10C,'BA3D,'E530,'0000,'5C32,'209F,'BE5A,'0733,'AC2A,'7DD3,'53E3,'8041,'8048,'1D0C,'00C1,'34E6,'0019,'0000,'1C48,'8011,'680F,'F387,'8387,'E144
14:04:28,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:04:28,90614BC-0x5A,23.81,24.61,21.73,,6699,8,-3
14:04:29,90614BC-0x5A,23.83,24.65,21.99,,6699,9,-3
14:04:30,90614BC-0x5A,23.81,24.57,23.59,,6700,7,1
14:04:31,90614BC-0x5A,23.83,24.65,22.55,,6700,7,-1
14:04:32,90614BC-0x5A,23.83,24.73,22.15,,6699,10,-1
14:04:33,90614BC-0x5A,23.81,24.63,22.87,,6699,9,-1
14:04:34,90614BC-0x5A,23.81,24.55,24.79,,6699,7,3
14:04:35,90614BC-0x5A,23.83,24.57,22.11,,6700,8,-2
14:04:36,90614BC-0x5A,23.83,24.55,22.41,,6699,7,-2
14:04:37,90614BC-0x5A,23.83,24.61,22.01,,6699,9,-3
14:04:38,90614BC-0x5A,23.85,24.57,22.31,,6700,7,-1
14:04:39,90614BC-0x5A,23.83,24.61,21.09,,6700,8,-5
14:04:40,90614BC-0x5A,23.81,24.69,21.71,,6699,10,-2
14:04:41,90614BC-0x5A,23.83,24.55,21.87,,6700,4,-2
14:04:42,90614BC-0x5A,23.83,24.63,21.75,,6699,8,-1
14:04:43,90614BC-0x5A,23.85,24.65,22.89,,6700,8,-2
14:04:44,90614BC-0x5A,23.83,24.55,22.73,,6699,6,-1
14:04:45,90614BC-0x5A,23.83,24.73,22.09,,6699,8,-3
14:04:46,90614BC-0x5A,23.85,24.65,23.69,,6700,10,0
14:04:47,90614BC-0x5A,23.85,24.61,22.89,,6700,9,-1
14:04:48,90614BC-0x5A,23.85,24.67,20.87,,6700,7,-4
14:04:49,90614BC-0x5A,23.87,24.61,22.23,,6700,9,-3
14:04:50,90614BC-0x5A,23.87,24.63,22.37,,6700,8,-1
14:04:51,90614BC-0x5A,23.83,24.49,22.21,,6699,4,-2
14:04:52,90614BC-0x5A,23.81,24.61,22.01,,6698,9,-3
14:04:53,90614BC-0x5A,23.81,24.65,22.61,,6699,10,-1
14:04:54,90614BC-0x5A,23.87,24.69,24.23,,6700,10,2
14:04:55,90614BC-0x5A,23.81,24.57,22.69,,6699,8,-1
14:04:56,90614BC-0x5A,23.85,24.51,23.19,,6700,7,0
14:04:57,90614BC-0x5A,23.85,24.69,21.91,,6699,9,-3
14:04:58,90614BC-0x5A,23.85,24.49,22.21,,6699,7,-3
14:04:59,90614BC-0x5A,23.81,24.53,22.73,,6699,6,-1
14:05:00,90614BC-0x5A,23.83,24.47,21.59,,6699,4,-2
14:05:01,90614BC-0x5A,23.83,24.81,21.95,,6699,10,-1
14:05:02,90614BC-0x5A,23.85,24.65,21.81,,6700,8,-2
14:05:03,90614BC-0x5A,23.83,24.67,20.85,,6700,7,-3
14:05:04,90614BC-0x5A,23.83,24.57,20.89,,6699,8,-4
14:05:05,90614BC-0x5A,23.81,24.45,23.27,,6699,5,0
14:05:06,90614BC-0x5A,23.85,24.35,22.87,,6700,5,-1
14:05:07,90614BC-0x5A,23.81,24.69,21.07,,6699,9,-4
14:05:08,90614BC-0x5A,23.85,24.69,22.21,,6700,8,-2
14:05:09,90614BC-0x5A,23.83,24.59,21.61,,6699,8,-2
14:05:10,90614BC-0x5A,23.85,24.61,21.81,,6700,7,-2
14:05:11,90614BC-0x5A,23.85,24.71,21.95,,6700,9,-2
14:05:12,90614BC-0x5A,23.81,24.59,21.85,,6699,7,-3
14:05:13,90614BC-0x5A,23.85,24.71,22.13,,6700,9,-1
14:05:14,90614BC-0x5A,23.87,24.47,22.79,,6700,5,-1
14:05:15,90614BC-0x5A,23.81,24.65,22.59,,6699,10,-1
14:05:16,90614BC-0x5A,23.87,24.61,21.27,,6701,5,-2
14:05:17,90614BC-0x5A,23.83,24.69,21.39,,6699,7,-3
14:05:18,90614BC-0x5A,23.85,24.57,21.71,,6700,4,-2
14:05:19,90614BC-0x5A,23.85,24.61,21.77,,6700,7,-2
14:05:20,90614BC-0x5A,23.83,24.45,22.53,,6699,8,-3
14:05:21,90614BC-0x5A,23.81,24.77,22.01,,6699,9,-1
14:05:22,90614BC-0x5A,23.83,24.67,21.33,,6699,8,-3
14:05:23,90614BC-0x5A,23.85,24.65,21.95,,6700,7,-2
14:05:24,90614BC-0x5A,23.87,24.67,22.97,,6700,8,-1
14:05:25,90614BC-0x5A,23.83,24.55,22.31,,6699,6,-2
14:05:26,90614BC-0x5A,23.83,24.69,22.73,,6699,10,-1
14:05:27,90614BC-0x5A,23.83,24.59,21.99,,6699,7,-2
14:05:28,90614BC-0x5A,23.85,24.63,21.49,,6700,6,-3
14:05:29,90614BC-0x5A,23.83,24.67,21.59,,6699,9,-2
14:05:30,90614BC-0x5A,23.83,24.79,21.49,,6699,10,-3
14:05:31,90614BC-0x5A,23.81,24.49,22.99,,6699,9,-1
14:05:32,90614BC-0x5A,23.83,24.63,21.99,,6699,9,-2
14:05:34,90614BC-0x5A,23.81,24.63,21.81,,6699,8,-1
14:05:34,90614BC-0x5A,23.87,24.57,22.87,,6700,6,1
14:05:36,90614BC-0x5A,23.85,24.57,22.43,,6700,6,-1
14:05:37,90614BC-0x5A,23.85,24.51,22.39,,6700,7,-3
14:05:38,90614BC-0x5A,23.87,24.49,23.89,,6700,7,0
14:05:39,90614BC-0x5A,23.85,24.57,22.75,,6700,7,-2
14:05:40,90614BC-0x5A,23.83,24.63,21.89,,6699,7,-2
14:05:41,90614BC-0x5A,23.83,24.65,22.69,,6699,8,-1
14:05:42,90614BC-0x5A,23.87,24.49,21.93,,6700,6,0
