14:07:33,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'A51E,'A51E,'A817,'B0D2,'D999,'0000,'5C32,'209F,'BE5A,'0733,'A56C,'7DD3,'53E3,'8042,'8047,'1D1A,'00C2,'351D,'0014,'0000,'1D47,'8011,'4C15,'F06C,'7107,'E186
14:07:33,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:07:33,90614BC-0x5A,23.67,24.59,26.31,,6723,13,3
14:07:34,90614BC-0x5A,23.69,24.71,23.93,,6723,14,0
14:07:35,90614BC-0x5A,23.67,24.61,25.57,,6723,13,2
14:07:36,90614BC-0x5A,23.69,24.75,23.95,,6723,14,0
14:07:37,90614BC-0x5A,23.69,24.71,23.41,,6724,14,-1
14:07:38,90614BC-0x5A,23.67,24.57,24.63,,6723,12,2
14:07:39,90614BC-0x5A,23.69,24.63,23.89,,6723,10,1
14:07:40,90614BC-0x5A,23.69,24.71,23.35,,6724,12,0
14:07:41,90614BC-0x5A,23.67,24.69,23.95,,6723,14,0
14:07:42,90614BC-0x5A,23.67,24.83,23.31,,6723,16,0
14:07:43,90614BC-0x5A,23.69,24.79,22.73,,6723,13,-2
14:07:44,90614BC-0x5A,23.67,24.67,24.01,,6723,12,1
14:07:45,90614BC-0x5A,23.69,24.57,24.95,,6724,12,1
14:07:46,90614BC-0x5A,23.69,24.87,22.85,,6724,14,0
14:07:47,90614BC-0x5A,23.69,24.69,23.11,,6724,13,-1
14:07:48,90614BC-0x5A,23.67,24.53,23.07,,6723,10,-2
14:07:49,90614BC-0x5A,23.69,24.63,24.61,,6723,14,2
14:07:50,90614BC-0x5A,23.67,24.71,22.89,,6723,11,-1
14:07:51,90614BC-0x5A,23.69,24.63,23.35,,6723,12,0
14:07:52,90614BC-0x5A,23.67,24.79,23.61,,6723,15,0
14:07:53,90614BC-0x5A,23.69,24.61,24.93,,6723,13,2
14:07:54,90614BC-0x5A,23.69,24.63,23.87,,6723,11,0
14:07:55,90614BC-0x5A,23.69,24.63,24.05,,6723,11,1
14:07:56,90614BC-0x5A,23.69,24.65,25.09,,6724,13,2
14:07:57,90614BC-0x5A,23.69,24.71,24.19,,6723,13,0
14:07:58,90614BC-0x5A,23.69,24.67,24.09,,6723,13,0
14:07:59,90614BC-0x5A,23.69,24.59,24.03,,6723,12,0
14:08:00,90614BC-0x5A,23.69,24.59,23.69,,6723,11,0
14:08:01,90614BC-0x5A,23.69,24.75,23.73,,6724,12,1
14:08:02,90614BC-0x5A,23.69,24.69,23.35,,6724,13,-1
14:08:03,90614BC-0x5A,23.69,24.75,23.95,,6724,13,1
14:08:04,90614BC-0x5A,23.69,24.71,23.51,,6723,12,0
14:08:05,90614BC-0x5A,23.69,24.71,23.97,,6724,13,0
14:08:06,90614BC-0x5A,23.67,24.67,24.87,,6722,14,2
14:08:07,90614BC-0x5A,23.69,24.81,23.31,,6723,16,-1
14:08:08,90614BC-0x5A,23.71,24.67,23.73,,6724,13,0
14:08:09,90614BC-0x5A,23.69,24.63,24.25,,6723,11,1
14:08:10,90614BC-0x5A,23.69,24.73,24.23,,6723,12,1
14:08:11,90614BC-0x5A,23.71,24.59,24.11,,6724,12,0
14:08:12,90614BC-0x5A,23.69,24.79,22.81,,6723,13,-1
14:08:13,90614BC-0x5A,23.67,24.67,24.11,,6724,15,0
14:08:14,90614BC-0x5A,23.67,24.65,24.21,,6723,11,1
14:08:15,90614BC-0x5A,23.69,24.73,24.49,,6723,12,2
14:08:16,90614BC-0x5A,23.69,24.65,23.49,,6723,10,0
14:08:17,90614BC-0x5A,23.69,24.55,24.15,,6723,12,0
14:08:18,90614BC-0x5A,23.67,24.69,24.13,,6723,12,1
14:08:19,90614BC-0x5A,23.71,24.47,25.23,,6724,10,2
14:08:20,90614BC-0x5A,23.69,24.59,23.81,,6723,11,0
14:08:21,90614BC-0x5A,23.69,24.41,24.75,,6723,11,0
14:08:22,90614BC-0x5A,23.69,24.71,23.69,,6724,13,0
14:08:23,90614BC-0x5A,23.69,24.75,24.47,,6724,13,2
14:08:24,90614BC-0x5A,23.69,24.61,24.03,,6723,14,-1
14:08:25,90614BC-0x5A,23.69,24.77,22.31,,6723,13,-2
14:08:26,90614BC-0x5A,23.69,24.63,23.67,,6723,12,0
14:08:27,90614BC-0x5A,23.69,24.59,25.49,,6724,11,3
14:08:28,90614BC-0x5A,23.71,24.63,24.65,,6723,13,0
14:08:29,90614BC-0x5A,23.69,24.73,23.29,,6723,15,-1
14:08:30,90614BC-0x5A,23.71,24.59,24.23,,6724,13,0
14:08:31,90614BC-0x5A,23.69,24.61,24.11,,6723,13,0
14:08:32,90614BC-0x5A,23.67,24.69,24.15,,6723,12,1
14:08:33,90614BC-0x5A,23.71,24.61,25.23,,6724,12,2
14:08:34,90614BC-0x5A,23.69,24.71,24.03,,6724,14,0
14:08:35,90614BC-0x5A,23.69,24.53,24.33,,6723,11,1
14:08:36,90614BC-0x5A,23.69,24.71,23.13,,6724,13,-2
14:08:37,90614BC-0x5A,23.69,24.61,23.03,,6724,10,-2
14:08:38,90614BC-0x5A,23.69,24.59,23.67,,6724,11,0
14:08:39,90614BC-0x5A,23.69,24.71,24.91,,6723,12,2
