14:10:35,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'A2E2,'A2E2,'A5D0,'AE6D,'D6A6,'0000,'5C32,'209F,'BE5A,'0733,'89AF,'7DD3,'53E3,'803E,'803F,'1D17,'00C1,'34FC,'0010,'0000,'1D48,'8011,'E80D,'F398,'8387,'E144
14:10:35,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:10:35,90614BC-0x5A,23.51,24.61,31.25,,6703,22,7
14:10:36,90614BC-0x5A,23.53,24.79,28.43,,6704,21,4
14:10:37,90614BC-0x5A,23.51,24.57,27.95,,6703,18,2
14:10:38,90614BC-0x5A,23.51,24.83,26.77,,6703,20,3
14:10:39,90614BC-0x5A,23.55,24.57,27.25,,6704,19,1
14:10:41,90614BC-0x5A,23.55,24.75,26.17,,6704,17,3
14:10:42,90614BC-0x5A,23.53,24.55,26.35,,6704,15,2
14:10:42,90614BC-0x5A,23.53,24.65,26.53,,6703,17,3
14:10:44,90614BC-0x5A,23.53,24.61,24.63,,6703,15,0
14:10:45,90614BC-0x5A,23.53,24.57,24.91,,6704,17,0
14:10:46,90614BC-0x5A,23.53,24.65,26.91,,6703,17,4
14:10:47,90614BC-0x5A,23.53,24.61,24.43,,6703,15,1
14:10:48,90614BC-0x5A,23.53,24.65,23.81,,6703,16,0
14:10:49,90614BC-0x5A,23.53,24.51,24.33,,6704,13,1
14:10:50,90614BC-0x5A,23.51,24.51,24.93,,6703,13,1
14:10:51,90614BC-0x5A,23.53,24.47,25.11,,6704,13,1
14:10:52,90614BC-0x5A,23.55,24.51,23.51,,6704,14,-1
14:10:53,90614BC-0x5A,23.57,24.69,23.53,,6703,14,1
14:10:54,90614BC-0x5A,23.53,24.53,23.37,,6703,11,0
14:10:55,90614BC-0x5A,23.53,24.43,25.93,,6704,13,2
14:10:56,90614BC-0x5A,23.55,24.45,24.01,,6704,12,0
14:10:57,90614BC-0x5A,23.55,24.65,24.85,,6704,17,1
14:10:58,90614BC-0x5A,23.53,24.47,24.69,,6703,12,1
14:10:59,90614BC-0x5A,23.53,24.53,24.37,,6704,13,1
14:11:00,90614BC-0x5A,23.55,24.57,22.89,,6704,13,0
14:11:01,90614BC-0x5A,23.57,24.61,23.63,,6705,14,-1
14:11:02,90614BC-0x5A,23.55,24.67,22.45,,6704,13,-1
14:11:03,90614BC-0x5A,23.53,24.39,23.35,,6704,12,-2
14:11:04,90614BC-0x5A,23.55,24.55,23.25,,6704,14,-1
14:11:05,90614BC-0x5A,23.55,24.55,22.55,,6704,12,-1
14:11:06,90614BC-0x5A,23.55,24.73,23.07,,6704,15,0
14:11:07,90614BC-0x5A,23.55,24.55,24.07,,6704,13,1
14:11:08,90614BC-0x5A,23.55,24.51,23.25,,6704,12,-1
14:11:09,90614BC-0x5A,23.55,24.61,22.99,,6704,12,0
14:11:10,90614BC-0x5A,23.55,24.47,23.49,,6704,11,-1
14:11:11,90614BC-0x5A,23.55,24.65,23.59,,6704,15,0
14:11:12,90614BC-0x5A,23.55,24.59,23.43,,6704,13,0
14:11:13,90614BC-0x5A,23.55,24.47,22.95,,6704,11,0
14:11:14,90614BC-0x5A,23.55,24.63,24.73,,6704,13,2
14:11:15,90614BC-0x5A,23.57,24.55,23.75,,6704,11,0
14:11:16,90614BC-0x5A,23.55,24.41,24.63,,6704,13,1
14:11:17,90614BC-0x5A,23.57,24.61,23.57,,6704,13,0
14:11:18,90614BC-0x5A,23.53,24.69,22.75,,6704,13,0
14:11:19,90614BC-0x5A,23.55,24.61,22.13,,6704,11,-1
14:11:20,90614BC-0x5A,23.57,24.51,23.57,,6704,12,0
14:11:21,90614BC-0x5A,23.55,24.45,24.71,,6704,12,1
14:11:22,90614BC-0x5A,23.57,24.47,22.69,,6705,12,-2
14:11:23,90614BC-0x5A,23.55,24.47,23.63,,6704,12,0
14:11:24,90614BC-0x5A,23.55,24.67,22.23,,6704,12,-1
14:11:25,90614BC-0x5A,23.55,24.55,21.41,,6704,12,-4
14:11:26,90614BC-0x5A,23.57,24.43,24.15,,6704,10,1
14:11:27,90614BC-0x5A,23.57,24.59,22.77,,6704,14,-1
14:11:28,90614BC-0x5A,23.55,24.65,24.03,,6704,12,2
14:11:29,90614BC-0x5A,23.57,24.49,24.03,,6704,12,0
14:11:30,90614BC-0x5A,23.55,24.61,22.09,,6704,12,-1
14:11:31,90614BC-0x5A,23.59,24.43,24.53,,6705,11,1
14:11:32,90614BC-0x5A,23.57,24.53,24.11,,6704,14,0
14:11:33,90614BC-0x5A,23.59,24.53,23.27,,6704,13,-1
14:11:34,90614BC-0x5A,23.55,24.67,23.07,,6704,12,0
14:11:35,90614BC-0x5A,23.57,24.59,23.11,,6704,11,0
14:11:36,90614BC-0x5A,23.57,24.59,24.33,,6704,13,1
14:11:37,90614BC-0x5A,23.59,24.45,24.03,,6705,10,0
14:11:38,90614BC-0x5A,23.55,24.51,23.19,,6704,11,-1
14:11:39,90614BC-0x5A,23.57,24.47,23.11,,6704,11,0
14:11:40,90614BC-0x5A,23.59,24.53,22.45,,6705,13,-2
