14:14:13,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'BE33,'BE33,'C1A0,'CBAE,'FAA6,'0000,'5C32,'209F,'BE5A,'0733,'BE37,'7DD3,'53E3,'803D,'8043,'1D17,'00C1,'3501,'0017,'0000,'1E46,'8011,'7410,'F373,'8387,'E144
14:14:13,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:14:13,90614BC-0x5A,23.39,24.85,23.07,,6702,15,-1
14:14:14,90614BC-0x5A,23.39,24.63,23.93,,6703,14,1
14:14:15,90614BC-0x5A,23.39,24.65,23.69,,6702,15,0
14:14:16,90614BC-0x5A,23.39,24.63,23.49,,6702,13,0
14:14:17,90614BC-0x5A,23.41,24.65,22.67,,6703,13,-1
14:14:18,90614BC-0x5A,23.41,24.75,22.11,,6703,13,-1
14:14:19,90614BC-0x5A,23.41,24.63,24.61,,6703,12,-2
14:14:20,90614BC-0x5A,23.41,24.85,21.71,,6703,15,-2
14:14:21,90614BC-0x5A,23.39,24.69,22.69,,6702,13,-1
14:14:22,90614BC-0x5A,23.43,24.75,22.03,,6704,13,-2
14:14:23,90614BC-0x5A,23.39,24.69,23.13,,6702,13,0
14:14:24,90614BC-0x5A,23.39,24.73,23.69,,6702,12,2
14:14:25,90614BC-0x5A,23.41,24.77,22.01,,6703,14,0
14:14:26,90614BC-0x5A,23.39,24.75,21.31,,6702,14,-3
14:14:27,90614BC-0x5A,23.41,24.65,22.77,,6703,14,1
14:14:28,90614BC-0x5A,23.39,24.55,22.33,,6702,13,-2
14:14:29,90614BC-0x5A,23.41,24.71,22.47,,6703,12,0
14:14:30,90614BC-0x5A,23.41,24.71,22.39,,6703,13,-1
14:14:31,90614BC-0x5A,23.41,24.67,22.21,,6703,12,0
14:14:32,90614BC-0x5A,23.41,24.73,21.99,,6703,10,-2
14:14:33,90614BC-0x5A,23.43,24.89,23.09,,6703,16,1
14:14:34,90614BC-0x5A,23.43,24.71,21.81,,6703,13,-1
14:14:35,90614BC-0x5A,23.43,24.73,22.31,,6703,15,0
14:14:36,90614BC-0x5A,23.41,24.85,20.39,,6703,13,-3
14:14:37,90614BC-0x5A,23.45,24.85,20.17,,6704,14,-5
14:14:38,90614BC-0x5A,23.43,24.83,20.67,,6703,13,-3
14:14:39,90614BC-0x5A,23.45,24.65,22.17,,6704,13,-2
14:14:40,90614BC-0x5A,23.43,24.83,20.47,,6703,13,-2
14:14:41,90614BC-0x5A,23.43,24.77,21.83,,6704,13,-2
14:14:42,90614BC-0x5A,23.45,24.67,22.75,,6704,12,0
14:14:43,90614BC-0x5A,23.45,24.99,22.15,,6704,15,1
14:14:44,90614BC-0x5A,23.47,24.75,22.27,,6704,11,0
14:14:45,90614BC-0x5A,23.45,24.89,21.45,,6704,14,-1
14:14:46,90614BC-0x5A,23.47,24.77,20.83,,6704,13,-3
14:14:47,90614BC-0x5A,23.47,24.85,20.59,,6705,13,-3
14:14:48,90614BC-0x5A,23.47,24.81,22.09,,6705,15,-1
14:14:49,90614BC-0x5A,23.49,24.73,21.59,,6706,12,-2
14:14:50,90614BC-0x5A,23.49,24.71,21.51,,6705,12,-2
14:14:51,90614BC-0x5A,23.49,24.75,21.59,,6705,12,-1
14:14:52,90614BC-0x5A,23.47,24.71,21.21,,6705,11,-2
14:14:53,90614BC-0x5A,23.49,24.77,19.41,,6705,12,-5
14:14:54,90614BC-0x5A,23.49,24.89,20.21,,6705,14,-3
14:14:55,90614BC-0x5A,23.43,24.71,21.85,,6703,10,-1
14:14:56,90614BC-0x5A,23.43,24.61,21.13,,6704,11,-4
14:14:57,90614BC-0x5A,23.49,24.75,21.83,,6705,12,-1
14:14:58,90614BC-0x5A,23.47,24.97,18.95,,6704,12,-4
14:14:59,90614BC-0x5A,23.47,24.83,19.05,,6705,10,-5
14:15:01,90614BC-0x5A,23.45,24.75,20.99,,6703,12,-2
14:15:01,90614BC-0x5A,23.45,24.65,21.37,,6704,11,-2
14:15:02,90614BC-0x5A,23.45,24.81,20.39,,6704,13,-3
14:15:03,90614BC-0x5A,23.45,24.73,18.97,,6704,10,-6
14:15:05,90614BC-0x5A,23.45,24.83,21.31,,6704,10,0
14:15:05,90614BC-0x5A,23.47,24.81,19.91,,6705,12,-3
14:15:07,90614BC-0x5A,23.49,24.67,20.43,,6705,10,-3
14:15:08,90614BC-0x5A,23.47,24.69,19.73,,6704,8,-4
14:15:08,90614BC-0x5A,23.45,24.77,19.83,,6704,12,-5
14:15:10,90614BC-0x5A,23.45,24.61,21.01,,6704,11,-3
14:15:11,90614BC-0x5A,23.47,24.81,20.81,,6704,11,-2
14:15:12,90614BC-0x5A,23.45,24.69,20.91,,6704,11,-2
14:15:13,90614BC-0x5A,23.43,24.67,21.05,,6703,11,-2
14:15:14,90614BC-0x5A,23.45,24.69,20.45,,6704,12,-4
14:15:15,90614BC-0x5A,23.43,24.69,20.03,,6703,12,-5
14:15:16,90614BC-0x5A,23.43,24.73,18.73,,6704,9,-5
14:15:17,90614BC-0x5A,23.47,24.75,20.47,,6705,10,-2
14:15:18,90614BC-0x5A,23.47,24.67,19.75,,6705,10,-4
14:15:19,90614BC-0x5A,23.45,24.65,21.59,,6704,9,0
14:15:20,90614BC-0x5A,23.45,24.81,19.61,,6704,10,-3
14:15:21,90614BC-0x5A,23.45,24.93,18.71,,6704,12,-4
14:15:22,90614BC-0x5A,23.47,24.79,17.81,,6705,9,-6
14:15:23,90614BC-0x5A,23.47,24.75,19.91,,6705,12,-3
14:15:24,90614BC-0x5A,23.49,24.77,19.69,,6705,8,-5
