14:16:30,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'B57C,'B57C,'B8C0,'C258,'EF2A,'0000,'5C32,'209F,'BE5A,'0733,'A081,'7DD3,'53E3,'8039,'803D,'1D13,'00C1,'3508,'0015,'0000,'1C47,'8011,'3413,'F38F,'8387,'E144
14:16:30,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:16:30,90614BC-0x5A,23.45,24.27,57.01,,6708,41,35
14:16:31,90614BC-0x5A,23.49,24.55,49.55,,6709,36,27
14:16:32,90614BC-0x5A,23.49,24.63,44.15,,6708,32,19
14:16:33,90614BC-0x5A,23.49,24.55,37.69,,6709,25,15
14:16:34,90614BC-0x5A,23.49,24.65,34.27,,6708,23,10
14:16:35,90614BC-0x5A,23.49,24.59,31.37,,6709,19,7
14:16:36,90614BC-0x5A,23.53,24.67,27.71,,6710,17,3
14:16:37,90614BC-0x5A,23.51,24.61,27.45,,6709,17,8
14:16:38,90614BC-0x5A,23.53,24.75,24.73,,6709,15,0
14:16:39,90614BC-0x5A,23.53,24.67,24.95,,6709,15,2
14:16:40,90614BC-0x5A,23.51,24.69,24.21,,6709,12,1
14:16:41,90614BC-0x5A,23.53,24.63,24.53,,6710,13,0
14:16:42,90614BC-0x5A,23.53,24.71,23.73,,6710,12,1
14:16:43,90614BC-0x5A,23.51,24.67,23.03,,6709,12,0
14:16:44,90614BC-0x5A,23.53,24.67,22.63,,6709,12,-1
14:16:45,90614BC-0x5A,23.53,24.67,23.15,,6710,13,0
14:16:46,90614BC-0x5A,23.53,24.59,22.29,,6710,11,-2
14:16:47,90614BC-0x5A,23.53,24.79,20.85,,6710,12,-3
14:16:48,90614BC-0x5A,23.51,24.67,21.69,,6709,9,-1
14:16:49,90614BC-0x5A,23.51,24.53,20.13,,6709,9,-5
14:16:50,90614BC-0x5A,23.51,24.69,21.37,,6709,10,-2
14:16:51,90614BC-0x5A,23.53,24.75,21.87,,6710,12,0
14:16:52,90614BC-0x5A,23.51,24.87,19.97,,6709,13,-3
14:16:53,90614BC-0x5A,23.51,24.83,20.77,,6709,13,-2
14:16:54,90614BC-0x5A,23.51,24.81,19.35,,6709,12,-4
14:16:55,90614BC-0x5A,23.51,24.63,20.71,,6709,9,-2
14:16:56,90614BC-0x5A,23.51,24.79,20.73,,6709,12,-2
14:16:57,90614BC-0x5A,23.53,24.75,20.27,,6710,12,-4
14:16:58,90614BC-0x5A,23.55,24.85,19.53,,6710,12,-4
14:16:59,90614BC-0x5A,23.51,24.73,19.99,,6709,11,-3
14:17:00,90614BC-0x5A,23.51,24.53,21.09,,6709,10,-3
14:17:01,90614BC-0x5A,23.51,24.71,19.91,,6709,11,-3
14:17:02,90614BC-0x5A,23.51,24.93,19.01,,6709,12,-3
14:17:03,90614BC-0x5A,23.53,24.75,21.27,,6709,14,0
14:17:04,90614BC-0x5A,23.51,24.71,20.85,,6709,12,-2
14:17:05,90614BC-0x5A,23.51,24.89,19.43,,6709,14,-4
14:17:06,90614BC-0x5A,23.51,24.69,21.05,,6709,11,-2
14:17:07,90614BC-0x5A,23.51,24.71,20.01,,6709,12,-2
14:17:08,90614BC-0x5A,23.51,24.65,21.21,,6709,11,-2
14:17:09,90614BC-0x5A,23.53,24.77,20.49,,6710,10,-1
14:17:10,90614BC-0x5A,23.51,24.69,19.15,,6709,10,-4
14:17:11,90614BC-0x5A,23.53,24.55,21.85,,6710,7,0
14:17:12,90614BC-0x5A,23.51,24.57,19.43,,6709,11,-5
14:17:13,90614BC-0x5A,23.53,24.69,20.11,,6709,11,-3
14:17:14,90614BC-0x5A,23.53,24.87,17.95,,6710,9,-5
14:17:15,90614BC-0x5A,23.51,24.69,21.15,,6709,14,-3
14:17:16,90614BC-0x5A,23.53,24.73,19.85,,6709,12,-4
14:17:17,90614BC-0x5A,23.53,24.61,20.91,,6709,9,-3
14:17:18,90614BC-0x5A,23.53,24.79,20.39,,6709,11,-4
14:17:19,90614BC-0x5A,23.55,24.59,19.71,,6710,9,-4
14:17:20,90614BC-0x5A,23.55,24.59,20.49,,6710,8,-3
14:17:21,90614BC-0x5A,23.55,24.49,21.23,,6710,7,-2
14:17:22,90614BC-0x5A,23.53,24.69,20.15,,6709,11,-2
14:17:23,90614BC-0x5A,23.53,24.87,18.09,,6710,11,-5
14:17:24,90614BC-0x5A,23.51,24.59,20.13,,6709,8,-3
14:17:25,90614BC-0x5A,23.51,24.69,20.63,,6709,10,-2
14:17:26,90614BC-0x5A,23.55,24.93,18.55,,6710,13,-3
14:17:27,90614BC-0x5A,23.53,24.69,19.79,,6710,10,-4
14:17:28,90614BC-0x5A,23.53,24.83,17.81,,6710,11,-6
14:17:29,90614BC-0x5A,23.55,24.67,20.15,,6710,11,-3
14:17:30,90614BC-0x5A,23.55,24.61,21.91,,6710,12,-1
14:17:31,90614BC-0x5A,23.53,24.85,18.65,,6710,11,-4
14:17:32,90614BC-0x5A,23.55,24.61,20.07,,6710,11,-4
14:17:33,90614BC-0x5A,23.55,24.87,17.85,,6710,10,-5
14:17:34,90614BC-0x5A,23.55,24.79,19.11,,6710,13,-5
14:17:35,90614BC-0x5A,23.55,24.89,17.69,,6710,9,-5
14:17:36,90614BC-0x5A,23.55,24.75,20.33,,6710,8,-1
14:17:37,90614BC-0x5A,23.53,24.53,18.93,,6709,6,-6
14:17:38,90614BC-0x5A,23.53,24.67,19.89,,6710,10,-3
14:17:39,90614BC-0x5A,23.55,24.77,20.11,,6710,10,-1
14:17:40,90614BC-0x5A,23.55,24.79,20.11,,6710,12,-2
