14:20:45,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'AE4C,'AE4C,'B16F,'BAA6,'E5B1,'0000,'5C32,'209F,'BE5A,'0733,'B86E,'7DD3,'53E3,'803B,'8044,'1D24,'00C1,'34FE,'001D,'0000,'1D45,'8011,'7C0B,'F0D4,'7107,'E186
14:20:45,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:20:45,90614BC-0x5A,23.65,24.73,22.35,,6707,12,-2
14:20:46,90614BC-0x5A,23.65,24.53,23.25,,6707,11,1
14:20:47,90614BC-0x5A,23.65,24.67,22.59,,6707,11,-3
14:20:48,90614BC-0x5A,23.65,24.71,23.19,,6707,13,0
14:20:49,90614BC-0x5A,23.65,24.51,22.95,,6707,7,-1
14:20:50,90614BC-0x5A,23.69,24.75,22.05,,6708,11,-3
14:20:51,90614BC-0x5A,23.67,24.63,22.95,,6708,11,-1
14:20:52,90614BC-0x5A,23.67,24.67,23.33,,6708,12,0
14:20:53,90614BC-0x5A,23.65,24.59,22.43,,6707,10,0
14:20:54,90614BC-0x5A,23.65,24.57,21.91,,6707,11,2
14:20:55,90614BC-0x5A,23.67,24.69,23.05,,6707,13,-1
14:20:56,90614BC-0x5A,23.65,24.55,22.95,,6707,9,-1
14:20:57,90614BC-0x5A,23.67,24.59,22.75,,6708,9,-2
14:20:58,90614BC-0x5A,23.67,24.77,22.49,,6708,13,-1
14:20:59,90614BC-0x5A,23.67,24.57,23.11,,6707,8,0
14:21:00,90614BC-0x5A,23.65,24.53,22.05,,6707,7,-1
14:21:01,90614BC-0x5A,23.65,24.73,22.89,,6707,12,0
14:21:02,90614BC-0x5A,23.67,24.71,22.75,,6707,12,0
14:21:03,90614BC-0x5A,23.67,24.57,23.23,,6707,11,-1
14:21:04,90614BC-0x5A,23.67,24.65,23.25,,6708,11,0
14:21:05,90614BC-0x5A,23.67,24.55,23.07,,6707,10,0
14:21:06,90614BC-0x5A,23.67,24.57,22.55,,6707,10,-2
14:21:07,90614BC-0x5A,23.67,24.79,21.11,,6707,10,-3
14:21:08,90614BC-0x5A,23.69,24.63,22.67,,6708,10,-2
14:21:09,90614BC-0x5A,23.67,24.39,19.97,,6708,6,-7
14:21:10,90614BC-0x5A,23.69,24.47,22.35,,6707,6,-2
14:21:11,90614BC-0x5A,23.65,24.45,22.87,,6707,6,-1
14:21:12,90614BC-0x5A,23.65,24.59,21.53,,6707,10,-2
14:21:13,90614BC-0x5A,23.65,24.67,23.11,,6707,12,0
14:21:14,90614BC-0x5A,23.67,24.69,21.69,,6708,11,-1
14:21:15,90614BC-0x5A,23.67,24.55,23.29,,6707,9,0
14:21:16,90614BC-0x5A,23.65,24.69,21.61,,6707,10,-2
14:21:18,90614BC-0x5A,23.67,24.57,21.25,,6707,8,-3
14:21:18,90614BC-0x5A,23.65,24.53,22.67,,6707,9,0
14:21:20,90614BC-0x5A,23.67,24.57,21.61,,6708,11,-4
14:21:21,90614BC-0x5A,23.67,24.73,22.47,,6708,12,-1
14:21:22,90614BC-0x5A,23.67,24.65,22.75,,6707,10,0
14:21:23,90614BC-0x5A,23.67,24.47,22.49,,6707,8,-2
14:21:24,90614BC-0x5A,23.67,24.63,22.53,,6708,10,-1
14:21:25,90614BC-0x5A,23.67,24.71,20.53,,6708,11,-4
14:21:26,90614BC-0x5A,23.69,24.73,21.75,,6708,12,-2
14:21:27,90614BC-0x5A,23.67,24.73,22.57,,6707,13,-1
14:21:28,90614BC-0x5A,23.69,24.43,23.15,,6708,8,-1
14:21:29,90614BC-0x5A,23.67,24.55,22.23,,6707,9,-2
14:21:30,90614BC-0x5A,23.65,24.59,21.45,,6707,12,-4
14:21:31,90614BC-0x5A,23.67,24.63,20.75,,6707,8,-3
14:21:32,90614BC-0x5A,23.65,24.69,22.41,,6708,12,-2
14:21:33,90614BC-0x5A,23.69,24.43,22.67,,6708,8,-2
14:21:34,90614BC-0x5A,23.67,24.75,20.17,,6708,10,-3
14:21:35,90614BC-0x5A,23.67,24.57,22.63,,6708,9,0
14:21:36,90614BC-0x5A,23.69,24.65,21.91,,6708,10,-3
14:21:37,90614BC-0x5A,23.67,24.59,22.93,,6708,8,0
14:21:38,90614BC-0x5A,23.67,24.63,22.59,,6708,11,-1
14:21:39,90614BC-0x5A,23.67,24.59,22.27,,6708,9,-2
14:21:40,90614BC-0x5A,23.69,24.53,21.35,,6708,7,-3
14:21:41,90614BC-0x5A,23.67,24.47,22.69,,6708,8,-1
14:21:42,90614BC-0x5A,23.69,24.57,22.45,,6708,9,0
14:21:43,90614BC-0x5A,23.69,24.59,22.99,,6708,10,0
14:21:44,90614BC-0x5A,23.69,24.67,22.43,,6708,11,-1
14:21:45,90614BC-0x5A,23.69,24.55,21.73,,6708,9,-3
14:21:46,90614BC-0x5A,23.69,24.63,22.33,,6708,11,0
14:21:47,90614BC-0x5A,23.67,24.71,19.83,,6708,9,-5
14:21:48,90614BC-0x5A,23.69,24.59,22.11,,6708,8,-2
14:21:49,90614BC-0x5A,23.69,24.51,21.71,,6708,7,-2
14:21:50,90614BC-0x5A,23.69,24.61,22.23,,6708,10,-1
