14:22:48,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'AC10,'AC10,'AF29,'B842,'E2C0,'0000,'5C32,'209F,'BE5A,'0733,'89B1,'7DD3,'53E3,'803A,'803C,'1D1A,'00C1,'34F7,'0011,'0000,'1E4B,'8011,'0C0B,'F355,'8387,'E144
14:22:48,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:22:48,90614BC-0x5A,23.55,24.61,35.15,,6702,21,9
14:22:49,90614BC-0x5A,23.53,24.51,32.47,,6700,19,7
14:22:50,90614BC-0x5A,23.55,24.59,27.73,,6701,17,1
14:22:51,90614BC-0x5A,23.55,24.69,26.83,,6701,16,3
14:22:52,90614BC-0x5A,23.57,24.53,26.45,,6702,13,5
14:22:53,90614BC-0x5A,23.59,24.61,24.59,,6702,12,0
14:22:54,90614BC-0x5A,23.57,24.77,23.91,,6702,15,0
14:22:55,90614BC-0x5A,23.57,24.75,21.75,,6702,15,-2
14:22:56,90614BC-0x5A,23.59,24.67,22.37,,6702,11,-1
14:22:57,90614BC-0x5A,23.59,24.71,24.01,,6702,12,1
14:22:58,90614BC-0x5A,23.59,24.61,23.71,,6702,13,1
14:22:59,90614BC-0x5A,23.59,24.55,20.63,,6702,9,-3
14:23:00,90614BC-0x5A,23.57,24.61,22.41,,6702,10,0
14:23:01,90614BC-0x5A,23.61,24.47,21.49,,6703,10,-3
14:23:02,90614BC-0x5A,23.59,24.63,23.11,,6702,13,0
14:23:03,90614BC-0x5A,23.57,24.59,20.81,,6701,10,-4
14:23:04,90614BC-0x5A,23.59,24.69,20.35,,6702,11,-2
14:23:05,90614BC-0x5A,23.61,24.49,20.65,,6702,6,-2
14:23:06,90614BC-0x5A,23.59,24.65,22.69,,6702,12,1
14:23:07,90614BC-0x5A,23.59,24.61,19.21,,6702,10,-4
14:23:08,90614BC-0x5A,23.59,24.55,22.49,,6702,9,0
14:23:09,90614BC-0x5A,23.59,24.51,21.67,,6702,9,-1
14:23:10,90614BC-0x5A,23.59,24.43,22.09,,6702,9,-2
14:23:11,90614BC-0x5A,23.59,24.51,21.05,,6702,10,-2
14:23:12,90614BC-0x5A,23.59,24.71,20.55,,6701,11,-3
14:23:13,90614BC-0x5A,23.59,24.51,22.09,,6702,11,-2
14:23:14,90614BC-0x5A,23.59,24.41,22.75,,6702,8,0
14:23:15,90614BC-0x5A,23.59,24.55,22.39,,6703,10,0
14:23:16,90614BC-0x5A,23.55,24.55,21.57,,6701,11,-1
14:23:17,90614BC-0x5A,23.59,24.49,21.67,,6702,10,-1
14:23:18,90614BC-0x5A,23.61,24.51,23.51,,6702,10,0
14:23:19,90614BC-0x5A,23.61,24.55,22.61,,6703,11,0
14:23:20,90614BC-0x5A,23.59,24.61,22.01,,6702,10,1
14:23:21,90614BC-0x5A,23.59,24.81,18.81,,6702,10,-4
14:23:22,90614BC-0x5A,23.61,24.55,23.65,,6703,11,1
14:23:23,90614BC-0x5A,23.59,24.55,22.23,,6702,10,-1
14:23:24,90614BC-0x5A,23.61,24.63,21.41,,6703,11,-2
14:23:25,90614BC-0x5A,23.61,24.43,21.01,,6702,7,-3
14:23:26,90614BC-0x5A,23.61,24.71,19.79,,6702,11,-5
14:23:27,90614BC-0x5A,23.59,24.43,22.61,,6702,9,0
14:23:28,90614BC-0x5A,23.59,24.61,21.29,,6702,12,-3
14:23:29,90614BC-0x5A,23.61,24.63,20.11,,6703,11,-1
14:23:30,90614BC-0x5A,23.61,24.57,21.71,,6702,10,0
14:23:31,90614BC-0x5A,23.61,24.57,20.17,,6703,10,-4
14:23:32,90614BC-0x5A,23.59,24.67,19.13,,6702,10,-5
14:23:33,90614BC-0x5A,23.61,24.63,20.73,,6702,10,-2
14:23:34,90614BC-0x5A,23.59,24.77,19.09,,6702,11,-4
14:23:35,90614BC-0x5A,23.61,24.53,22.37,,6702,9,-1
14:23:36,90614BC-0x5A,23.61,24.57,19.83,,6702,9,-3
14:23:37,90614BC-0x5A,23.61,24.67,20.13,,6703,10,-4
14:23:38,90614BC-0x5A,23.59,24.51,21.29,,6702,9,-2
14:23:40,90614BC-0x5A,23.59,24.65,21.61,,6702,11,-1
14:23:40,90614BC-0x5A,23.59,24.31,22.31,,6702,7,1
14:23:42,90614BC-0x5A,23.61,24.59,19.35,,6702,11,-5
14:23:42,90614BC-0x5A,23.59,24.51,23.35,,6702,11,0
14:23:44,90614BC-0x5A,23.59,24.55,19.95,,6702,10,-3
14:23:45,90614BC-0x5A,23.61,24.43,20.37,,6703,9,-3
14:23:45,90614BC-0x5A,23.59,24.51,20.59,,6702,9,0
14:23:47,90614BC-0x5A,23.61,24.59,20.41,,6703,10,-2
14:23:47,90614BC-0x5A,23.61,24.61,20.03,,6702,10,-3
14:23:49,90614BC-0x5A,23.57,24.65,19.39,,6702,11,-4
14:23:50,90614BC-0x5A,23.59,24.57,20.89,,6702,9,-2
14:23:51,90614BC-0x5A,23.61,24.39,21.87,,6703,7,-3
14:23:52,90614BC-0x5A,23.59,24.59,21.41,,6702,11,-2
