14:24:41,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B7F0,'AD80,'AD80,'B0A0,'B9CC,'E4A5,'0000,'5C32,'209F,'BE5A,'0733,'8142,'7DD3,'53E3,'803A,'803B,'1D04,'00C1,'34DE,'0010,'0000,'1C4B,'8011,'640E,'F36D,'8387,'E144
14:24:41,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:24:41,90614BC-0x5A,23.57,25.67,62.71,,6690,58,35
14:24:42,90614BC-0x5A,23.61,25.29,58.17,,6691,49,32
14:24:43,90614BC-0x5A,23.61,25.25,50.89,,6691,41,23
14:24:44,90614BC-0x5A,23.63,25.05,45.37,,6691,33,17
14:24:45,90614BC-0x5A,23.67,25.03,41.33,,6691,31,14
14:24:46,90614BC-0x5A,23.67,24.95,38.53,,6692,26,12
14:24:47,90614BC-0x5A,23.67,24.95,34.21,,6691,22,8
14:24:48,90614BC-0x5A,23.69,25.05,32.41,,6692,21,9
14:24:49,90614BC-0x5A,23.71,24.83,30.31,,6692,18,5
14:24:50,90614BC-0x5A,23.71,24.95,30.25,,6692,19,6
14:24:51,90614BC-0x5A,23.69,24.75,27.59,,6692,14,2
14:24:52,90614BC-0x5A,23.71,24.89,26.67,,6693,16,3
14:24:53,90614BC-0x5A,23.69,24.87,26.01,,6692,14,2
14:24:54,90614BC-0x5A,23.71,24.91,26.05,,6693,16,3
14:24:55,90614BC-0x5A,23.71,24.79,25.69,,6692,15,1
14:24:56,90614BC-0x5A,23.71,24.79,24.23,,6693,14,0
14:24:57,90614BC-0x5A,23.69,24.75,26.33,,6692,15,2
14:24:58,90614BC-0x5A,23.71,24.73,25.13,,6693,13,2
14:24:59,90614BC-0x5A,23.71,24.73,23.77,,6692,11,0
14:25:00,90614BC-0x5A,23.71,24.85,22.95,,6692,12,-1
14:25:01,90614BC-0x5A,23.73,24.83,24.93,,6693,13,2
14:25:02,90614BC-0x5A,23.73,24.69,24.11,,6693,10,0
14:25:03,90614BC-0x5A,23.71,24.53,26.07,,6692,10,2
14:25:04,90614BC-0x5A,23.73,24.79,24.65,,6693,12,1
14:25:05,90614BC-0x5A,23.73,24.73,23.37,,6693,11,0
14:25:06,90614BC-0x5A,23.71,24.83,24.15,,6693,12,1
14:25:07,90614BC-0x5A,23.71,24.81,22.79,,6693,11,0
14:25:08,90614BC-0x5A,23.69,24.71,23.97,,6693,13,0
14:25:09,90614BC-0x5A,23.73,24.67,23.05,,6693,10,-1
14:25:10,90614BC-0x5A,23.71,24.75,23.29,,6693,12,0
14:25:11,90614BC-0x5A,23.73,24.59,22.57,,6693,9,1
14:25:12,90614BC-0x5A,23.71,24.69,24.05,,6693,11,0
14:25:13,90614BC-0x5A,23.71,24.79,24.03,,6693,13,0
14:25:14,90614BC-0x5A,23.73,24.79,22.15,,6692,12,-2
14:25:15,90614BC-0x5A,23.73,24.83,24.91,,6693,13,2
14:25:16,90614BC-0x5A,23.71,24.63,23.75,,6693,12,-1
14:25:17,90614BC-0x5A,23.73,24.71,24.33,,6693,13,0
14:25:18,90614BC-0x5A,23.73,24.83,24.87,,6693,12,-2
14:25:19,90614BC-0x5A,23.73,24.57,25.45,,6693,11,2
14:25:20,90614BC-0x5A,23.73,24.77,21.39,,6693,11,-2
14:25:21,90614BC-0x5A,23.73,24.55,25.33,,6693,11,1
14:25:22,90614BC-0x5A,23.73,24.99,20.97,,6693,16,-5
14:25:23,90614BC-0x5A,23.71,24.63,24.53,,6693,12,1
14:25:24,90614BC-0x5A,23.71,24.47,26.45,,6692,10,2
14:25:25,90614BC-0x5A,23.73,24.73,22.15,,6693,12,-2
14:25:26,90614BC-0x5A,23.71,24.65,24.15,,6692,12,0
14:25:27,90614BC-0x5A,23.71,24.57,25.99,,6692,12,2
14:25:28,90614BC-0x5A,23.73,24.77,22.17,,6693,11,-1
14:25:29,90614BC-0x5A,23.71,24.85,22.83,,6693,12,0
14:25:30,90614BC-0x5A,23.73,24.89,23.57,,6693,13,0
14:25:31,90614BC-0x5A,23.73,24.71,23.81,,6693,12,2
14:25:32,90614BC-0x5A,23.73,24.67,23.79,,6693,10,0
14:25:33,90614BC-0x5A,23.75,24.71,23.37,,6694,12,0
14:25:34,90614BC-0x5A,23.73,24.59,22.97,,6693,9,-1
14:25:35,90614BC-0x5A,23.71,24.69,23.23,,6693,9,0
14:25:36,90614BC-0x5A,23.73,24.63,23.93,,6693,11,0
14:25:37,90614BC-0x5A,23.73,24.83,22.51,,6693,12,-1
14:25:38,90614BC-0x5A,23.73,24.77,21.87,,6694,11,-1
14:25:39,90614BC-0x5A,23.75,24.63,23.63,,6694,9,0
14:25:40,90614BC-0x5A,23.75,24.77,20.99,,6693,12,-3
14:25:41,90614BC-0x5A,23.73,24.75,22.69,,6693,12,-1
14:25:42,90614BC-0x5A,23.71,24.71,22.79,,6692,10,0
14:25:44,90614BC-0x5A,23.75,24.79,22.93,,6694,13,0
14:25:44,90614BC-0x5A,23.73,24.79,21.73,,6693,10,-1
