14:47:19,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8BD1,'860A,'8085,'7BCE,'75B5,'DADA,'A8FC,'2075,'BE5A,'0A66,'B361,'8E53,'53E3,'0017,'0047,'1D0A,'00C1,'3506,'8002,'0000,'1C4C,'8011,'5811,'22AD,'928C,'E112
14:47:19,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:47:19,90614BC-0x5A,22.75,24.81,26.03,,6691,150,18
14:47:20,90614BC-0x5A,22.73,24.75,26.11,,6690,150,19
14:47:21,90614BC-0x5A,22.75,24.75,26.21,,6691,150,19
14:47:22,90614BC-0x5A,22.75,24.75,26.03,,6691,148,18
14:47:23,90614BC-0x5A,22.75,24.73,26.15,,6691,151,19
14:47:24,90614BC-0x5A,22.81,24.81,26.07,,6692,150,18
14:47:25,90614BC-0x5A,22.75,24.75,26.01,,6691,149,19
14:47:26,90614BC-0x5A,22.81,24.81,25.97,,6692,149,17
14:47:27,90614BC-0x5A,22.75,24.75,25.93,,6691,150,17
14:47:28,90614BC-0x5A,22.77,24.79,25.93,,6691,147,18
14:47:29,90614BC-0x5A,22.77,24.73,26.13,,6691,148,19
14:47:30,90614BC-0x5A,22.77,24.77,25.99,,6691,148,18
14:47:31,90614BC-0x5A,22.77,24.81,25.85,,6691,149,17
14:47:32,90614BC-0x5A,22.79,24.75,26.01,,6692,147,18
14:47:33,90614BC-0x5A,22.75,24.73,26.47,,6691,148,21
14:47:34,90614BC-0x5A,22.75,24.73,25.97,,6691,147,18
14:47:35,90614BC-0x5A,22.77,24.79,26.13,,6691,150,18
14:47:36,90614BC-0x5A,22.75,24.71,25.93,,6691,149,17
14:47:37,90614BC-0x5A,22.75,24.73,26.11,,6691,147,18
14:47:38,90614BC-0x5A,22.77,24.75,25.93,,6691,148,17
14:47:39,90614BC-0x5A,22.79,24.77,26.11,,6692,148,17
14:47:40,90614BC-0x5A,22.81,24.77,26.23,,6692,147,19
14:47:41,90614BC-0x5A,22.77,24.75,26.01,,6691,146,18
14:47:42,90614BC-0x5A,22.79,24.81,26.23,,6692,148,19
14:47:43,90614BC-0x5A,22.79,24.79,26.19,,6692,148,19
14:47:44,90614BC-0x5A,22.81,24.79,25.89,,6692,148,17
14:47:45,90614BC-0x5A,22.79,24.75,25.99,,6692,146,18
14:47:46,90614BC-0x5A,22.77,24.81,25.91,,6692,149,17
14:47:47,90614BC-0x5A,22.83,24.73,26.35,,6691,146,20
14:47:48,90614BC-0x5A,22.79,24.79,26.07,,6692,150,18
14:47:49,90614BC-0x5A,22.77,24.73,26.05,,6691,147,17
14:47:51,90614BC-0x5A,22.79,24.81,26.09,,6692,150,18
14:47:51,90614BC-0x5A,22.79,24.77,26.03,,6692,147,18
14:47:53,90614BC-0x5A,22.79,24.79,25.89,,6692,148,17
14:47:54,90614BC-0x5A,22.77,24.71,26.21,,6691,145,19
14:47:55,90614BC-0x5A,22.79,24.77,26.21,,6692,147,19
14:47:56,90614BC-0x5A,22.81,24.77,26.17,,6692,146,19
14:47:57,90614BC-0x5A,22.79,24.75,26.29,,6692,148,20
14:47:58,90614BC-0x5A,22.77,24.73,26.37,,6691,148,20
14:47:59,90614BC-0x5A,22.79,24.75,26.19,,6692,148,19
14:48:00,90614BC-0x5A,22.77,24.73,26.09,,6691,148,18
14:48:01,90614BC-0x5A,22.81,24.75,26.03,,6692,145,18
14:48:02,90614BC-0x5A,22.81,24.75,26.25,,6692,147,19
14:48:03,90614BC-0x5A,22.81,24.77,26.27,,6692,146,20
14:48:04,90614BC-0x5A,22.79,24.79,26.37,,6692,147,20
14:48:05,90614BC-0x5A,22.81,24.79,26.31,,6692,147,20
14:48:06,90614BC-0x5A,22.79,24.79,25.89,,6692,147,17
14:48:07,90614BC-0x5A,22.79,24.75,26.27,,6692,147,19
14:48:08,90614BC-0x5A,22.81,24.75,25.97,,6692,146,17
14:48:09,90614BC-0x5A,22.77,24.69,26.11,,6691,145,18
14:48:10,90614BC-0x5A,22.83,24.75,26.45,,6693,148,21
14:48:11,90614BC-0x5A,22.79,24.75,26.13,,6692,148,18
14:48:12,90614BC-0x5A,22.81,24.81,25.83,,6692,145,16
14:48:13,90614BC-0x5A,22.81,24.77,26.39,,6692,147,20
14:48:14,90614BC-0x5A,22.85,24.73,26.53,,6693,145,21
14:48:15,90614BC-0x5A,22.79,24.69,26.43,,6692,144,20
14:48:16,90614BC-0x5A,22.81,24.77,26.07,,6692,145,18
14:48:17,90614BC-0x5A,22.81,24.69,26.49,,6692,144,21
14:48:18,90614BC-0x5A,22.83,24.75,25.99,,6693,143,18
14:48:19,90614BC-0x5A,22.83,24.75,26.25,,6693,145,19
14:48:20,90614BC-0x5A,22.83,24.75,26.41,,6693,144,19
14:48:21,90614BC-0x5A,22.83,24.75,26.15,,6692,143,18
14:48:22,90614BC-0x5A,22.81,24.73,26.31,,6692,145,20
14:48:23,90614BC-0x5A,22.85,24.73,26.19,,6693,142,19
14:48:24,90614BC-0x5A,22.83,24.77,26.19,,6692,145,19
14:48:25,90614BC-0x5A,22.83,24.77,26.73,,6693,147,22
