14:49:00,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'97EA,'91A3,'8BA3,'8684,'7FE4,'DADA,'A8FC,'2075,'BE5A,'0A66,'D09F,'8E53,'53E3,'001B,'004B,'1CFD,'00C1,'34F0,'8005,'0000,'1C49,'8011,'E411,'229E,'928C,'E112
14:49:00,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:49:00,90614BC-0x5A,22.79,24.65,26.11,,6681,134,20
14:49:01,90614BC-0x5A,22.75,24.67,25.95,,6680,134,19
14:49:02,90614BC-0x5A,22.81,24.67,26.13,,6681,133,20
14:49:03,90614BC-0x5A,22.75,24.63,25.89,,6680,131,18
14:49:04,90614BC-0x5A,22.81,24.69,25.63,,6681,131,16
14:49:05,90614BC-0x5A,22.81,24.59,25.67,,6681,128,16
14:49:06,90614BC-0x5A,22.81,24.67,25.67,,6681,131,17
14:49:07,90614BC-0x5A,22.85,24.67,25.93,,6682,130,18
14:49:08,90614BC-0x5A,22.85,24.69,25.63,,6682,126,16
14:49:09,90614BC-0x5A,22.83,24.67,25.99,,6682,128,19
14:49:10,90614BC-0x5A,22.87,24.67,25.61,,6683,127,16
14:49:11,90614BC-0x5A,22.83,24.63,25.89,,6682,126,18
14:49:12,90614BC-0x5A,22.81,24.71,25.53,,6681,128,15
14:49:13,90614BC-0x5A,22.85,24.69,25.67,,6682,126,17
14:49:14,90614BC-0x5A,22.85,24.67,25.73,,6682,127,17
14:49:15,90614BC-0x5A,22.89,24.67,25.59,,6683,123,16
14:49:16,90614BC-0x5A,22.87,24.67,25.65,,6683,125,16
14:49:17,90614BC-0x5A,22.91,24.67,25.81,,6684,125,17
14:49:18,90614BC-0x5A,22.87,24.63,25.75,,6683,120,17
14:49:19,90614BC-0x5A,22.91,24.67,25.33,,6683,120,14
14:49:20,90614BC-0x5A,22.89,24.69,25.57,,6683,122,16
14:49:21,90614BC-0x5A,22.93,24.67,25.65,,6684,121,16
14:49:22,90614BC-0x5A,22.89,24.65,25.43,,6683,121,15
14:49:23,90614BC-0x5A,22.93,24.67,25.67,,6684,121,16
14:49:24,90614BC-0x5A,22.93,24.73,25.53,,6684,122,16
14:49:25,90614BC-0x5A,22.93,24.65,25.61,,6684,121,16
14:49:26,90614BC-0x5A,22.93,24.61,25.31,,6684,116,14
14:49:27,90614BC-0x5A,22.93,24.69,25.23,,6684,120,13
14:49:28,90614BC-0x5A,22.95,24.69,25.25,,6684,118,13
14:49:29,90614BC-0x5A,22.97,24.71,25.23,,6685,117,13
14:49:30,90614BC-0x5A,22.95,24.69,25.35,,6684,118,14
14:49:31,90614BC-0x5A,22.93,24.65,25.21,,6684,117,13
14:49:32,90614BC-0x5A,22.97,24.73,25.09,,6685,118,12
14:49:33,90614BC-0x5A,22.97,24.69,25.37,,6685,118,14
14:49:34,90614BC-0x5A,22.99,24.67,25.23,,6686,116,13
14:49:35,90614BC-0x5A,22.97,24.71,25.21,,6685,116,13
14:49:36,90614BC-0x5A,23.01,24.69,25.33,,6686,113,14
14:49:37,90614BC-0x5A,22.99,24.69,25.29,,6685,114,14
14:49:38,90614BC-0x5A,23.01,24.67,25.25,,6686,112,13
14:49:39,90614BC-0x5A,22.95,24.67,25.21,,6684,114,13
14:49:40,90614BC-0x5A,23.01,24.67,24.83,,6686,112,10
14:49:41,90614BC-0x5A,23.01,24.69,24.95,,6686,112,11
14:49:42,90614BC-0x5A,23.05,24.71,25.21,,6687,115,13
14:49:43,90614BC-0x5A,22.99,24.65,25.27,,6685,114,13
14:49:45,90614BC-0x5A,23.05,24.75,24.81,,6687,112,10
14:49:45,90614BC-0x5A,22.99,24.63,25.09,,6685,112,12
14:49:46,90614BC-0x5A,23.05,24.73,24.73,,6687,111,10
14:49:47,90614BC-0x5A,23.01,24.75,24.97,,6686,113,12
14:49:48,90614BC-0x5A,23.01,24.69,24.79,,6686,110,11
14:49:50,90614BC-0x5A,23.01,24.67,25.13,,6686,113,12
14:49:50,90614BC-0x5A,23.03,24.67,25.07,,6686,110,12
14:49:51,90614BC-0x5A,23.01,24.67,24.97,,6686,110,11
14:49:53,90614BC-0x5A,23.07,24.65,24.87,,6687,108,10
14:49:54,90614BC-0x5A,23.07,24.75,24.85,,6687,110,11
14:49:55,90614BC-0x5A,23.03,24.71,24.41,,6686,111,8
14:49:56,90614BC-0x5A,23.01,24.67,25.01,,6686,109,10
14:49:57,90614BC-0x5A,23.05,24.67,24.75,,6687,106,10
14:49:58,90614BC-0x5A,23.03,24.73,24.41,,6686,106,8
14:49:59,90614BC-0x5A,23.05,24.63,24.85,,6687,108,10
14:50:00,90614BC-0x5A,23.07,24.71,25.07,,6687,109,12
14:50:01,90614BC-0x5A,22.99,24.63,24.67,,6685,107,10
14:50:02,90614BC-0x5A,23.07,24.69,24.63,,6687,108,9
14:50:03,90614BC-0x5A,23.09,24.71,24.75,,6688,108,10
14:50:04,90614BC-0x5A,23.07,24.73,24.75,,6687,107,8
14:50:05,90614BC-0x5A,23.07,24.69,24.65,,6687,107,9
14:50:06,90614BC-0x5A,23.07,24.77,24.43,,6687,107,8
