14:50:35,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'90F2,'8AF5,'853B,'8058,'7A06,'DADA,'A8FC,'2075,'BE5A,'0A66,'C64A,'8E53,'53E3,'8001,'0032,'1CF9,'00C1,'3502,'8004,'0000,'1C4A,'8011,'5017,'22A9,'928C,'E112
14:50:35,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:50:35,90614BC-0x5A,22.59,24.77,27.35,,6685,168,28
14:50:36,90614BC-0x5A,22.61,24.75,27.63,,6686,166,30
14:50:37,90614BC-0x5A,22.63,24.69,27.49,,6687,164,28
14:50:38,90614BC-0x5A,22.63,24.67,27.51,,6686,162,29
14:50:39,90614BC-0x5A,22.65,24.75,27.39,,6687,164,28
14:50:40,90614BC-0x5A,22.63,24.69,27.83,,6687,161,31
14:50:41,90614BC-0x5A,22.67,24.65,27.49,,6687,159,28
14:50:42,90614BC-0x5A,22.67,24.69,27.65,,6687,159,30
14:50:43,90614BC-0x5A,22.73,24.69,27.19,,6688,156,27
14:50:44,90614BC-0x5A,22.71,24.63,27.41,,6688,156,28
14:50:45,90614BC-0x5A,22.69,24.71,27.31,,6688,155,28
14:50:46,90614BC-0x5A,22.73,24.75,27.17,,6689,154,26
14:50:47,90614BC-0x5A,22.77,24.71,27.17,,6689,154,27
14:50:48,90614BC-0x5A,22.73,24.71,26.79,,6689,153,23
14:50:49,90614BC-0x5A,22.77,24.75,27.15,,6690,153,26
14:50:50,90614BC-0x5A,22.77,24.75,26.61,,6689,151,23
14:50:51,90614BC-0x5A,22.79,24.69,26.69,,6690,149,23
14:50:52,90614BC-0x5A,22.81,24.71,27.17,,6690,148,26
14:50:53,90614BC-0x5A,22.81,24.73,26.67,,6690,148,23
14:50:54,90614BC-0x5A,22.83,24.73,26.79,,6691,146,24
14:50:55,90614BC-0x5A,22.81,24.65,26.83,,6691,145,24
14:50:56,90614BC-0x5A,22.81,24.69,26.77,,6690,145,23
14:50:57,90614BC-0x5A,22.83,24.69,26.87,,6691,143,24
14:50:58,90614BC-0x5A,22.87,24.75,26.29,,6692,142,20
14:50:59,90614BC-0x5A,22.85,24.75,26.49,,6691,144,22
14:51:00,90614BC-0x5A,22.85,24.63,26.47,,6691,139,21
14:51:01,90614BC-0x5A,22.85,24.79,26.81,,6691,143,24
14:51:02,90614BC-0x5A,22.89,24.71,26.47,,6692,140,21
14:51:03,90614BC-0x5A,22.89,24.69,26.61,,6692,138,22
14:51:04,90614BC-0x5A,22.89,24.67,26.53,,6693,137,21
14:51:05,90614BC-0x5A,22.89,24.75,26.47,,6692,136,22
14:51:06,90614BC-0x5A,22.87,24.69,26.57,,6693,137,21
14:51:07,90614BC-0x5A,22.89,24.69,26.23,,6692,135,19
14:51:08,90614BC-0x5A,22.91,24.71,26.39,,6693,135,21
14:51:09,90614BC-0x5A,22.93,24.67,26.27,,6693,132,20
14:51:10,90614BC-0x5A,22.93,24.67,25.99,,6693,132,18
14:51:11,90614BC-0x5A,22.93,24.67,26.39,,6693,131,21
14:51:12,90614BC-0x5A,22.93,24.67,26.03,,6693,130,18
14:51:13,90614BC-0x5A,22.93,24.63,26.49,,6693,131,21
14:51:14,90614BC-0x5A,22.95,24.67,26.25,,6693,132,19
14:51:15,90614BC-0x5A,22.95,24.71,26.03,,6694,132,18
14:51:16,90614BC-0x5A,22.95,24.69,26.17,,6694,128,19
14:51:17,90614BC-0x5A,22.97,24.79,26.15,,6694,130,19
14:51:18,90614BC-0x5A,22.97,24.73,25.95,,6694,129,18
14:51:19,90614BC-0x5A,22.99,24.69,26.19,,6694,127,19
14:51:20,90614BC-0x5A,22.97,24.69,26.03,,6694,128,18
14:51:21,90614BC-0x5A,23.01,24.71,26.21,,6695,128,19
14:51:22,90614BC-0x5A,23.01,24.71,26.07,,6695,127,18
14:51:23,90614BC-0x5A,22.97,24.63,25.87,,6694,123,17
14:51:24,90614BC-0x5A,23.01,24.79,25.39,,6695,127,14
14:51:25,90614BC-0x5A,22.99,24.69,26.03,,6694,125,18
14:51:26,90614BC-0x5A,23.03,24.67,25.75,,6696,124,16
14:51:27,90614BC-0x5A,22.97,24.69,25.51,,6694,123,14
14:51:28,90614BC-0x5A,23.01,24.63,25.97,,6695,122,17
14:51:29,90614BC-0x5A,23.01,24.71,25.55,,6695,122,15
14:51:30,90614BC-0x5A,23.01,24.69,25.83,,6695,122,17
14:51:31,90614BC-0x5A,23.01,24.77,25.37,,6695,123,13
14:51:32,90614BC-0x5A,23.05,24.71,25.71,,6696,121,16
14:51:33,90614BC-0x5A,23.01,24.73,25.41,,6695,119,13
14:51:34,90614BC-0x5A,23.03,24.73,25.81,,6696,121,17
14:51:35,90614BC-0x5A,23.03,24.71,25.35,,6695,120,13
14:51:36,90614BC-0x5A,23.05,24.73,25.27,,6696,120,13
14:51:37,90614BC-0x5A,23.03,24.65,25.65,,6695,119,15
14:51:38,90614BC-0x5A,23.07,24.69,25.81,,6696,121,17
14:51:39,90614BC-0x5A,23.05,24.67,25.67,,6696,118,16
14:51:40,90614BC-0x5A,23.05,24.65,25.83,,6696,116,17
14:51:41,90614BC-0x5A,23.05,24.73,25.51,,6696,119,13
14:51:42,90614BC-0x5A,23.07,24.73,25.29,,6696,119,13
14:51:43,90614BC-0x5A,23.07,24.73,25.45,,6696,115,14
14:51:44,90614BC-0x5A,23.07,24.71,25.35,,6696,116,13
14:51:45,90614BC-0x5A,23.07,24.73,25.37,,6696,119,15
14:51:46,90614BC-0x5A,23.07,24.79,25.19,,6696,116,13
14:51:47,90614BC-0x5A,23.07,24.73,25.31,,6696,116,13
14:51:48,90614BC-0x5A,23.09,24.75,25.51,,6697,116,14
14:51:49,90614BC-0x5A,23.07,24.69,25.27,,6696,114,13
14:51:50,90614BC-0x5A,23.09,24.73,25.15,,6697,115,12
14:51:51,90614BC-0x5A,23.13,24.77,25.31,,6698,116,13
14:51:52,90614BC-0x5A,23.07,24.69,25.29,,6696,116,13
14:51:53,90614BC-0x5A,23.07,24.75,25.21,,6697,114,12
14:51:54,90614BC-0x5A,23.11,24.77,25.39,,6697,116,14
14:51:55,90614BC-0x5A,23.07,24.69,25.67,,6696,112,16
14:51:56,90614BC-0x5A,23.13,24.79,25.15,,6697,114,13
