14:52:26,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8897,'82F3,'7D8E,'78F3,'72FE,'DADA,'A8FC,'2075,'BE5A,'0A66,'A468,'8E53,'53E3,'0022,'0055,'1D00,'00C1,'34FF,'8005,'0000,'1C4F,'8011,'1813,'2279,'928C,'E112
14:52:26,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:52:26,90614BC-0x5A,22.59,24.59,29.27,,6684,171,35
14:52:27,90614BC-0x5A,22.63,24.61,28.83,,6684,170,32
14:52:28,90614BC-0x5A,22.65,24.65,28.75,,6685,170,32
14:52:29,90614BC-0x5A,22.67,24.69,28.69,,6685,170,31
14:52:30,90614BC-0x5A,22.71,24.67,28.71,,6687,168,31
14:52:31,90614BC-0x5A,22.69,24.61,28.67,,6686,164,31
14:52:32,90614BC-0x5A,22.69,24.55,28.71,,6686,160,32
14:52:33,90614BC-0x5A,22.75,24.59,28.65,,6687,162,31
14:52:34,90614BC-0x5A,22.77,24.65,28.67,,6688,161,31
14:52:35,90614BC-0x5A,22.79,24.61,28.61,,6688,157,31
14:52:36,90614BC-0x5A,22.75,24.63,28.35,,6687,158,30
14:52:37,90614BC-0x5A,22.81,24.65,27.95,,6689,155,27
14:52:38,90614BC-0x5A,22.83,24.73,28.47,,6689,155,31
14:52:39,90614BC-0x5A,22.81,24.63,28.01,,6689,153,27
14:52:40,90614BC-0x5A,22.85,24.65,28.05,,6690,151,28
14:52:41,90614BC-0x5A,22.85,24.61,27.79,,6689,150,26
14:52:42,90614BC-0x5A,22.83,24.61,28.23,,6689,148,29
14:52:43,90614BC-0x5A,22.85,24.63,27.71,,6690,146,25
14:52:44,90614BC-0x5A,22.85,24.61,27.57,,6690,146,24
14:52:45,90614BC-0x5A,22.87,24.55,27.65,,6690,142,25
14:52:46,90614BC-0x5A,22.87,24.65,27.63,,6690,145,25
14:52:47,90614BC-0x5A,22.91,24.63,27.53,,6691,142,24
14:52:48,90614BC-0x5A,22.91,24.59,27.55,,6691,140,25
14:52:49,90614BC-0x5A,22.89,24.61,27.51,,6691,139,25
14:52:50,90614BC-0x5A,22.95,24.71,27.25,,6692,141,22
14:52:51,90614BC-0x5A,22.95,24.67,27.33,,6692,139,23
14:52:52,90614BC-0x5A,22.95,24.63,27.05,,6692,136,21
14:52:53,90614BC-0x5A,22.95,24.57,27.15,,6692,132,22
14:52:54,90614BC-0x5A,22.97,24.65,26.89,,6692,136,20
14:52:55,90614BC-0x5A,22.97,24.63,27.19,,6692,135,22
14:52:56,90614BC-0x5A,22.97,24.67,26.85,,6692,136,20
14:52:57,90614BC-0x5A,22.97,24.57,27.13,,6692,130,22
14:52:58,90614BC-0x5A,22.99,24.63,26.87,,6693,133,20
14:52:59,90614BC-0x5A,22.97,24.65,26.81,,6692,132,20
14:53:00,90614BC-0x5A,23.01,24.67,26.37,,6694,130,17
14:53:01,90614BC-0x5A,23.01,24.65,26.81,,6694,129,20
14:53:02,90614BC-0x5A,23.01,24.61,26.79,,6693,129,20
14:53:03,90614BC-0x5A,23.01,24.61,26.53,,6694,128,18
14:53:04,90614BC-0x5A,23.05,24.65,26.45,,6694,127,18
14:53:05,90614BC-0x5A,23.03,24.57,26.79,,6694,126,20
14:53:06,90614BC-0x5A,23.07,24.69,26.27,,6695,127,16
14:53:07,90614BC-0x5A,23.05,24.59,26.47,,6694,121,18
14:53:08,90614BC-0x5A,23.03,24.55,26.75,,6694,125,20
14:53:09,90614BC-0x5A,23.05,24.61,26.53,,6695,121,18
14:53:10,90614BC-0x5A,23.07,24.57,26.65,,6695,121,19
14:53:11,90614BC-0x5A,23.05,24.59,26.17,,6694,124,16
14:53:12,90614BC-0x5A,23.05,24.61,25.95,,6695,120,15
14:53:13,90614BC-0x5A,23.07,24.61,26.35,,6695,119,17
14:53:14,90614BC-0x5A,23.07,24.61,26.01,,6695,118,15
14:53:15,90614BC-0x5A,23.07,24.57,25.95,,6695,116,15
14:53:16,90614BC-0x5A,23.11,24.61,25.91,,6695,115,14
14:53:17,90614BC-0x5A,23.15,24.61,26.05,,6696,117,15
14:53:18,90614BC-0x5A,23.09,24.71,26.03,,6695,119,16
14:53:19,90614BC-0x5A,23.15,24.65,25.87,,6695,117,14
14:53:20,90614BC-0x5A,23.11,24.61,26.11,,6696,117,16
14:53:21,90614BC-0x5A,23.11,24.65,25.69,,6696,116,13
14:53:22,90614BC-0x5A,23.15,24.63,26.15,,6696,115,15
14:53:23,90614BC-0x5A,23.15,24.59,25.93,,6696,114,14
14:53:24,90614BC-0x5A,23.15,24.61,25.93,,6696,115,14
14:53:25,90614BC-0x5A,23.15,24.59,25.75,,6696,113,13
14:53:26,90614BC-0x5A,23.11,24.59,25.73,,6695,113,13
14:53:27,90614BC-0x5A,23.17,24.63,25.55,,6697,112,12
14:53:28,90614BC-0x5A,23.17,24.65,25.73,,6697,113,13
14:53:29,90614BC-0x5A,23.15,24.67,25.87,,6696,113,14
