14:54:09,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'9A5C,'93FB,'8DE3,'88AE,'81F3,'DADA,'A8FC,'2075,'BE5A,'0A66,'BA2F,'8E53,'53E3,'002A,'005C,'1CFD,'00C1,'34D7,'8007,'0000,'1C4B,'8011,'E80A,'2280,'928C,'E112
14:54:09,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:54:09,90614BC-0x5A,22.67,24.57,28.29,,6666,147,30
14:54:10,90614BC-0x5A,22.67,24.51,28.27,,6666,144,30
14:54:11,90614BC-0x5A,22.69,24.59,28.13,,6666,145,29
14:54:12,90614BC-0x5A,22.67,24.55,28.05,,6666,143,28
14:54:13,90614BC-0x5A,22.73,24.57,27.83,,6667,141,27
14:54:14,90614BC-0x5A,22.75,24.59,27.95,,6667,141,28
14:54:15,90614BC-0x5A,22.73,24.49,28.11,,6667,137,28
14:54:16,90614BC-0x5A,22.77,24.59,27.83,,6668,138,26
14:54:17,90614BC-0x5A,22.77,24.49,28.03,,6668,135,27
14:54:18,90614BC-0x5A,22.81,24.57,27.91,,6669,136,27
14:54:19,90614BC-0x5A,22.81,24.53,27.37,,6668,134,23
14:54:20,90614BC-0x5A,22.81,24.57,27.53,,6669,134,25
14:54:21,90614BC-0x5A,22.81,24.55,27.35,,6669,131,24
14:54:22,90614BC-0x5A,22.83,24.61,27.13,,6669,133,22
14:54:23,90614BC-0x5A,22.83,24.51,27.53,,6669,129,24
14:54:24,90614BC-0x5A,22.83,24.65,27.27,,6669,130,24
14:54:25,90614BC-0x5A,22.85,24.57,27.55,,6670,129,25
14:54:26,90614BC-0x5A,22.87,24.61,27.37,,6670,131,24
14:54:27,90614BC-0x5A,22.91,24.59,27.17,,6672,125,22
14:54:28,90614BC-0x5A,22.89,24.53,27.45,,6671,126,24
14:54:29,90614BC-0x5A,22.89,24.59,27.13,,6671,126,22
14:54:30,90614BC-0x5A,22.93,24.63,27.29,,6672,125,23
14:54:31,90614BC-0x5A,22.89,24.51,27.15,,6671,122,22
14:54:32,90614BC-0x5A,22.93,24.65,27.01,,6672,123,22
14:54:33,90614BC-0x5A,22.93,24.61,26.71,,6671,123,20
14:54:34,90614BC-0x5A,22.93,24.57,26.87,,6672,120,20
14:54:35,90614BC-0x5A,22.97,24.61,26.73,,6672,120,20
14:54:36,90614BC-0x5A,22.97,24.59,26.75,,6672,119,20
14:54:37,90614BC-0x5A,22.97,24.65,26.67,,6672,119,20
14:54:38,90614BC-0x5A,23.01,24.65,26.71,,6673,119,19
14:54:39,90614BC-0x5A,22.99,24.61,26.87,,6673,119,20
14:54:40,90614BC-0x5A,23.01,24.65,26.65,,6673,116,19
14:54:41,90614BC-0x5A,23.01,24.61,26.37,,6673,113,17
14:54:42,90614BC-0x5A,23.01,24.59,26.19,,6673,115,16
14:54:43,90614BC-0x5A,23.03,24.57,26.75,,6674,113,20
14:54:44,90614BC-0x5A,23.01,24.59,26.67,,6673,114,19
14:54:45,90614BC-0x5A,23.05,24.67,26.29,,6674,116,17
14:54:46,90614BC-0x5A,23.07,24.59,26.55,,6675,112,20
14:54:47,90614BC-0x5A,23.03,24.63,26.29,,6674,111,17
14:54:48,90614BC-0x5A,23.05,24.65,26.25,,6674,113,16
14:54:49,90614BC-0x5A,23.07,24.61,26.01,,6675,109,15
14:54:50,90614BC-0x5A,23.03,24.57,26.53,,6674,110,18
14:54:51,90614BC-0x5A,23.09,24.61,26.57,,6675,108,18
14:54:52,90614BC-0x5A,23.07,24.61,26.17,,6675,110,16
14:54:53,90614BC-0x5A,23.07,24.59,25.99,,6675,108,15
14:54:54,90614BC-0x5A,23.09,24.67,25.99,,6675,107,15
14:54:55,90614BC-0x5A,23.11,24.65,25.79,,6675,107,14
14:54:56,90614BC-0x5A,23.09,24.59,26.47,,6675,106,18
14:54:57,90614BC-0x5A,23.09,24.63,25.83,,6675,106,14
14:54:58,90614BC-0x5A,23.13,24.65,26.21,,6676,105,16
14:54:59,90614BC-0x5A,23.13,24.69,25.89,,6676,109,14
14:55:00,90614BC-0x5A,23.17,24.63,26.39,,6677,104,17
14:55:01,90614BC-0x5A,23.13,24.65,26.03,,6676,105,15
14:55:03,90614BC-0x5A,23.17,24.63,26.25,,6677,105,17
14:55:04,90614BC-0x5A,23.13,24.67,25.73,,6676,105,13
14:55:04,90614BC-0x5A,23.17,24.61,26.01,,6677,103,15
14:55:06,90614BC-0x5A,23.17,24.63,25.85,,6677,101,14
14:55:07,90614BC-0x5A,23.17,24.59,25.75,,6677,100,13
14:55:08,90614BC-0x5A,23.17,24.61,26.17,,6677,101,16
14:55:09,90614BC-0x5A,23.17,24.67,25.51,,6677,100,12
14:55:10,90614BC-0x5A,23.21,24.57,25.97,,6678,101,15
14:55:11,90614BC-0x5A,23.19,24.65,25.43,,6677,97,11
14:55:12,90614BC-0x5A,23.21,24.63,25.45,,6678,98,11
14:55:13,90614BC-0x5A,23.21,24.71,25.31,,6678,99,11
14:55:14,90614BC-0x5A,23.21,24.65,25.43,,6678,98,12
