14:55:50,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8CF4,'8721,'8190,'7CD0,'76AA,'DADA,'A8FC,'2075,'BE5A,'0A66,'B2D9,'8E53,'53E3,'0020,'0054,'1D01,'00C1,'3515,'8005,'0000,'1D49,'8011,'5418,'2278,'928C,'E112
14:55:50,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:55:50,90614BC-0x5A,22.69,24.63,28.01,,6697,161,30
14:55:51,90614BC-0x5A,22.67,24.65,27.71,,6697,161,28
14:55:52,90614BC-0x5A,22.67,24.63,27.65,,6697,157,27
14:55:53,90614BC-0x5A,22.67,24.69,27.91,,6697,160,29
14:55:54,90614BC-0x5A,22.73,24.65,27.95,,6698,156,29
14:55:55,90614BC-0x5A,22.77,24.67,28.33,,6699,157,32
14:55:56,90614BC-0x5A,22.77,24.71,27.91,,6699,156,28
14:55:57,90614BC-0x5A,22.77,24.67,27.83,,6699,154,28
14:55:58,90614BC-0x5A,22.79,24.61,27.83,,6699,151,28
14:55:59,90614BC-0x5A,22.85,24.67,28.07,,6701,152,29
14:56:00,90614BC-0x5A,22.77,24.61,27.61,,6699,148,27
14:56:01,90614BC-0x5A,22.83,24.65,27.49,,6700,149,25
14:56:02,90614BC-0x5A,22.85,24.69,27.59,,6701,150,26
14:56:03,90614BC-0x5A,22.85,24.61,27.97,,6701,147,28
14:56:04,90614BC-0x5A,22.85,24.61,27.63,,6701,143,26
14:56:05,90614BC-0x5A,22.89,24.67,27.69,,6702,145,26
14:56:06,90614BC-0x5A,22.87,24.63,27.61,,6701,143,26
14:56:07,90614BC-0x5A,22.89,24.65,27.57,,6702,142,26
14:56:08,90614BC-0x5A,22.91,24.71,27.83,,6703,143,28
14:56:09,90614BC-0x5A,22.97,24.67,27.29,,6703,139,24
14:56:10,90614BC-0x5A,22.95,24.65,27.01,,6703,139,22
14:56:11,90614BC-0x5A,22.95,24.63,27.61,,6703,138,26
14:56:12,90614BC-0x5A,22.95,24.67,27.11,,6703,137,23
14:56:13,90614BC-0x5A,22.99,24.61,27.47,,6703,136,24
14:56:14,90614BC-0x5A,22.99,24.69,27.25,,6704,138,23
14:56:15,90614BC-0x5A,22.99,24.69,27.23,,6704,135,23
14:56:16,90614BC-0x5A,23.05,24.67,27.25,,6706,132,23
14:56:17,90614BC-0x5A,23.01,24.67,27.01,,6704,132,22
14:56:18,90614BC-0x5A,23.01,24.61,27.13,,6704,133,23
14:56:19,90614BC-0x5A,23.03,24.67,27.45,,6705,131,23
14:56:20,90614BC-0x5A,22.99,24.67,26.71,,6704,129,20
14:56:21,90614BC-0x5A,23.05,24.69,26.57,,6705,129,19
14:56:22,90614BC-0x5A,23.05,24.59,27.27,,6705,125,23
14:56:23,90614BC-0x5A,23.07,24.67,27.19,,6706,125,23
14:56:24,90614BC-0x5A,23.07,24.67,26.57,,6706,125,18
14:56:25,90614BC-0x5A,23.09,24.65,26.83,,6706,124,20
14:56:26,90614BC-0x5A,23.09,24.69,26.95,,6706,126,21
14:56:27,90614BC-0x5A,23.11,24.69,26.87,,6707,123,21
14:56:28,90614BC-0x5A,23.11,24.61,26.97,,6706,121,21
14:56:29,90614BC-0x5A,23.15,24.67,26.75,,6707,119,20
14:56:30,90614BC-0x5A,23.11,24.65,26.71,,6707,121,20
14:56:31,90614BC-0x5A,23.17,24.69,26.59,,6707,121,19
14:56:32,90614BC-0x5A,23.13,24.63,26.65,,6707,118,19
14:56:33,90614BC-0x5A,23.17,24.65,26.47,,6708,119,18
14:56:34,90614BC-0x5A,23.15,24.65,26.53,,6708,119,18
14:56:35,90614BC-0x5A,23.17,24.63,26.99,,6708,118,21
14:56:36,90614BC-0x5A,23.19,24.71,26.57,,6708,117,19
14:56:37,90614BC-0x5A,23.19,24.67,26.39,,6708,115,18
14:56:38,90614BC-0x5A,23.21,24.63,26.41,,6709,115,18
14:56:39,90614BC-0x5A,23.19,24.65,26.33,,6708,112,17
14:56:40,90614BC-0x5A,23.19,24.67,26.17,,6708,111,16
14:56:41,90614BC-0x5A,23.21,24.67,26.19,,6709,112,16
14:56:42,90614BC-0x5A,23.21,24.65,26.43,,6709,112,18
14:56:43,90614BC-0x5A,23.21,24.65,26.37,,6709,110,17
14:56:44,90614BC-0x5A,23.21,24.67,26.11,,6709,112,16
14:56:45,90614BC-0x5A,23.21,24.59,26.59,,6709,109,19
14:56:46,90614BC-0x5A,23.25,24.63,26.09,,6709,111,15
14:56:47,90614BC-0x5A,23.21,24.67,26.03,,6709,110,15
14:56:48,90614BC-0x5A,23.23,24.65,26.27,,6709,106,17
14:56:49,90614BC-0x5A,23.23,24.67,25.81,,6709,109,14
14:56:50,90614BC-0x5A,23.25,24.67,25.85,,6710,106,14
14:56:51,90614BC-0x5A,23.25,24.65,25.99,,6710,108,15
14:56:52,90614BC-0x5A,23.25,24.67,25.91,,6710,108,14
14:56:53,90614BC-0x5A,23.27,24.67,25.89,,6710,108,14
14:56:54,90614BC-0x5A,23.29,24.67,25.91,,6711,104,14
14:56:55,90614BC-0x5A,23.27,24.69,26.09,,6710,105,16
14:56:56,90614BC-0x5A,23.27,24.65,25.97,,6711,103,15
14:56:57,90614BC-0x5A,23.29,24.63,26.23,,6711,103,16
