14:57:49,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8C1A,'8650,'80C8,'7C0F,'75F2,'DADA,'A8FC,'2075,'BE5A,'0A66,'B5F7,'8E53,'53E3,'000C,'003C,'1CFD,'00C1,'34E6,'8001,'0000,'1C4A,'8011,'5C0F,'22A7,'928C,'E112
14:57:49,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:57:49,90614BC-0x5A,22.77,24.57,29.87,,6675,166,41
14:57:50,90614BC-0x5A,22.81,24.63,30.01,,6677,163,42
14:57:51,90614BC-0x5A,22.81,24.59,29.87,,6676,161,40
14:57:52,90614BC-0x5A,22.87,24.63,29.31,,6678,162,39
14:57:53,90614BC-0x5A,22.87,24.63,29.45,,6677,159,38
14:57:54,90614BC-0x5A,22.89,24.59,29.85,,6678,156,40
14:57:55,90614BC-0x5A,22.87,24.57,29.35,,6677,156,37
14:57:56,90614BC-0x5A,22.89,24.61,29.19,,6678,155,36
14:57:57,90614BC-0x5A,22.89,24.55,28.95,,6678,153,34
14:57:58,90614BC-0x5A,22.97,24.65,29.31,,6680,151,37
14:57:59,90614BC-0x5A,22.97,24.63,28.81,,6679,149,34
14:58:00,90614BC-0x5A,22.97,24.63,28.79,,6680,149,33
14:58:01,90614BC-0x5A,22.97,24.59,28.69,,6680,146,32
14:58:02,90614BC-0x5A,22.97,24.65,28.61,,6680,147,32
14:58:03,90614BC-0x5A,22.99,24.67,28.73,,6680,148,33
14:58:04,90614BC-0x5A,23.01,24.67,28.59,,6680,145,32
14:58:05,90614BC-0x5A,23.01,24.65,28.55,,6681,142,32
14:58:07,90614BC-0x5A,23.05,24.73,28.43,,6682,145,30
14:58:07,90614BC-0x5A,23.01,24.67,28.03,,6681,140,28
14:58:08,90614BC-0x5A,23.01,24.57,28.15,,6681,140,29
14:58:09,90614BC-0x5A,23.01,24.67,27.93,,6681,140,28
14:58:10,90614BC-0x5A,23.01,24.67,27.51,,6681,137,25
14:58:12,90614BC-0x5A,23.01,24.63,27.85,,6681,138,27
14:58:12,90614BC-0x5A,23.03,24.61,28.07,,6681,136,29
14:58:14,90614BC-0x5A,23.05,24.65,28.05,,6682,135,29
14:58:15,90614BC-0x5A,23.03,24.67,27.49,,6681,133,25
14:58:16,90614BC-0x5A,23.07,24.67,27.67,,6682,132,26
14:58:17,90614BC-0x5A,23.09,24.69,27.47,,6683,130,25
14:58:18,90614BC-0x5A,23.09,24.67,27.43,,6683,133,24
14:58:19,90614BC-0x5A,23.05,24.67,27.47,,6682,131,25
14:58:20,90614BC-0x5A,23.09,24.67,27.51,,6683,129,25
14:58:21,90614BC-0x5A,23.09,24.71,27.19,,6683,128,23
14:58:22,90614BC-0x5A,23.11,24.71,27.27,,6683,128,21
14:58:23,90614BC-0x5A,23.13,24.67,27.35,,6684,127,24
14:58:24,90614BC-0x5A,23.13,24.67,27.37,,6684,124,24
14:58:25,90614BC-0x5A,23.13,24.65,27.29,,6684,124,24
14:58:26,90614BC-0x5A,23.13,24.69,26.91,,6684,125,21
14:58:27,90614BC-0x5A,23.13,24.63,26.89,,6683,124,21
14:58:28,90614BC-0x5A,23.17,24.63,26.97,,6684,123,21
14:58:29,90614BC-0x5A,23.17,24.61,26.89,,6684,121,20
14:58:30,90614BC-0x5A,23.17,24.67,26.73,,6685,122,20
14:58:31,90614BC-0x5A,23.17,24.63,27.01,,6684,120,22
14:58:32,90614BC-0x5A,23.15,24.71,26.57,,6685,121,19
14:58:33,90614BC-0x5A,23.21,24.69,26.85,,6686,120,21
14:58:34,90614BC-0x5A,23.19,24.73,26.47,,6685,121,18
14:58:35,90614BC-0x5A,23.17,24.67,26.79,,6684,120,21
14:58:36,90614BC-0x5A,23.19,24.71,26.71,,6685,119,20
14:58:37,90614BC-0x5A,23.17,24.65,26.49,,6684,118,18
14:58:38,90614BC-0x5A,23.21,24.67,26.89,,6685,118,21
14:58:39,90614BC-0x5A,23.21,24.71,26.39,,6685,119,18
14:58:40,90614BC-0x5A,23.21,24.63,26.61,,6685,114,19
14:58:41,90614BC-0x5A,23.21,24.75,26.23,,6686,117,17
14:58:42,90614BC-0x5A,23.21,24.71,26.51,,6686,117,19
14:58:43,90614BC-0x5A,23.21,24.69,26.45,,6686,114,18
14:58:44,90614BC-0x5A,23.21,24.69,26.33,,6685,115,17
14:58:45,90614BC-0x5A,23.21,24.67,26.49,,6686,115,18
14:58:46,90614BC-0x5A,23.23,24.69,26.21,,6686,114,16
14:58:47,90614BC-0x5A,23.23,24.65,26.37,,6686,112,18
14:58:48,90614BC-0x5A,23.23,24.75,26.13,,6686,114,17
14:58:49,90614BC-0x5A,23.21,24.69,26.11,,6686,114,16
14:58:50,90614BC-0x5A,23.25,24.65,26.25,,6686,108,17
14:58:51,90614BC-0x5A,23.23,24.75,25.79,,6686,113,14
14:58:52,90614BC-0x5A,23.29,24.75,25.85,,6687,110,14
14:58:53,90614BC-0x5A,23.27,24.69,26.03,,6687,112,15
14:58:54,90614BC-0x5A,23.25,24.71,26.49,,6686,110,19
