14:59:28,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'FA71,'F018,'E634,'DDC3,'D2D6,'DADA,'A8FC,'2075,'BE5A,'0A66,'9E10,'9653,'53E3,'0021,'004A,'1D17,'00C2,'3526,'0002,'0000,'1D4E,'8011,'9014,'22A0,'928C,'E112
14:59:28,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:59:28,90614BC-0x5A,22.63,24.67,32.61,,6704,215,56
14:59:29,90614BC-0x5A,22.67,24.69,32.69,,6705,212,57
14:59:30,90614BC-0x5A,22.67,24.65,32.69,,6705,211,57
14:59:31,90614BC-0x5A,22.71,24.65,32.13,,6706,208,53
14:59:32,90614BC-0x5A,22.73,24.65,32.19,,6706,204,54
14:59:33,90614BC-0x5A,22.77,24.67,32.17,,6706,201,54
14:59:34,90614BC-0x5A,22.79,24.63,31.69,,6708,197,50
14:59:35,90614BC-0x5A,22.79,24.69,31.49,,6708,196,49
14:59:36,90614BC-0x5A,22.85,24.65,31.45,,6709,190,48
14:59:37,90614BC-0x5A,22.85,24.63,31.25,,6709,187,47
14:59:38,90614BC-0x5A,22.87,24.71,30.85,,6710,186,44
14:59:39,90614BC-0x5A,22.89,24.67,30.71,,6710,179,44
14:59:40,90614BC-0x5A,22.93,24.63,30.83,,6711,178,44
14:59:41,90614BC-0x5A,22.91,24.61,30.27,,6710,174,40
14:59:42,90614BC-0x5A,22.95,24.65,30.33,,6711,174,42
14:59:43,90614BC-0x5A,22.95,24.65,30.13,,6711,172,40
14:59:44,90614BC-0x5A,22.97,24.65,29.77,,6712,167,38
14:59:45,90614BC-0x5A,22.97,24.73,29.25,,6712,167,34
14:59:46,90614BC-0x5A,23.01,24.69,29.69,,6712,164,37
14:59:47,90614BC-0x5A,23.03,24.63,29.47,,6713,158,35
14:59:48,90614BC-0x5A,23.05,24.69,29.67,,6713,158,38
14:59:49,90614BC-0x5A,23.05,24.69,28.93,,6713,157,32
14:59:50,90614BC-0x5A,23.09,24.71,29.03,,6714,156,33
14:59:51,90614BC-0x5A,23.07,24.71,29.01,,6714,155,33
14:59:52,90614BC-0x5A,23.09,24.65,28.43,,6714,150,29
14:59:53,90614BC-0x5A,23.11,24.69,28.73,,6715,150,32
14:59:54,90614BC-0x5A,23.11,24.65,28.33,,6715,149,28
14:59:55,90614BC-0x5A,23.11,24.65,28.13,,6715,144,28
14:59:56,90614BC-0x5A,23.11,24.67,27.91,,6715,145,26
14:59:57,90614BC-0x5A,23.15,24.65,27.77,,6716,141,25
14:59:58,90614BC-0x5A,23.17,24.67,28.11,,6716,139,27
14:59:59,90614BC-0x5A,23.15,24.63,27.83,,6716,137,26
15:00:00,90614BC-0x5A,23.17,24.67,27.59,,6716,136,24
15:00:01,90614BC-0x5A,23.17,24.65,27.73,,6716,135,25
15:00:02,90614BC-0x5A,23.17,24.63,27.45,,6716,133,24
15:00:03,90614BC-0x5A,23.21,24.67,27.19,,6717,133,21
15:00:04,90614BC-0x5A,23.21,24.71,27.05,,6717,132,21
15:00:05,90614BC-0x5A,23.23,24.69,27.07,,6717,129,21
15:00:06,90614BC-0x5A,23.23,24.63,27.19,,6717,126,22
15:00:07,90614BC-0x5A,23.23,24.65,26.97,,6717,125,20
15:00:08,90614BC-0x5A,23.23,24.61,26.75,,6717,124,19
15:00:09,90614BC-0x5A,23.23,24.61,26.95,,6718,122,20
15:00:10,90614BC-0x5A,23.27,24.67,27.07,,6718,123,21
15:00:11,90614BC-0x5A,23.25,24.69,26.69,,6718,123,19
15:00:12,90614BC-0x5A,23.29,24.65,26.31,,6719,121,16
15:00:13,90614BC-0x5A,23.27,24.67,26.57,,6719,119,18
15:00:14,90614BC-0x5A,23.31,24.65,26.81,,6719,119,20
15:00:15,90614BC-0x5A,23.29,24.65,26.39,,6719,118,17
15:00:16,90614BC-0x5A,23.29,24.65,26.57,,6718,117,18
15:00:17,90614BC-0x5A,23.31,24.67,26.25,,6719,118,16
15:00:18,90614BC-0x5A,23.29,24.63,26.27,,6719,114,16
15:00:19,90614BC-0x5A,23.31,24.67,25.91,,6720,112,14
15:00:20,90614BC-0x5A,23.31,24.65,26.17,,6720,114,15
15:00:21,90614BC-0x5A,23.31,24.59,26.29,,6719,111,17
15:00:22,90614BC-0x5A,23.33,24.63,25.95,,6720,110,14
15:00:23,90614BC-0x5A,23.35,24.61,25.97,,6720,109,14
15:00:24,90614BC-0x5A,23.33,24.63,26.13,,6720,109,16
15:00:25,90614BC-0x5A,23.35,24.71,25.21,,6720,110,10
15:00:26,90614BC-0x5A,23.33,24.63,25.71,,6720,106,13
15:00:27,90614BC-0x5A,23.37,24.71,25.45,,6721,110,11
15:00:28,90614BC-0x5A,23.33,24.63,25.55,,6720,106,12
15:00:29,90614BC-0x5A,23.35,24.63,25.31,,6721,104,10
15:00:30,90614BC-0x5A,23.37,24.65,25.09,,6721,104,9
15:00:31,90614BC-0x5A,23.37,24.61,25.35,,6721,104,11
15:00:32,90614BC-0x5A,23.35,24.59,25.49,,6720,103,12
