15:01:03,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'8E78,'8896,'82F5,'7E28,'77F1,'DADA,'A8FC,'2075,'BE5A,'0A66,'BC27,'8E53,'53E3,'0021,'0052,'1D02,'00C1,'3507,'8006,'0000,'1D4F,'8011,'FC14,'2276,'928C,'E112
15:01:03,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
15:01:04,90614BC-0x5A,22.55,24.57,30.83,,6687,187,48
15:01:05,90614BC-0x5A,22.57,24.59,30.59,,6687,184,47
15:01:06,90614BC-0x5A,22.59,24.57,30.73,,6688,185,47
15:01:07,90614BC-0x5A,22.59,24.57,30.75,,6688,182,47
15:01:08,90614BC-0x5A,22.67,24.59,30.55,,6690,179,46
15:01:09,90614BC-0x5A,22.65,24.57,30.51,,6689,177,46
15:01:10,90614BC-0x5A,22.67,24.57,30.43,,6690,176,46
15:01:11,90614BC-0x5A,22.71,24.59,30.27,,6691,174,44
15:01:12,90614BC-0x5A,22.71,24.57,30.49,,6690,170,46
15:01:13,90614BC-0x5A,22.75,24.65,30.13,,6692,170,43
15:01:14,90614BC-0x5A,22.75,24.61,30.17,,6691,169,44
15:01:15,90614BC-0x5A,22.81,24.57,29.81,,6692,164,41
15:01:16,90614BC-0x5A,22.79,24.61,29.73,,6692,162,40
15:01:17,90614BC-0x5A,22.81,24.55,29.53,,6693,159,39
15:01:18,90614BC-0x5A,22.83,24.59,29.57,,6693,159,39
15:01:19,90614BC-0x5A,22.83,24.59,29.09,,6693,156,36
15:01:20,90614BC-0x5A,22.87,24.61,29.31,,6694,157,37
15:01:21,90614BC-0x5A,22.87,24.59,29.13,,6694,154,37
15:01:22,90614BC-0x5A,22.89,24.59,28.75,,6695,152,36
15:01:23,90614BC-0x5A,22.91,24.57,29.11,,6695,149,37
15:01:24,90614BC-0x5A,22.93,24.61,28.29,,6695,149,30
15:01:25,90614BC-0x5A,22.95,24.57,28.97,,6696,145,35
15:01:26,90614BC-0x5A,22.97,24.61,28.79,,6696,145,34
15:01:27,90614BC-0x5A,22.97,24.61,28.65,,6696,143,33
15:01:28,90614BC-0x5A,22.97,24.61,28.83,,6697,143,34
15:01:29,90614BC-0x5A,23.01,24.61,28.57,,6697,142,32
15:01:30,90614BC-0x5A,23.01,24.59,28.31,,6697,135,31
15:01:31,90614BC-0x5A,23.03,24.61,28.03,,6697,137,29
15:01:32,90614BC-0x5A,22.99,24.65,28.41,,6697,138,31
15:01:33,90614BC-0x5A,23.03,24.63,27.93,,6698,134,28
15:01:34,90614BC-0x5A,23.05,24.65,27.91,,6698,133,28
15:01:35,90614BC-0x5A,23.07,24.57,28.33,,6699,132,31
15:01:36,90614BC-0x5A,23.07,24.61,28.09,,6699,131,29
15:01:37,90614BC-0x5A,23.09,24.65,27.49,,6699,128,25
15:01:38,90614BC-0x5A,23.09,24.65,27.65,,6699,130,26
15:01:39,90614BC-0x5A,23.11,24.63,27.35,,6700,127,24
15:01:40,90614BC-0x5A,23.11,24.63,27.45,,6700,126,25
15:01:41,90614BC-0x5A,23.13,24.67,27.43,,6700,125,25
15:01:42,90614BC-0x5A,23.15,24.67,27.19,,6700,126,23
15:01:43,90614BC-0x5A,23.13,24.61,27.27,,6700,121,24
15:01:44,90614BC-0x5A,23.15,24.61,27.01,,6700,123,22
15:01:45,90614BC-0x5A,23.17,24.59,27.15,,6701,121,22
15:01:46,90614BC-0x5A,23.19,24.61,27.21,,6701,120,23
15:01:47,90614BC-0x5A,23.19,24.65,27.05,,6701,117,22
15:01:48,90614BC-0x5A,23.21,24.67,27.03,,6702,119,22
15:01:49,90614BC-0x5A,23.17,24.61,26.81,,6701,115,20
15:01:50,90614BC-0x5A,23.19,24.63,26.61,,6701,113,19
15:01:51,90614BC-0x5A,23.21,24.61,26.73,,6702,114,20
15:01:52,90614BC-0x5A,23.21,24.61,26.75,,6702,111,20
15:01:53,90614BC-0x5A,23.21,24.59,26.25,,6702,111,17
15:01:54,90614BC-0x5A,23.21,24.67,26.61,,6702,111,19
15:01:55,90614BC-0x5A,23.25,24.63,26.79,,6703,111,21
15:01:56,90614BC-0x5A,23.25,24.57,26.91,,6703,109,22
15:01:57,90614BC-0x5A,23.23,24.65,26.55,,6702,110,19
15:01:58,90614BC-0x5A,23.23,24.65,26.43,,6702,109,17
15:01:59,90614BC-0x5A,23.27,24.69,26.19,,6703,108,16
15:02:00,90614BC-0x5A,23.27,24.67,26.19,,6703,109,17
15:02:01,90614BC-0x5A,23.27,24.65,26.41,,6703,105,18
15:02:02,90614BC-0x5A,23.27,24.57,26.73,,6703,104,20
15:02:03,90614BC-0x5A,23.27,24.63,26.45,,6703,107,18
15:02:04,90614BC-0x5A,23.29,24.65,26.07,,6703,105,16
15:02:05,90614BC-0x5A,23.31,24.63,26.03,,6704,102,15
15:02:06,90614BC-0x5A,23.31,24.67,25.65,,6704,103,13
15:02:07,90614BC-0x5A,23.29,24.65,26.07,,6704,102,16
15:02:08,90614BC-0x5A,23.31,24.65,25.71,,6704,102,13
15:02:09,90614BC-0x5A,23.29,24.59,26.01,,6704,100,15
15:02:10,90614BC-0x5A,23.33,24.61,26.01,,6704,98,15
15:02:11,90614BC-0x5A,23.31,24.67,25.97,,6704,101,15
15:02:12,90614BC-0x5A,23.33,24.59,25.93,,6705,96,15
