14:27:17,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'E22A,'DCBC,'D309,'CBE7,'C327,'8600,'4B75,'2032,'BE5A,'0733,'D38F,'8E13,'53E3,'8016,'0005,'1D05,'00C1,'34E0,'0014,'0000,'1D4A,'8011,'F40F,'E5CA,'5003,'E140
14:27:17,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:27:17,90614BC-0x5A,21.99,24.81,21.83,33.00,6655,105,-1
14:27:18,90614BC-0x5A,22.03,24.79,22.01,33.00,6655,105,0
14:27:19,90614BC-0x5A,22.03,24.79,22.07,33.00,6656,104,0
14:27:20,90614BC-0x5A,22.01,24.79,22.61,33.00,6655,104,2
14:27:21,90614BC-0x5A,22.03,24.81,22.63,33.00,6655,108,3
14:27:22,90614BC-0x5A,22.03,24.89,22.35,33.00,6655,107,2
14:27:23,90614BC-0x5A,22.03,24.79,22.85,33.00,6656,105,3
14:27:24,90614BC-0x5A,22.03,24.79,22.67,33.00,6656,106,2
14:27:25,90614BC-0x5A,22.07,24.77,22.73,33.00,6656,105,3
14:27:26,90614BC-0x5A,22.03,24.77,22.53,33.00,6656,106,2
14:27:27,90614BC-0x5A,22.03,24.83,22.87,33.00,6656,108,3
14:27:28,90614BC-0x5A,22.03,24.71,22.89,33.00,6656,103,3
14:27:29,90614BC-0x5A,22.03,24.81,22.71,33.00,6655,107,2
14:27:30,90614BC-0x5A,22.07,24.79,23.21,33.00,6656,105,5
14:27:31,90614BC-0x5A,22.03,24.77,22.71,33.00,6656,105,2
14:27:32,90614BC-0x5A,22.03,24.75,23.01,33.00,6655,105,4
14:27:33,90614BC-0x5A,22.07,24.81,23.33,33.00,6656,106,5
14:27:34,90614BC-0x5A,22.07,24.81,23.47,33.00,6656,107,6
14:27:35,90614BC-0x5A,22.07,24.81,23.31,33.00,6656,108,5
14:27:36,90614BC-0x5A,22.07,24.81,23.07,33.00,6656,108,4
14:27:37,90614BC-0x5A,22.05,24.77,23.03,33.00,6656,105,4
14:27:38,90614BC-0x5A,22.09,24.83,23.41,33.00,6657,108,5
14:27:39,90614BC-0x5A,22.09,24.81,23.45,33.00,6657,107,6
14:27:40,90614BC-0x5A,22.07,24.83,23.51,33.00,6656,108,6
14:27:41,90614BC-0x5A,22.09,24.83,23.15,33.00,6657,108,4
14:27:42,90614BC-0x5A,22.07,24.69,24.19,33.00,6657,107,9
14:27:43,90614BC-0x5A,22.07,24.75,23.75,33.00,6656,108,7
14:27:44,90614BC-0x5A,22.07,24.75,23.51,33.00,6656,106,5
14:27:45,90614BC-0x5A,22.09,24.73,24.05,33.00,6657,106,8
14:27:46,90614BC-0x5A,22.09,24.83,23.99,33.00,6657,107,8
14:27:47,90614BC-0x5A,22.11,24.81,23.55,33.00,6657,108,5
14:27:48,90614BC-0x5A,22.09,24.77,23.33,33.00,6657,108,4
14:27:49,90614BC-0x5A,22.09,24.71,24.09,33.00,6657,106,8
14:27:50,90614BC-0x5A,22.09,24.75,24.25,33.00,6657,106,9
14:27:51,90614BC-0x5A,22.09,24.85,23.45,33.00,6657,110,7
14:27:52,90614BC-0x5A,22.09,24.75,24.03,33.00,6657,107,7
14:27:54,90614BC-0x5A,22.11,24.69,23.89,33.00,6657,106,7
14:27:54,90614BC-0x5A,22.09,24.79,23.71,33.00,6657,108,6
14:27:56,90614BC-0x5A,22.11,24.75,24.11,33.00,6657,108,8
14:27:56,90614BC-0x5A,22.09,24.75,23.51,33.00,6657,106,6
14:27:58,90614BC-0x5A,22.11,24.77,23.79,33.00,6657,108,7
14:27:59,90614BC-0x5A,22.11,24.75,24.15,33.00,6657,108,8
14:28:00,90614BC-0x5A,22.09,24.69,23.93,33.00,6657,107,7
14:28:01,90614BC-0x5A,22.09,24.75,24.03,33.00,6657,108,7
14:28:02,90614BC-0x5A,22.11,24.83,24.23,33.00,6657,109,9
14:28:03,90614BC-0x5A,22.09,24.69,24.13,33.00,6657,105,8
14:28:04,90614BC-0x5A,22.11,24.73,23.71,33.00,6657,108,6
14:28:05,90614BC-0x5A,22.11,24.75,24.25,33.00,6657,107,9
14:28:06,90614BC-0x5A,22.11,24.75,23.75,33.00,6657,106,6
14:28:07,90614BC-0x5A,22.09,24.79,24.01,33.00,6658,108,7
14:28:08,90614BC-0x5A,22.11,24.75,23.63,33.00,6657,109,5
14:28:09,90614BC-0x5A,22.11,24.81,24.53,33.00,6657,109,10
14:28:10,90614BC-0x5A,22.09,24.73,24.39,33.00,6657,108,9
14:28:11,90614BC-0x5A,22.09,24.73,24.41,33.00,6657,108,9
14:28:12,90614BC-0x5A,22.11,24.67,24.77,33.00,6657,107,11
14:28:13,90614BC-0x5A,22.11,24.75,24.23,33.00,6657,108,8
