14:29:47,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'F851,'B775,'EDC4,'E810,'DDDD,'D65E,'CD2A,'8600,'4B75,'2032,'BE5A,'076C,'DDAE,'8E13,'53E3,'8002,'0018,'1D01,'00C1,'34EB,'0014,'0000,'1C46,'8011,'F014,'E5DE,'5003,'E140
14:29:47,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:29:48,90614BC-0x5A,22.53,24.93,26.45,33.00,6672,100,15
14:29:49,90614BC-0x5A,22.51,24.91,26.49,33.00,6672,98,15
14:29:50,90614BC-0x5A,22.49,24.95,26.49,33.00,6671,100,16
14:29:51,90614BC-0x5A,22.51,24.95,26.97,33.00,6672,99,17
14:29:52,90614BC-0x5A,22.55,24.93,26.99,33.00,6673,99,17
14:29:53,90614BC-0x5A,22.53,24.97,26.31,33.00,6672,99,14
14:29:54,90614BC-0x5A,22.55,24.93,27.05,33.00,6673,100,17
14:29:55,90614BC-0x5A,22.53,24.99,26.93,33.00,6672,101,17
14:29:56,90614BC-0x5A,22.55,25.03,27.05,33.00,6673,101,18
14:29:57,90614BC-0x5A,22.55,25.01,27.07,33.00,6673,101,17
14:29:58,90614BC-0x5A,22.57,24.99,26.89,33.00,6674,100,17
14:29:59,90614BC-0x5A,22.51,24.93,26.81,33.00,6672,98,17
14:30:00,90614BC-0x5A,22.57,24.97,27.03,33.00,6673,100,18
14:30:01,90614BC-0x5A,22.57,24.91,26.91,33.00,6673,99,16
14:30:02,90614BC-0x5A,22.55,24.89,26.43,33.00,6673,98,15
14:30:03,90614BC-0x5A,22.55,24.97,26.85,33.00,6673,99,16
14:30:04,90614BC-0x5A,22.55,24.97,27.07,33.00,6673,100,18
14:30:05,90614BC-0x5A,22.53,24.97,26.47,33.00,6673,98,16
14:30:06,90614BC-0x5A,22.53,24.89,26.89,33.00,6672,99,16
14:30:07,90614BC-0x5A,22.53,24.91,26.51,33.00,6673,99,15
14:30:08,90614BC-0x5A,22.55,24.93,26.57,33.00,6673,98,16
14:30:09,90614BC-0x5A,22.57,24.95,26.85,33.00,6673,99,17
14:30:10,90614BC-0x5A,22.55,24.97,26.41,33.00,6673,100,15
14:30:11,90614BC-0x5A,22.57,24.91,26.63,33.00,6673,99,16
14:30:12,90614BC-0x5A,22.53,24.97,27.03,33.00,6673,100,17
14:30:13,90614BC-0x5A,22.55,24.95,27.19,33.00,6673,100,18
14:30:14,90614BC-0x5A,22.57,24.93,26.95,33.00,6673,100,17
14:30:15,90614BC-0x5A,22.55,24.91,26.93,33.00,6673,99,16
14:30:16,90614BC-0x5A,22.57,24.89,27.87,33.00,6673,98,21
14:30:17,90614BC-0x5A,22.55,24.91,26.97,33.00,6673,98,17
14:30:18,90614BC-0x5A,22.55,24.95,27.11,33.00,6673,100,18
14:30:19,90614BC-0x5A,22.53,24.93,27.37,33.00,6672,100,19
14:30:20,90614BC-0x5A,22.57,24.91,27.17,33.00,6673,98,18
14:30:21,90614BC-0x5A,22.57,25.05,27.03,33.00,6673,102,17
14:30:22,90614BC-0x5A,22.53,24.91,27.63,33.00,6673,100,20
14:30:23,90614BC-0x5A,22.57,25.05,26.79,33.00,6673,102,16
14:30:24,90614BC-0x5A,22.57,24.91,27.23,33.00,6673,99,18
14:30:25,90614BC-0x5A,22.57,24.89,27.17,33.00,6673,97,18
14:30:26,90614BC-0x5A,22.59,24.95,27.09,33.00,6674,99,17
14:30:27,90614BC-0x5A,22.61,24.99,27.17,33.00,6674,99,17
14:30:28,90614BC-0x5A,22.57,24.95,27.17,33.00,6673,100,17
14:30:29,90614BC-0x5A,22.55,24.93,26.93,33.00,6673,98,17
14:30:30,90614BC-0x5A,22.55,24.93,27.07,33.00,6673,97,18
14:30:31,90614BC-0x5A,22.55,24.91,27.03,33.00,6673,98,17
14:30:32,90614BC-0x5A,22.59,24.87,26.67,33.00,6674,96,16
14:30:33,90614BC-0x5A,22.59,24.93,27.31,33.00,6674,99,19
14:30:34,90614BC-0x5A,22.57,24.91,27.67,33.00,6674,98,20
14:30:35,90614BC-0x5A,22.59,24.97,27.07,33.00,6674,98,17
14:30:36,90614BC-0x5A,22.57,24.97,26.97,33.00,6673,99,16
14:30:37,90614BC-0x5A,22.57,25.01,26.97,33.00,6673,100,17
14:30:38,90614BC-0x5A,22.59,24.91,27.15,33.00,6674,97,18
14:30:39,90614BC-0x5A,22.57,24.83,27.55,33.00,6673,96,19
14:30:40,90614BC-0x5A,22.57,24.95,26.87,33.00,6673,98,16
14:30:41,90614BC-0x5A,22.57,24.91,27.09,33.00,6673,98,17
14:30:42,90614BC-0x5A,22.61,25.05,26.95,33.00,6674,102,17
14:30:43,90614BC-0x5A,22.57,24.95,27.63,33.00,6674,98,17
14:30:44,90614BC-0x5A,22.57,24.93,27.19,33.00,6673,97,18
14:30:45,90614BC-0x5A,22.63,24.99,26.99,33.00,6675,97,16
14:30:46,90614BC-0x5A,22.57,24.91,27.51,33.00,6673,100,19
14:30:47,90614BC-0x5A,22.63,25.01,27.07,33.00,6675,100,18
14:30:48,90614BC-0x5A,22.57,24.85,27.33,33.00,6673,96,18
14:30:49,90614BC-0x5A,22.59,24.93,27.29,33.00,6674,99,18
14:30:50,90614BC-0x5A,22.59,24.93,27.45,33.00,6674,99,19
14:30:51,90614BC-0x5A,22.59,24.99,26.47,33.00,6674,98,15
