14:31:52,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'EB8D,'E5E6,'DBCC,'D45E,'CB41,'8600,'4B75,'2032,'BE5A,'0733,'BF92,'8E13,'53E3,'8001,'001D,'1D29,'00C1,'3504,'0014,'0000,'1C4C,'8011,'A008,'E5E6,'5003,'E140
14:31:52,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:31:52,90614BC-0x5A,22.33,24.73,25.95,33.00,6680,99,12
14:31:53,90614BC-0x5A,22.35,24.81,26.61,33.00,6680,102,15
14:31:54,90614BC-0x5A,22.31,24.77,25.99,33.00,6679,100,13
14:31:55,90614BC-0x5A,22.33,24.73,26.27,33.00,6680,99,13
14:31:56,90614BC-0x5A,22.35,24.75,26.05,33.00,6680,101,12
14:31:57,90614BC-0x5A,22.35,24.71,26.43,33.00,6680,100,14
14:31:58,90614BC-0x5A,22.33,24.73,26.27,33.00,6680,99,14
14:31:59,90614BC-0x5A,22.35,24.75,26.49,33.00,6680,100,15
14:32:00,90614BC-0x5A,22.33,24.77,26.25,33.00,6680,100,14
14:32:01,90614BC-0x5A,22.37,24.73,27.09,33.00,6681,100,17
14:32:02,90614BC-0x5A,22.35,24.75,26.75,33.00,6680,100,15
14:32:03,90614BC-0x5A,22.35,24.79,26.43,33.00,6680,100,14
14:32:04,90614BC-0x5A,22.37,24.73,26.93,33.00,6681,100,16
14:32:05,90614BC-0x5A,22.35,24.77,26.71,33.00,6680,101,15
14:32:06,90614BC-0x5A,22.37,24.73,26.17,33.00,6681,100,13
14:32:07,90614BC-0x5A,22.35,24.77,26.75,33.00,6680,100,15
14:32:08,90614BC-0x5A,22.37,24.79,26.51,33.00,6681,102,15
14:32:09,90614BC-0x5A,22.37,24.77,26.73,33.00,6681,100,15
14:32:10,90614BC-0x5A,22.35,24.79,26.39,33.00,6680,102,14
14:32:11,90614BC-0x5A,22.35,24.77,26.39,33.00,6680,103,14
14:32:12,90614BC-0x5A,22.37,24.73,27.19,33.00,6681,100,17
14:32:13,90614BC-0x5A,22.35,24.75,26.83,33.00,6680,100,15
14:32:14,90614BC-0x5A,22.33,24.67,26.85,33.00,6680,101,15
14:32:15,90614BC-0x5A,22.37,24.75,26.91,33.00,6681,100,16
14:32:16,90614BC-0x5A,22.35,24.75,26.85,33.00,6680,101,16
14:32:17,90614BC-0x5A,22.33,24.75,26.39,33.00,6680,100,13
14:32:18,90614BC-0x5A,22.37,24.79,26.61,33.00,6681,100,13
14:32:19,90614BC-0x5A,22.39,24.77,26.43,33.00,6681,100,14
14:32:20,90614BC-0x5A,22.37,24.77,26.67,33.00,6681,100,15
14:32:21,90614BC-0x5A,22.37,24.77,26.57,33.00,6681,101,14
14:32:22,90614BC-0x5A,22.39,24.83,26.53,33.00,6681,103,14
14:32:23,90614BC-0x5A,22.39,24.71,26.69,33.00,6680,100,15
14:32:24,90614BC-0x5A,22.37,24.81,26.73,33.00,6681,101,15
14:32:25,90614BC-0x5A,22.37,24.75,26.49,33.00,6681,100,14
14:32:26,90614BC-0x5A,22.37,24.77,26.65,33.00,6681,100,15
14:32:27,90614BC-0x5A,22.37,24.81,26.99,33.00,6681,101,16
14:32:28,90614BC-0x5A,22.37,24.77,27.01,33.00,6681,100,16
14:32:29,90614BC-0x5A,22.37,24.79,26.73,33.00,6681,101,15
14:32:30,90614BC-0x5A,22.39,24.81,26.65,33.00,6681,103,14
14:32:31,90614BC-0x5A,22.37,24.75,26.55,33.00,6681,100,14
14:32:32,90614BC-0x5A,22.35,24.75,26.83,33.00,6681,100,15
14:32:33,90614BC-0x5A,22.37,24.75,26.93,33.00,6681,100,16
14:32:34,90614BC-0x5A,22.41,24.81,26.49,33.00,6681,101,14
14:32:35,90614BC-0x5A,22.39,24.75,27.05,33.00,6681,101,16
14:32:36,90614BC-0x5A,22.37,24.69,26.83,33.00,6681,100,15
14:32:37,90614BC-0x5A,22.39,24.79,26.79,33.00,6681,100,15
14:32:38,90614BC-0x5A,22.37,24.73,26.79,33.00,6681,99,15
14:32:39,90614BC-0x5A,22.39,24.75,26.89,33.00,6681,100,16
14:32:40,90614BC-0x5A,22.37,24.75,26.79,33.00,6681,100,15
14:32:41,90614BC-0x5A,22.39,24.77,27.13,33.00,6681,101,17
14:32:42,90614BC-0x5A,22.39,24.73,26.99,33.00,6681,99,16
14:32:43,90614BC-0x5A,22.37,24.75,26.73,33.00,6681,98,15
14:32:44,90614BC-0x5A,22.37,24.71,26.97,33.00,6681,100,17
14:32:45,90614BC-0x5A,22.37,24.75,26.79,33.00,6681,100,15
14:32:46,90614BC-0x5A,22.39,24.77,26.15,33.00,6681,98,13
14:32:47,90614BC-0x5A,22.39,24.77,26.49,33.00,6681,100,14
14:32:48,90614BC-0x5A,22.41,24.83,26.07,33.00,6682,101,12
14:32:49,90614BC-0x5A,22.39,24.73,26.79,33.00,6681,97,16
14:32:50,90614BC-0x5A,22.41,24.73,26.97,33.00,6681,99,16
14:32:51,90614BC-0x5A,22.37,24.81,26.59,33.00,6681,100,15
14:32:52,90614BC-0x5A,22.39,24.75,26.03,33.00,6681,99,12
14:32:53,90614BC-0x5A,22.41,24.69,26.59,33.00,6682,97,14
14:32:54,90614BC-0x5A,22.37,24.75,26.85,33.00,6682,98,16
