14:33:58,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'E889,'E2F5,'D8FB,'D1A7,'C8A7,'8600,'4B75,'2032,'BE5A,'0733,'F7B5,'8E13,'53E3,'8012,'0004,'1D06,'00C1,'34DE,'0017,'0000,'1E4E,'8011,'140F,'E5AB,'5003,'E140
14:33:58,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:33:58,90614BC-0x5A,22.51,24.67,26.15,33.00,6665,94,17
14:33:59,90614BC-0x5A,22.49,24.73,26.27,33.00,6665,97,17
14:34:00,90614BC-0x5A,22.47,24.63,25.95,33.00,6664,95,15
14:34:01,90614BC-0x5A,22.51,24.73,26.03,33.00,6665,95,16
14:34:02,90614BC-0x5A,22.49,24.79,26.11,33.00,6665,98,17
14:34:03,90614BC-0x5A,22.49,24.67,26.21,33.00,6665,95,17
14:34:04,90614BC-0x5A,22.49,24.71,25.61,33.00,6665,96,14
14:34:05,90614BC-0x5A,22.51,24.69,26.41,33.00,6666,94,18
14:34:06,90614BC-0x5A,22.51,24.75,25.49,33.00,6665,96,13
14:34:07,90614BC-0x5A,22.51,24.77,26.07,33.00,6666,95,17
14:34:08,90614BC-0x5A,22.49,24.67,26.11,33.00,6665,95,16
14:34:09,90614BC-0x5A,22.49,24.67,25.87,33.00,6665,95,15
14:34:10,90614BC-0x5A,22.51,24.69,25.93,33.00,6665,95,15
14:34:11,90614BC-0x5A,22.51,24.73,26.07,33.00,6665,94,17
14:34:12,90614BC-0x5A,22.51,24.67,26.33,33.00,6665,95,17
14:34:13,90614BC-0x5A,22.51,24.73,26.15,33.00,6666,96,16
14:34:14,90614BC-0x5A,22.49,24.65,26.09,33.00,6665,93,16
14:34:15,90614BC-0x5A,22.51,24.65,25.87,33.00,6665,94,15
14:34:16,90614BC-0x5A,22.51,24.71,25.43,33.00,6665,95,13
14:34:17,90614BC-0x5A,22.51,24.63,26.05,33.00,6665,94,16
14:34:18,90614BC-0x5A,22.51,24.75,25.93,33.00,6665,95,15
14:34:19,90614BC-0x5A,22.51,24.65,26.17,33.00,6665,93,17
14:34:20,90614BC-0x5A,22.51,24.61,26.13,33.00,6665,92,16
14:34:21,90614BC-0x5A,22.49,24.71,26.15,33.00,6665,96,16
14:34:22,90614BC-0x5A,22.49,24.67,26.13,33.00,6665,94,14
14:34:23,90614BC-0x5A,22.51,24.73,25.43,33.00,6665,94,13
14:34:24,90614BC-0x5A,22.49,24.67,25.91,33.00,6665,94,15
14:34:25,90614BC-0x5A,22.51,24.67,26.05,33.00,6666,94,16
14:34:26,90614BC-0x5A,22.49,24.73,25.73,33.00,6665,96,15
14:34:27,90614BC-0x5A,22.51,24.63,26.19,33.00,6666,93,16
14:34:28,90614BC-0x5A,22.51,24.71,25.65,33.00,6665,95,14
14:34:29,90614BC-0x5A,22.51,24.65,25.45,33.00,6665,93,13
14:34:30,90614BC-0x5A,22.51,24.67,25.93,33.00,6665,94,15
14:34:31,90614BC-0x5A,22.51,24.71,26.03,33.00,6665,96,16
14:34:32,90614BC-0x5A,22.53,24.65,26.11,33.00,6666,92,16
14:34:33,90614BC-0x5A,22.51,24.75,25.91,33.00,6666,95,15
14:34:34,90614BC-0x5A,22.51,24.71,26.03,33.00,6665,95,16
14:34:35,90614BC-0x5A,22.53,24.65,25.73,33.00,6666,93,14
14:34:36,90614BC-0x5A,22.51,24.71,25.59,33.00,6666,93,14
14:34:37,90614BC-0x5A,22.51,24.67,25.73,33.00,6665,95,14
14:34:38,90614BC-0x5A,22.53,24.71,26.09,33.00,6666,96,16
14:34:39,90614BC-0x5A,22.51,24.71,26.17,33.00,6665,96,17
14:34:40,90614BC-0x5A,22.53,24.73,25.93,33.00,6666,94,15
14:34:41,90614BC-0x5A,22.51,24.61,26.03,33.00,6665,92,16
14:34:42,90614BC-0x5A,22.53,24.67,26.35,33.00,6666,94,17
14:34:43,90614BC-0x5A,22.53,24.75,25.81,33.00,6666,96,14
14:34:44,90614BC-0x5A,22.51,24.63,26.09,33.00,6666,93,16
14:34:45,90614BC-0x5A,22.51,24.63,25.39,33.00,6666,92,17
14:34:46,90614BC-0x5A,22.55,24.71,25.91,33.00,6667,94,15
14:34:47,90614BC-0x5A,22.53,24.75,25.55,33.00,6666,94,14
14:34:48,90614BC-0x5A,22.51,24.73,25.41,33.00,6666,94,14
14:34:49,90614BC-0x5A,22.53,24.69,26.29,33.00,6666,93,17
14:34:50,90614BC-0x5A,22.57,24.71,26.13,33.00,6667,95,16
14:34:51,90614BC-0x5A,22.49,24.73,25.57,33.00,6666,93,14
14:34:52,90614BC-0x5A,22.51,24.67,25.71,33.00,6666,94,14
14:34:53,90614BC-0x5A,22.51,24.69,25.91,33.00,6665,95,15
14:34:54,90614BC-0x5A,22.51,24.67,25.69,33.00,6665,92,14
14:34:55,90614BC-0x5A,22.53,24.63,26.13,33.00,6666,92,16
14:34:56,90614BC-0x5A,22.51,24.65,25.69,33.00,6666,93,14
14:34:57,90614BC-0x5A,22.53,24.75,26.13,33.00,6666,94,17
14:34:58,90614BC-0x5A,22.51,24.73,25.95,33.00,6666,93,16
14:34:59,90614BC-0x5A,22.55,24.71,25.51,33.00,6666,94,13
14:35:00,90614BC-0x5A,22.53,24.71,26.11,33.00,6666,94,16
14:35:01,90614BC-0x5A,22.55,24.75,26.15,33.00,6666,94,17
14:35:02,90614BC-0x5A,22.55,24.73,26.11,33.00,6666,93,17
14:35:03,90614BC-0x5A,22.55,24.67,25.55,33.00,6666,93,13
