14:35:52,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'ED34,'E783,'DD56,'D5DC,'CCAE,'8600,'4B75,'2032,'BE5A,'0733,'F742,'8E13,'53E3,'800F,'0000,'1D30,'00C1,'34F8,'001D,'0000,'1D4A,'8011,'8C04,'E5E0,'5003,'E140
14:35:52,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:35:53,90614BC-0x5A,22.51,24.81,25.29,33.00,6678,95,13
14:35:54,90614BC-0x5A,22.49,24.75,24.77,33.00,6677,91,10
14:35:55,90614BC-0x5A,22.49,24.79,24.63,33.00,6677,93,9
14:35:56,90614BC-0x5A,22.51,24.85,24.63,33.00,6678,95,9
14:35:57,90614BC-0x5A,22.51,24.75,24.55,33.00,6678,92,9
14:35:58,90614BC-0x5A,22.49,24.79,24.81,33.00,6677,93,10
14:35:59,90614BC-0x5A,22.51,24.77,24.31,33.00,6678,89,7
14:36:00,90614BC-0x5A,22.49,24.77,24.39,33.00,6678,90,8
14:36:01,90614BC-0x5A,22.51,24.89,24.29,33.00,6678,95,8
14:36:02,90614BC-0x5A,22.51,24.83,24.45,33.00,6678,92,8
14:36:03,90614BC-0x5A,22.51,24.89,24.27,33.00,6678,90,7
14:36:04,90614BC-0x5A,22.49,24.75,24.73,33.00,6677,90,10
14:36:05,90614BC-0x5A,22.51,24.79,24.81,33.00,6678,92,10
14:36:06,90614BC-0x5A,22.51,24.89,24.43,33.00,6678,93,6
14:36:07,90614BC-0x5A,22.51,24.81,24.55,33.00,6678,92,9
14:36:08,90614BC-0x5A,22.51,24.81,25.15,33.00,6678,94,12
14:36:09,90614BC-0x5A,22.51,24.75,24.71,33.00,6678,91,12
14:36:10,90614BC-0x5A,22.51,24.77,24.39,33.00,6678,90,8
14:36:11,90614BC-0x5A,22.51,24.81,24.49,33.00,6678,91,9
14:36:12,90614BC-0x5A,22.51,24.81,24.45,33.00,6678,91,8
14:36:13,90614BC-0x5A,22.51,24.73,24.57,33.00,6678,91,9
14:36:14,90614BC-0x5A,22.51,24.73,25.09,33.00,6678,91,11
14:36:15,90614BC-0x5A,22.51,24.75,25.01,33.00,6678,91,11
14:36:16,90614BC-0x5A,22.53,24.85,24.87,33.00,6678,93,10
14:36:17,90614BC-0x5A,22.53,24.79,25.01,33.00,6678,92,11
14:36:18,90614BC-0x5A,22.51,24.75,24.43,33.00,6678,91,8
14:36:19,90614BC-0x5A,22.51,24.83,24.59,33.00,6678,92,9
14:36:20,90614BC-0x5A,22.51,24.79,24.73,33.00,6678,90,10
14:36:21,90614BC-0x5A,22.51,24.71,24.85,33.00,6678,89,10
14:36:22,90614BC-0x5A,22.51,24.87,24.41,33.00,6678,91,8
14:36:23,90614BC-0x5A,22.51,24.81,24.75,33.00,6678,91,10
14:36:24,90614BC-0x5A,22.53,24.77,25.09,33.00,6678,91,12
14:36:25,90614BC-0x5A,22.51,24.75,24.79,33.00,6678,91,11
14:36:26,90614BC-0x5A,22.51,24.77,24.77,33.00,6678,92,10
14:36:27,90614BC-0x5A,22.55,24.75,24.81,33.00,6678,91,10
14:36:28,90614BC-0x5A,22.51,24.81,24.91,33.00,6678,93,11
14:36:29,90614BC-0x5A,22.51,24.83,25.11,33.00,6678,93,12
14:36:30,90614BC-0x5A,22.51,24.73,24.51,33.00,6678,89,8
14:36:31,90614BC-0x5A,22.53,24.75,24.83,33.00,6678,90,10
14:36:32,90614BC-0x5A,22.51,24.81,24.83,33.00,6678,90,10
14:36:33,90614BC-0x5A,22.53,24.75,25.43,33.00,6678,90,13
14:36:34,90614BC-0x5A,22.55,24.83,24.93,33.00,6679,91,11
14:36:35,90614BC-0x5A,22.57,24.81,25.01,33.00,6679,92,11
14:36:36,90614BC-0x5A,22.51,24.75,24.69,33.00,6678,90,9
14:36:37,90614BC-0x5A,22.53,24.85,24.65,33.00,6678,92,9
14:36:38,90614BC-0x5A,22.53,24.77,24.93,33.00,6678,91,11
14:36:39,90614BC-0x5A,22.55,24.83,25.27,33.00,6679,93,12
14:36:40,90614BC-0x5A,22.55,24.77,25.13,33.00,6679,90,11
14:36:41,90614BC-0x5A,22.51,24.75,25.15,33.00,6678,91,12
14:36:42,90614BC-0x5A,22.53,24.81,24.71,33.00,6678,92,9
14:36:43,90614BC-0x5A,22.53,24.85,25.17,33.00,6678,92,12
14:36:44,90614BC-0x5A,22.55,24.79,25.13,33.00,6679,91,11
14:36:45,90614BC-0x5A,22.55,24.77,24.87,33.00,6679,89,10
14:36:46,90614BC-0x5A,22.53,24.73,25.41,33.00,6678,91,13
14:36:47,90614BC-0x5A,22.55,24.77,25.11,33.00,6678,91,12
14:36:48,90614BC-0x5A,22.55,24.87,24.73,33.00,6679,92,10
14:36:49,90614BC-0x5A,22.53,24.75,24.65,33.00,6678,91,9
14:36:50,90614BC-0x5A,22.59,24.75,25.61,33.00,6680,89,14
14:36:51,90614BC-0x5A,22.53,24.75,25.33,33.00,6678,89,13
14:36:52,90614BC-0x5A,22.55,24.75,25.29,33.00,6679,88,13
14:36:53,90614BC-0x5A,22.57,24.83,24.93,33.00,6679,92,10
14:36:54,90614BC-0x5A,22.55,24.73,24.87,33.00,6679,89,10
14:36:55,90614BC-0x5A,22.53,24.75,25.27,33.00,6678,91,12
14:36:56,90614BC-0x5A,22.55,24.85,25.39,33.00,6679,90,13
14:36:57,90614BC-0x5A,22.55,24.77,25.33,33.00,6679,92,12
14:36:58,90614BC-0x5A,22.55,24.73,25.41,33.00,6679,90,13
