14:37:52,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'D2FC,'CDEC,'C4E0,'BE39,'B60E,'8600,'4B75,'2032,'BE5A,'0733,'E8B0,'8E13,'53E3,'0006,'0025,'1D06,'00C1,'34EC,'0014,'0000,'1D48,'8011,'D412,'E57E,'5003,'E140
14:37:52,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:37:52,90614BC-0x5A,22.53,24.73,26.59,33.00,6673,110,18
14:37:53,90614BC-0x5A,22.55,24.67,26.05,33.00,6673,104,15
14:37:54,90614BC-0x5A,22.53,24.71,25.21,33.00,6673,101,12
14:37:55,90614BC-0x5A,22.53,24.79,24.67,33.00,6673,101,9
14:37:56,90614BC-0x5A,22.55,24.69,24.63,33.00,6673,97,9
14:37:57,90614BC-0x5A,22.53,24.75,24.21,33.00,6673,96,8
14:37:58,90614BC-0x5A,22.55,24.73,24.45,33.00,6673,95,9
14:37:59,90614BC-0x5A,22.57,24.67,23.95,33.00,6674,95,5
14:38:00,90614BC-0x5A,22.55,24.79,23.69,33.00,6673,96,5
14:38:01,90614BC-0x5A,22.57,24.81,23.73,33.00,6674,97,5
14:38:02,90614BC-0x5A,22.53,24.73,24.15,33.00,6673,92,8
14:38:03,90614BC-0x5A,22.51,24.67,23.95,33.00,6673,93,7
14:38:04,90614BC-0x5A,22.57,24.75,23.87,33.00,6674,94,6
14:38:05,90614BC-0x5A,22.55,24.73,23.65,33.00,6673,93,5
14:38:06,90614BC-0x5A,22.59,24.73,23.47,33.00,6674,93,4
14:38:07,90614BC-0x5A,22.55,24.67,23.71,33.00,6673,92,5
14:38:08,90614BC-0x5A,22.53,24.69,23.65,33.00,6673,92,5
14:38:09,90614BC-0x5A,22.57,24.77,23.61,33.00,6674,94,5
14:38:10,90614BC-0x5A,22.59,24.75,23.49,33.00,6674,94,4
14:38:11,90614BC-0x5A,22.55,24.69,23.75,33.00,6673,91,5
14:38:12,90614BC-0x5A,22.57,24.77,23.33,33.00,6674,92,4
14:38:13,90614BC-0x5A,22.57,24.75,23.69,33.00,6674,93,5
14:38:14,90614BC-0x5A,22.59,24.75,23.43,33.00,6674,90,4
14:38:15,90614BC-0x5A,22.55,24.69,23.97,33.00,6673,93,7
14:38:16,90614BC-0x5A,22.59,24.79,23.45,33.00,6674,93,4
14:38:17,90614BC-0x5A,22.59,24.73,23.45,33.00,6674,92,4
14:38:18,90614BC-0x5A,22.57,24.77,23.79,33.00,6674,94,6
14:38:19,90614BC-0x5A,22.57,24.75,23.75,33.00,6674,92,6
14:38:20,90614BC-0x5A,22.55,24.71,23.59,33.00,6673,92,4
14:38:21,90614BC-0x5A,22.57,24.71,23.37,33.00,6674,91,4
14:38:22,90614BC-0x5A,22.59,24.77,23.11,33.00,6674,91,2
14:38:23,90614BC-0x5A,22.59,24.73,23.57,33.00,6674,92,4
14:38:24,90614BC-0x5A,22.61,24.75,23.45,33.00,6675,91,4
14:38:25,90614BC-0x5A,22.59,24.75,23.77,33.00,6674,92,5
14:38:26,90614BC-0x5A,22.57,24.65,23.91,33.00,6674,93,6
14:38:27,90614BC-0x5A,22.61,24.75,24.01,33.00,6675,93,7
14:38:28,90614BC-0x5A,22.55,24.73,24.11,33.00,6673,93,7
14:38:29,90614BC-0x5A,22.57,24.71,23.77,33.00,6674,92,5
14:38:30,90614BC-0x5A,22.59,24.75,23.69,33.00,6674,93,5
14:38:31,90614BC-0x5A,22.59,24.81,23.93,33.00,6674,94,7
14:38:32,90614BC-0x5A,22.59,24.73,23.71,33.00,6674,92,5
14:38:33,90614BC-0x5A,22.57,24.75,23.51,33.00,6674,92,4
14:38:34,90614BC-0x5A,22.57,24.77,23.75,33.00,6674,92,5
14:38:35,90614BC-0x5A,22.59,24.73,23.87,33.00,6674,92,6
14:38:36,90614BC-0x5A,22.57,24.73,23.97,33.00,6674,93,6
14:38:37,90614BC-0x5A,22.57,24.69,23.91,33.00,6674,91,7
14:38:38,90614BC-0x5A,22.61,24.67,23.87,33.00,6675,91,5
14:38:39,90614BC-0x5A,22.57,24.73,23.73,33.00,6674,92,5
14:38:40,90614BC-0x5A,22.61,24.75,23.47,33.00,6675,92,4
14:38:41,90614BC-0x5A,22.59,24.73,23.87,33.00,6674,92,5
14:38:42,90614BC-0x5A,22.59,24.63,23.65,33.00,6674,91,4
14:38:44,90614BC-0x5A,22.59,24.77,23.43,33.00,6674,92,4
14:38:45,90614BC-0x5A,22.59,24.79,23.47,33.00,6674,92,4
14:38:46,90614BC-0x5A,22.61,24.65,24.03,33.00,6675,88,7
14:38:47,90614BC-0x5A,22.59,24.75,23.87,33.00,6674,91,6
14:38:48,90614BC-0x5A,22.61,24.77,23.35,33.00,6675,92,4
14:38:49,90614BC-0x5A,22.59,24.85,23.79,33.00,6674,95,6
14:38:50,90614BC-0x5A,22.61,24.69,24.03,33.00,6675,90,7
14:38:51,90614BC-0x5A,22.59,24.75,23.75,33.00,6674,91,6
14:38:52,90614BC-0x5A,22.57,24.75,23.55,33.00,6674,91,4
14:38:53,90614BC-0x5A,22.59,24.73,23.89,33.00,6674,92,5
14:38:54,90614BC-0x5A,22.61,24.73,23.59,33.00,6674,91,4
14:38:55,90614BC-0x5A,22.57,24.69,23.87,33.00,6674,91,6
14:38:56,90614BC-0x5A,22.59,24.71,23.77,33.00,6674,88,4
14:38:57,90614BC-0x5A,22.59,24.77,23.39,33.00,6674,92,4
