14:39:46,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'EA94,'E4F2,'DAE3,'D37D,'CA69,'8600,'4B75,'2032,'BE5A,'0733,'84B7,'8E12,'53E3,'801B,'8006,'1D18,'00C1,'34F7,'0016,'0000,'1C48,'8011,'DC0D,'E5E0,'5003,'E140
14:39:46,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:39:46,90614BC-0x5A,22.51,24.73,26.89,33.00,6677,101,21
14:39:47,90614BC-0x5A,22.51,24.81,26.29,33.00,6677,99,18
14:39:48,90614BC-0x5A,22.53,24.77,25.97,33.00,6677,99,16
14:39:49,90614BC-0x5A,22.51,24.79,25.79,33.00,6678,96,16
14:39:50,90614BC-0x5A,22.53,24.81,25.69,33.00,6678,99,15
14:39:51,90614BC-0x5A,22.53,24.79,25.23,33.00,6677,95,13
14:39:52,90614BC-0x5A,22.53,24.75,25.57,33.00,6678,95,14
14:39:53,90614BC-0x5A,22.53,24.77,25.61,33.00,6678,95,15
14:39:54,90614BC-0x5A,22.55,24.85,25.67,33.00,6679,95,15
14:39:55,90614BC-0x5A,22.53,24.83,25.29,33.00,6678,96,13
14:39:56,90614BC-0x5A,22.53,24.87,25.25,33.00,6678,97,13
14:39:57,90614BC-0x5A,22.51,24.83,24.99,33.00,6678,97,13
14:39:58,90614BC-0x5A,22.53,24.81,25.09,33.00,6678,94,12
14:39:59,90614BC-0x5A,22.53,24.71,25.89,33.00,6678,93,16
14:40:00,90614BC-0x5A,22.53,24.81,25.29,33.00,6678,96,13
14:40:01,90614BC-0x5A,22.51,24.79,25.49,33.00,6677,95,15
14:40:02,90614BC-0x5A,22.57,24.87,25.55,33.00,6679,96,14
14:40:03,90614BC-0x5A,22.53,24.81,25.37,33.00,6678,96,13
14:40:04,90614BC-0x5A,22.53,24.79,25.93,33.00,6678,95,17
14:40:05,90614BC-0x5A,22.53,24.77,25.91,33.00,6678,94,17
14:40:06,90614BC-0x5A,22.53,24.79,25.19,33.00,6678,95,12
14:40:07,90614BC-0x5A,22.53,24.81,25.39,33.00,6678,93,14
14:40:08,90614BC-0x5A,22.53,24.83,25.45,33.00,6678,96,14
14:40:09,90614BC-0x5A,22.53,24.81,25.85,33.00,6678,96,16
14:40:10,90614BC-0x5A,22.55,24.79,25.89,33.00,6679,95,16
14:40:11,90614BC-0x5A,22.53,24.81,25.71,33.00,6678,95,16
14:40:12,90614BC-0x5A,22.55,24.83,25.47,33.00,6679,95,14
14:40:13,90614BC-0x5A,22.55,24.75,25.35,33.00,6679,95,13
14:40:14,90614BC-0x5A,22.53,24.77,25.29,33.00,6678,95,13
14:40:15,90614BC-0x5A,22.53,24.75,25.49,33.00,6678,95,14
14:40:16,90614BC-0x5A,22.55,24.81,25.33,33.00,6679,96,13
14:40:17,90614BC-0x5A,22.55,24.81,25.25,33.00,6679,95,12
14:40:18,90614BC-0x5A,22.53,24.75,25.55,33.00,6678,94,14
14:40:19,90614BC-0x5A,22.53,24.77,25.51,33.00,6678,93,14
14:40:20,90614BC-0x5A,22.55,24.75,25.63,33.00,6679,96,14
14:40:21,90614BC-0x5A,22.55,24.81,25.41,33.00,6679,94,14
14:40:22,90614BC-0x5A,22.55,24.83,25.73,33.00,6679,94,16
14:40:23,90614BC-0x5A,22.53,24.77,25.73,33.00,6678,95,15
14:40:24,90614BC-0x5A,22.53,24.75,25.51,33.00,6678,95,14
14:40:25,90614BC-0x5A,22.55,24.81,25.47,33.00,6679,94,14
14:40:26,90614BC-0x5A,22.53,24.79,25.65,33.00,6679,95,15
14:40:27,90614BC-0x5A,22.53,24.79,25.37,33.00,6678,96,13
14:40:28,90614BC-0x5A,22.55,24.79,25.57,33.00,6679,95,14
14:40:29,90614BC-0x5A,22.55,24.75,25.47,33.00,6679,92,14
14:40:30,90614BC-0x5A,22.55,24.85,25.77,33.00,6678,95,16
14:40:31,90614BC-0x5A,22.55,24.85,25.63,33.00,6678,95,15
14:40:32,90614BC-0x5A,22.57,24.85,25.69,33.00,6679,95,15
14:40:33,90614BC-0x5A,22.55,24.73,25.45,33.00,6679,95,13
14:40:34,90614BC-0x5A,22.55,24.79,25.37,33.00,6679,93,13
14:40:35,90614BC-0x5A,22.57,24.81,25.39,33.00,6679,95,13
14:40:36,90614BC-0x5A,22.59,24.87,26.11,33.00,6679,98,17
14:40:37,90614BC-0x5A,22.53,24.77,25.59,33.00,6679,95,14
14:40:38,90614BC-0x5A,22.57,24.81,25.55,33.00,6679,93,15
14:40:39,90614BC-0x5A,22.57,24.75,25.83,33.00,6679,94,16
14:40:40,90614BC-0x5A,22.57,24.85,25.21,33.00,6679,95,12
14:40:41,90614BC-0x5A,22.57,24.85,25.27,33.00,6679,95,13
14:40:42,90614BC-0x5A,22.57,24.87,25.61,33.00,6679,95,15
14:40:43,90614BC-0x5A,22.55,24.79,25.75,33.00,6679,93,16
14:40:44,90614BC-0x5A,22.55,24.75,25.53,33.00,6678,94,14
14:40:45,90614BC-0x5A,22.55,24.77,25.63,33.00,6679,94,14
14:40:46,90614BC-0x5A,22.57,24.83,25.59,33.00,6679,95,15
14:40:47,90614BC-0x5A,22.55,24.75,25.49,33.00,6679,91,14
14:40:48,90614BC-0x5A,22.57,24.81,25.41,33.00,6679,95,13
14:40:49,90614BC-0x5A,22.55,24.87,25.39,33.00,6679,95,14
14:40:50,90614BC-0x5A,22.59,24.81,25.73,33.00,6679,95,15
