14:41:37,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'FB12,'F50B,'EA47,'E25C,'D8A5,'8600,'4B75,'2032,'BE5A,'0733,'861C,'8E12,'53E3,'0007,'0029,'1D23,'00C1,'3518,'0012,'0000,'1C49,'8011,'8C0F,'E5DC,'5003,'E140
14:41:37,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:41:37,90614BC-0x5A,22.47,24.81,36.57,33.00,6693,143,67
14:41:38,90614BC-0x5A,22.49,24.75,34.33,33.00,6694,128,56
14:41:39,90614BC-0x5A,22.51,24.69,32.67,33.00,6694,118,48
14:41:40,90614BC-0x5A,22.53,24.89,30.19,33.00,6694,113,35
14:41:41,90614BC-0x5A,22.53,24.69,29.71,33.00,6694,103,33
14:41:42,90614BC-0x5A,22.53,24.79,28.23,33.00,6694,101,26
14:41:43,90614BC-0x5A,22.55,24.89,27.37,33.00,6695,101,22
14:41:44,90614BC-0x5A,22.57,24.85,27.23,33.00,6695,98,21
14:41:45,90614BC-0x5A,22.55,24.83,26.57,33.00,6695,93,18
14:41:46,90614BC-0x5A,22.57,24.79,26.59,33.00,6695,93,18
14:41:49,90614BC-0x5A,22.53,24.75,26.39,33.00,6694,91,17
14:41:49,90614BC-0x5A,22.55,24.79,26.09,33.00,6695,90,16
14:41:50,90614BC-0x5A,22.55,24.81,25.59,33.00,6695,90,13
14:41:51,90614BC-0x5A,22.55,24.75,25.93,33.00,6695,90,14
14:41:53,90614BC-0x5A,22.57,24.79,26.07,33.00,6695,90,16
14:41:53,90614BC-0x5A,22.57,24.83,26.03,33.00,6696,91,16
14:41:54,90614BC-0x5A,22.55,24.71,25.55,33.00,6695,88,13
14:41:55,90614BC-0x5A,22.57,24.77,25.99,33.00,6695,90,15
14:41:56,90614BC-0x5A,22.55,24.75,25.73,33.00,6695,90,14
14:41:57,90614BC-0x5A,22.57,24.83,26.11,33.00,6695,89,16
14:41:58,90614BC-0x5A,22.53,24.83,25.71,33.00,6694,92,14
14:41:59,90614BC-0x5A,22.57,24.81,26.27,33.00,6695,90,17
14:42:00,90614BC-0x5A,22.59,24.89,25.71,33.00,6696,92,15
14:42:01,90614BC-0x5A,22.57,24.83,25.47,33.00,6695,88,13
14:42:02,90614BC-0x5A,22.59,24.81,25.43,33.00,6696,88,12
14:42:03,90614BC-0x5A,22.57,24.77,26.27,33.00,6695,89,17
14:42:04,90614BC-0x5A,22.57,24.81,25.65,33.00,6695,89,13
14:42:05,90614BC-0x5A,22.59,24.87,25.57,33.00,6696,91,13
14:42:06,90614BC-0x5A,22.57,24.83,25.75,33.00,6696,89,14
14:42:07,90614BC-0x5A,22.57,24.85,25.81,33.00,6696,90,13
14:42:08,90614BC-0x5A,22.57,24.81,25.67,33.00,6695,89,14
14:42:10,90614BC-0x5A,22.57,24.81,25.95,33.00,6696,89,15
14:42:10,90614BC-0x5A,22.57,24.87,25.63,33.00,6695,91,13
14:42:11,90614BC-0x5A,22.57,24.85,25.85,33.00,6696,90,15
14:42:13,90614BC-0x5A,22.57,24.81,25.69,33.00,6695,91,15
14:42:14,90614BC-0x5A,22.59,24.83,25.77,33.00,6696,89,14
14:42:15,90614BC-0x5A,22.57,24.87,25.37,33.00,6695,89,12
14:42:15,90614BC-0x5A,22.57,24.77,25.83,33.00,6695,88,14
14:42:17,90614BC-0x5A,22.57,24.85,25.51,33.00,6695,89,13
14:42:18,90614BC-0x5A,22.57,24.89,25.09,33.00,6695,89,11
14:42:19,90614BC-0x5A,22.59,24.81,26.05,33.00,6696,90,16
14:42:20,90614BC-0x5A,22.59,24.77,25.53,33.00,6696,88,13
14:42:21,90614BC-0x5A,22.59,24.81,25.63,33.00,6696,90,13
14:42:22,90614BC-0x5A,22.57,24.77,25.83,33.00,6695,88,14
14:42:23,90614BC-0x5A,22.55,24.83,25.39,33.00,6695,90,12
14:42:24,90614BC-0x5A,22.57,24.81,25.91,33.00,6695,87,15
14:42:25,90614BC-0x5A,22.57,24.81,25.99,33.00,6695,88,16
14:42:26,90614BC-0x5A,22.57,24.83,25.65,33.00,6695,90,14
14:42:27,90614BC-0x5A,22.57,24.81,25.81,33.00,6695,88,15
14:42:28,90614BC-0x5A,22.57,24.81,25.65,33.00,6695,90,14
14:42:29,90614BC-0x5A,22.61,24.81,26.09,33.00,6696,90,16
14:42:30,90614BC-0x5A,22.57,24.89,25.31,33.00,6695,91,12
14:42:31,90614BC-0x5A,22.59,24.83,25.61,33.00,6696,89,13
14:42:32,90614BC-0x5A,22.57,24.81,25.69,33.00,6695,89,14
14:42:33,90614BC-0x5A,22.57,24.73,26.05,33.00,6695,88,15
14:42:34,90614BC-0x5A,22.57,24.83,25.55,33.00,6695,89,13
14:42:35,90614BC-0x5A,22.59,24.89,25.31,33.00,6696,90,12
14:42:36,90614BC-0x5A,22.59,24.83,25.27,33.00,6695,89,12
14:42:37,90614BC-0x5A,22.59,24.69,25.61,33.00,6696,86,13
14:42:38,90614BC-0x5A,22.59,24.89,25.69,33.00,6696,91,14
14:42:39,90614BC-0x5A,22.59,24.85,25.67,33.00,6696,90,14
14:42:40,90614BC-0x5A,22.61,24.81,25.83,33.00,6696,88,14
14:42:41,90614BC-0x5A,22.59,24.89,25.29,33.00,6696,90,12
