14:43:44,90614BC-0x5A,EEPROM:,'9993,'62E3,'0201,'F71C,'FFFF,'B775,'ED5B,'E7A9,'DD7B,'D5FF,'CCCF,'8600,'4B75,'2032,'BE5A,'0733,'8F69,'8E12,'53E3,'800E,'0011,'1D2C,'00C1,'3508,'0012,'0000,'1E4E,'8011,'B807,'E582,'5003,'E140
14:43:44,90614BC-0x5A,Ta [C],To [C],To2 [C],Tbody [C],RAM 3,RAM 4,RAM 5
14:43:44,90614BC-0x5A,22.55,24.75,26.45,33.00,6687,97,20
14:43:45,90614BC-0x5A,22.57,24.83,26.29,33.00,6687,101,20
14:43:46,90614BC-0x5A,22.57,24.89,26.43,33.00,6687,100,20
14:43:47,90614BC-0x5A,22.55,24.77,26.45,33.00,6687,99,20
14:43:48,90614BC-0x5A,22.53,24.81,26.07,33.00,6686,100,18
14:43:49,90614BC-0x5A,22.55,24.79,26.17,33.00,6687,99,18
14:43:50,90614BC-0x5A,22.57,24.77,26.35,33.00,6687,98,19
14:43:51,90614BC-0x5A,22.55,24.79,26.37,33.00,6687,100,19
14:43:52,90614BC-0x5A,22.57,24.67,26.65,33.00,6686,97,21
14:43:53,90614BC-0x5A,22.55,24.77,26.53,33.00,6687,100,20
14:43:54,90614BC-0x5A,22.55,24.87,26.39,33.00,6687,100,20
14:43:55,90614BC-0x5A,22.55,24.85,26.53,33.00,6687,100,21
14:43:56,90614BC-0x5A,22.55,24.77,26.87,33.00,6687,100,22
14:43:57,90614BC-0x5A,22.59,24.75,26.51,33.00,6688,97,20
14:43:58,90614BC-0x5A,22.55,24.81,26.35,33.00,6687,100,19
14:43:59,90614BC-0x5A,22.57,24.75,26.47,33.00,6687,98,20
14:44:00,90614BC-0x5A,22.55,24.75,26.17,33.00,6687,95,18
14:44:01,90614BC-0x5A,22.57,24.79,26.63,33.00,6687,99,21
14:44:02,90614BC-0x5A,22.57,24.81,26.61,33.00,6687,98,21
14:44:03,90614BC-0x5A,22.59,24.77,26.45,33.00,6688,97,20
14:44:04,90614BC-0x5A,22.59,24.77,26.49,33.00,6688,96,20
14:44:05,90614BC-0x5A,22.61,24.81,26.77,33.00,6688,96,22
14:44:06,90614BC-0x5A,22.57,24.79,26.61,33.00,6687,99,21
14:44:07,90614BC-0x5A,22.57,24.87,26.35,33.00,6687,99,19
14:44:08,90614BC-0x5A,22.57,24.77,26.85,33.00,6687,98,22
14:44:09,90614BC-0x5A,22.59,24.79,26.61,33.00,6688,97,21
14:44:10,90614BC-0x5A,22.57,24.71,26.57,33.00,6687,96,20
14:44:11,90614BC-0x5A,22.57,24.75,26.29,33.00,6687,98,19
14:44:12,90614BC-0x5A,22.59,24.85,26.57,33.00,6688,100,20
14:44:13,90614BC-0x5A,22.57,24.69,26.93,33.00,6687,95,23
14:44:14,90614BC-0x5A,22.59,24.75,26.93,33.00,6688,98,23
14:44:15,90614BC-0x5A,22.59,24.73,26.39,33.00,6688,99,19
14:44:16,90614BC-0x5A,22.59,24.79,26.29,33.00,6688,97,18
14:44:17,90614BC-0x5A,22.59,24.69,26.95,33.00,6688,95,23
14:44:18,90614BC-0x5A,22.59,24.77,26.69,33.00,6688,100,21
14:44:19,90614BC-0x5A,22.59,24.79,26.35,33.00,6688,96,18
14:44:20,90614BC-0x5A,22.57,24.77,26.43,33.00,6687,97,19
14:44:21,90614BC-0x5A,22.57,24.75,27.01,33.00,6687,98,23
14:44:22,90614BC-0x5A,22.57,24.77,26.85,33.00,6687,99,22
14:44:23,90614BC-0x5A,22.59,24.83,26.79,33.00,6688,97,22
14:44:24,90614BC-0x5A,22.59,24.83,26.53,33.00,6688,100,20
14:44:25,90614BC-0x5A,22.57,24.81,26.51,33.00,6687,98,20
14:44:26,90614BC-0x5A,22.57,24.75,26.69,33.00,6687,95,21
14:44:27,90614BC-0x5A,22.57,24.79,26.63,33.00,6687,99,21
14:44:28,90614BC-0x5A,22.57,24.77,26.65,33.00,6687,99,21
14:44:29,90614BC-0x5A,22.59,24.83,26.49,33.00,6688,99,20
14:44:30,90614BC-0x5A,22.59,24.77,26.57,33.00,6688,98,21
14:44:31,90614BC-0x5A,22.59,24.79,26.59,33.00,6688,97,21
14:44:32,90614BC-0x5A,22.59,24.77,26.55,33.00,6688,97,21
14:44:33,90614BC-0x5A,22.59,24.81,26.57,33.00,6688,99,20
14:44:34,90614BC-0x5A,22.59,24.75,26.53,33.00,6688,96,20
14:44:35,90614BC-0x5A,22.59,24.77,26.61,33.00,6688,98,21
14:44:36,90614BC-0x5A,22.59,24.75,26.75,33.00,6688,97,21
14:44:37,90614BC-0x5A,22.61,24.83,26.43,33.00,6688,99,20
14:44:38,90614BC-0x5A,22.59,24.85,26.11,33.00,6688,98,17
14:44:39,90614BC-0x5A,22.59,24.81,26.29,33.00,6688,98,19
14:44:40,90614BC-0x5A,22.59,24.75,26.65,33.00,6688,97,21
14:44:41,90614BC-0x5A,22.61,24.81,26.35,33.00,6688,98,19
14:44:42,90614BC-0x5A,22.59,24.83,26.59,33.00,6688,99,20
14:44:43,90614BC-0x5A,22.61,24.81,26.81,33.00,6688,99,22
14:44:44,90614BC-0x5A,22.59,24.79,26.27,33.00,6688,98,18
14:44:45,90614BC-0x5A,22.59,24.81,26.57,33.00,6688,99,20
14:44:46,90614BC-0x5A,22.63,24.77,26.61,33.00,6688,94,21
14:44:47,90614BC-0x5A,22.61,24.77,26.21,33.00,6688,95,18
14:44:48,90614BC-0x5A,22.59,24.75,26.57,33.00,6688,97,21
14:44:49,90614BC-0x5A,22.59,24.75,26.57,33.00,6688,96,20
14:44:50,90614BC-0x5A,22.63,24.77,26.59,33.00,6689,97,21
14:44:51,90614BC-0x5A,22.61,24.79,26.59,33.00,6688,96,19
14:44:52,90614BC-0x5A,22.61,24.81,26.55,33.00,6688,98,20
14:44:53,90614BC-0x5A,22.59,24.83,26.59,33.00,6688,98,20
14:44:54,90614BC-0x5A,22.59,24.81,26.61,33.00,6688,98,20
14:44:55,90614BC-0x5A,22.59,24.83,26.25,33.00,6688,97,18
14:44:56,90614BC-0x5A,22.61,24.77,26.37,33.00,6688,96,19
14:44:57,90614BC-0x5A,22.59,24.79,26.67,33.00,6688,95,21
14:44:58,90614BC-0x5A,22.63,24.83,26.85,33.00,6689,98,19
14:44:59,90614BC-0x5A,22.59,24.73,26.29,33.00,6688,94,19
14:45:00,90614BC-0x5A,22.61,24.87,26.53,33.00,6688,98,21
14:45:01,90614BC-0x5A,22.63,24.79,26.53,33.00,6688,97,21
14:45:02,90614BC-0x5A,22.63,24.77,26.53,33.00,6689,97,20
14:45:03,90614BC-0x5A,22.61,24.77,26.37,33.00,6688,94,19
14:45:04,90614BC-0x5A,22.61,24.77,26.41,33.00,6688,97,19
